property_id,sale_date,city,area_sqft,bedrooms,bathrooms,age_years,price,price_per_sqft,furnishing,property_type,seller_type,near_metro,parking
PROP-000081,2020-12-14,Bangalore,4185,2,2.0,42,19117512.0,12805,Semi-Furnished,Villa,Builder,0.0,2
PROP-000082,2020-06-25,Pune,4813,5,4.0,29,,10116,Furnished,Plot,Owner,1.0,2
PROP-000083,2019-09-25,Kolkata,1446,1,2.0,46,6081119.0,12408,Furnished,Apartment,Owner,0.0,0
PROP-000084,2018-10-24,Bangalore,2111,3,4.0,42,7522382.0,11400,Semi-Furnished,Office,Owner,1.0,1
PROP-000085,2022-12-18,Bangalore,1671,4,1.0,2,3424511.0,5200,Unfurnished,Apartment,Owner,0.0,2
PROP-000086,2021-08-11,Pune,4132,4,1.0,17,13233902.0,18338,Unfurnished,Office,Owner,1.0,2
,2021-02-05,Mumbai,3692,5,4.0,37,4997342.0,8719,Unfurnished,Plot,Agent,1.0,0
PROP-000088,2021-07-10,Mumbai,3593,3,1.0,9,15812222.0,19102,Unfurnished,Villa,Builder,1.0,1
PROP-000089,2019-03-15,Bangalore,1522,1,2.0,16,5679594.0,8262,Semi-Furnished,Plot,Agent,1.0,0
PROP-000090,2018-08-11,Mumbai,1633,4,3.0,41,11819376.0,15164,Semi-Furnished,Office,Builder,0.0,2
PROP-000091,2019-03-07,Bangalore,3733,1,4.0,22,4218211.0,16342,Semi-Furnished,Office,Builder,1.0,2
PROP-000092,2021-04-10,Mumbai,1665,5,1.0,44,10923861.0,7817,Semi-Furnished,Plot,Builder,0.0,2
,2019-02-04,Pune,1091,5,2.0,0,6629016.0,14358,Furnished,Office,Owner,1.0,2
PROP-000094,2019-02-19,Mumbai,4849,1,1.0,15,11383168.0,17166,Unfurnished,Apartment,Builder,1.0,2
PROP-000095,2020-04-25,Mumbai,4152,4,4.0,35,4596581.0,18109,Semi-Furnished,Villa,Agent,1.0,2
PROP-000096,2019-08-23,Kolkata,3337,4,2.0,8,6570798.0,10871,Semi-Furnished,Apartment,Agent,1.0,1
PROP-000097,2018-11-07,Mumbai,2000,5,1.0,38,7769219.0,9160,Unfurnished,Villa,Owner,0.0,2
PROP-000098,2020-10-02,Kolkata,2474,2,1.0,6,14409164.0,12291,Semi-Furnished,Office,Agent,1.0,0
PROP-000099,2021-08-11,Delhi,4935,1,4.0,49,4438492.0,12280,Furnished,Plot,Builder,0.0,1
PROP-000100,2018-06-11,Kolkata,3254,1,1.0,14,12017639.0,14397,Unfurnished,Villa,Agent,0.0,2
PROP-000101,2020-06-11,Bangalore,2274,2,2.0,17,14493068.0,12541,Unfurnished,Apartment,Agent,1.0,1
PROP-000102,2018-03-14,Chennai,944,5,3.0,5,12209949.0,7321,Unfurnished,Office,Builder,,1
PROP-000103,2020-07-07,Bangalore,2478,2,2.0,14,,7017,Unfurnished,Apartment,Agent,1.0,1
PROP-000104,2018-02-16,Pune,2829,2,1.0,38,11800519.0,14202,Semi-Furnished,Apartment,Owner,0.0,0
PROP-000105,2023-05-17,Chennai,4901,4,4.0,35,5674807.0,7528,Semi-Furnished,Plot,Agent,0.0,0
PROP-000106,2022-07-10,Bangalore,1021,3,3.0,34,13905641.0,5536,Semi-Furnished,Apartment,Owner,0.0,2
PROP-000107,2021-03-23,Delhi,1601,5,,49,2466312.0,16850,Furnished,Office,Builder,1.0,0
PROP-000108,2020-02-07,Mumbai,3263,1,3.0,49,9481885.0,7402,Furnished,Villa,Agent,1.0,0
PROP-000109,2022-12-20,Delhi,1393,2,4.0,33,10264792.0,15556,Unfurnished,Villa,Owner,0.0,2
PROP-000110,2021-01-09,Chennai,2649,4,4.0,7,2223449.0,11224,Semi-Furnished,Plot,Owner,0.0,0
PROP-000111,2022-11-18,Mumbai,4045,2,3.0,1,9468592.0,12067,Furnished,Apartment,Owner,0.0,2
PROP-000112,2020-05-07,Pune,1902,5,1.0,30,15564252.0,15157,Semi-Furnished,Apartment,Builder,1.0,0
PROP-000113,2023-02-22,Kolkata,1888,3,3.0,11,13397525.0,14297,Unfurnished,Office,Agent,0.0,1
PROP-000114,2021-10-22,Bangalore,3183,4,2.0,46,10874664.0,15216,Semi-Furnished,Villa,Agent,0.0,2
PROP-000115,2019-11-22,Mumbai,719,5,3.0,38,2208232.0,6722,Semi-Furnished,Villa,Agent,1.0,2
PROP-000116,2023-01-17,Mumbai,849,1,1.0,10,5604373.0,15969,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000117,2023-04-11,Delhi,3959,5,4.0,9,7157854.0,6090,Unfurnished,Apartment,Owner,,2
PROP-000118,2022-10-01,Bangalore,4431,2,2.0,40,7314172.0,13675,Unfurnished,Office,Owner,0.0,0
PROP-000119,2018-10-23,Delhi,1244,5,4.0,25,13296030.0,10321,Semi-Furnished,Plot,Agent,0.0,0
PROP-000120,2021-11-02,Kolkata,1082,2,3.0,45,16695392.0,10139,Unfurnished,Villa,Builder,1.0,0
PROP-000121,2023-04-21,Pune,2399,5,1.0,25,18753067.0,18432,Semi-Furnished,Plot,Owner,1.0,1
PROP-000122,2022-09-21,Chennai,834,5,4.0,16,18346257.0,9568,Furnished,Plot,Agent,0.0,2
PROP-000123,2019-04-09,Delhi,4734,1,1.0,5,17863826.0,4869,Unfurnished,Plot,Builder,1.0,1
PROP-000124,2022-12-15,Pune,3680,5,1.0,45,19504618.0,19770,Furnished,Office,Agent,,1
PROP-000125,2023-06-08,Pune,1153,5,4.0,8,14770299.0,3501,Unfurnished,Apartment,Agent,0.0,0
PROP-000126,2023-04-27,Mumbai,4519,5,2.0,37,2885384.0,12174,Semi-Furnished,Office,Owner,0.0,0
,2022-07-10,Pune,680,3,2.0,22,3145458.0,12944,Semi-Furnished,Apartment,Agent,0.0,2
PROP-000128,2020-11-19,Mumbai,4059,2,3.0,41,17106855.0,8935,Unfurnished,Villa,Owner,0.0,1
PROP-000129,2018-11-03,Pune,4451,5,2.0,27,2610807.0,16204,Semi-Furnished,Plot,Agent,0.0,0
PROP-000130,2018-05-22,Mumbai,3943,2,4.0,42,19561135.0,11603,Unfurnished,Apartment,Builder,0.0,2
PROP-000131,2021-07-07,Kolkata,2366,5,4.0,41,11985701.0,13414,Unfurnished,Plot,Agent,,1
PROP-000132,2023-06-07,Kolkata,2071,5,2.0,21,10417486.0,19271,Furnished,Office,Builder,1.0,2
PROP-000133,2020-09-29,Bangalore,2845,2,2.0,46,8105132.0,10809,Unfurnished,Office,Builder,1.0,0
PROP-000134,2020-04-18,Chennai,4888,5,2.0,21,6210519.0,7345,Unfurnished,Apartment,Agent,0.0,2
PROP-000135,2021-11-24,Kolkata,4058,1,1.0,6,13324666.0,8156,Unfurnished,Plot,Agent,0.0,1
PROP-000136,2021-11-26,Chennai,2990,4,4.0,0,11595224.0,17463,Furnished,Apartment,Owner,0.0,0
PROP-000137,2019-06-05,Chennai,867,5,3.0,21,13214611.0,9969,Unfurnished,Apartment,Agent,0.0,2
PROP-000138,2021-04-15,Kolkata,2837,1,3.0,45,11812564.0,16283,Furnished,Plot,Agent,1.0,0
PROP-000139,2019-11-15,Kolkata,899,2,3.0,6,8569923.0,16426,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000140,2018-06-21,Delhi,4827,1,2.0,27,9374620.0,10400,Unfurnished,Office,Agent,1.0,1
PROP-000141,2020-06-05,Chennai,881,5,4.0,9,7412281.0,5064,Semi-Furnished,Apartment,Builder,1.0,2
PROP-000142,2022-09-07,Bangalore,1741,3,1.0,3,13064775.0,11389,Unfurnished,Plot,Owner,0.0,1
PROP-000143,2018-12-24,Pune,3587,2,2.0,36,19204370.0,16397,Unfurnished,Apartment,Builder,1.0,0
PROP-000144,2018-07-16,Delhi,2921,4,2.0,17,17346593.0,9039,Furnished,Plot,Owner,0.0,1
,2018-12-03,Delhi,2282,1,3.0,31,9464762.0,10743,Furnished,Office,Agent,1.0,1
PROP-000146,2020-08-23,Kolkata,921,3,2.0,39,15324827.0,18966,Furnished,Villa,Owner,1.0,2
PROP-000147,2022-11-13,Mumbai,1938,3,4.0,36,10871258.0,11851,Semi-Furnished,Plot,Agent,0.0,2
PROP-000148,2022-01-23,Kolkata,3317,2,3.0,20,19539619.0,8785,Unfurnished,Apartment,Owner,1.0,0
PROP-000149,2022-03-13,Delhi,2825,1,2.0,10,4288400.0,8030,Semi-Furnished,Office,Agent,1.0,0
PROP-000150,2023-05-23,Pune,1004,5,2.0,40,8467029.0,11730,Furnished,Apartment,Owner,0.0,0
PROP-000151,2020-02-08,Pune,2240,3,3.0,23,8916742.0,18497,Semi-Furnished,Office,Agent,0.0,1
PROP-000152,2020-11-20,Kolkata,3190,2,3.0,26,3404280.0,13265,Unfurnished,Office,Builder,1.0,2
PROP-000153,2019-04-09,Pune,3174,3,3.0,44,11094203.0,14764,Furnished,Plot,Owner,0.0,2
PROP-000154,2018-12-29,Pune,4143,5,3.0,3,17825003.0,11525,Furnished,Villa,Agent,1.0,2
PROP-000155,2022-09-04,Mumbai,4947,5,2.0,29,15986306.0,14346,Semi-Furnished,Villa,Owner,1.0,1
PROP-000156,2022-09-11,Chennai,4380,3,3.0,15,,13525,Furnished,Apartment,Agent,1.0,1
PROP-000157,2021-05-12,Mumbai,2493,1,1.0,25,2000987.0,9274,Semi-Furnished,Plot,Builder,1.0,0
PROP-000158,2022-03-02,Kolkata,2512,2,2.0,0,11081564.0,11899,Semi-Furnished,Office,Builder,1.0,0
PROP-000159,2023-02-25,Kolkata,2254,3,3.0,8,3763321.0,13103,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000160,2018-10-04,Kolkata,1231,5,1.0,41,14839012.0,4158,Semi-Furnished,Office,Builder,1.0,2
PROP-000161,2021-03-21,Pune,711,4,2.0,33,12602719.0,11417,Semi-Furnished,Villa,Owner,1.0,0
PROP-000162,2022-08-29,Pune,2147,1,2.0,41,17465735.0,18542,Furnished,Villa,Owner,0.0,1
PROP-000163,2019-02-15,Chennai,4413,3,1.0,6,,14316,Furnished,Apartment,Builder,1.0,1
PROP-000164,2022-09-01,Bangalore,4325,2,1.0,9,11146221.0,16480,Unfurnished,Villa,Owner,0.0,0
PROP-000165,2018-08-04,Pune,2047,5,2.0,15,12684185.0,3621,Semi-Furnished,Apartment,Agent,1.0,0
PROP-000166,2021-02-28,Pune,3892,4,3.0,24,4188222.0,15962,Semi-Furnished,Villa,Owner,0.0,0
PROP-000167,2022-08-16,Kolkata,2120,4,2.0,16,14815881.0,8242,Semi-Furnished,Villa,Builder,1.0,1
PROP-000168,2021-11-15,Chennai,3650,5,4.0,41,8798841.0,7776,Unfurnished,Apartment,Agent,1.0,0
PROP-000169,2020-12-25,Pune,3528,3,3.0,1,12414418.0,14761,Furnished,Apartment,Agent,1.0,2
PROP-000170,2019-08-27,Pune,2487,3,4.0,1,2782371.0,13859,Furnished,Apartment,Agent,0.0,1
PROP-000171,2020-07-30,Delhi,3229,4,4.0,18,9568740.0,9346,Semi-Furnished,Plot,Agent,0.0,1
PROP-000172,2021-11-10,Kolkata,3741,3,1.0,27,3143409.0,18016,Unfurnished,Office,Agent,0.0,1
PROP-000173,2022-09-09,Kolkata,3461,4,4.0,15,,15920,Furnished,Apartment,Owner,0.0,1
PROP-000174,2023-01-04,Mumbai,541,4,2.0,23,12008753.0,18669,Semi-Furnished,Apartment,Owner,1.0,0
PROP-000175,2021-02-14,Delhi,1327,2,4.0,35,15753140.0,10871,Semi-Furnished,Office,Owner,0.0,1
PROP-000176,2020-10-16,Bangalore,3721,1,1.0,17,15293316.0,12563,Unfurnished,Apartment,Owner,0.0,1
PROP-000177,2019-08-14,Bangalore,1515,2,3.0,2,15714821.0,3915,Furnished,Villa,Builder,1.0,2
PROP-000178,2020-01-07,Chennai,1662,1,4.0,42,7154760.0,4760,Unfurnished,Villa,Builder,1.0,0
PROP-000179,2018-03-22,Delhi,2020,3,1.0,20,12767246.0,12783,Furnished,Villa,Agent,1.0,0
PROP-000180,2018-01-09,Delhi,1129,3,3.0,20,11220369.0,12798,Unfurnished,Plot,Builder,1.0,2
PROP-000181,2019-12-24,Delhi,4365,2,3.0,10,10931775.0,8109,Furnished,Office,Owner,0.0,0
PROP-000182,2021-06-06,Bangalore,1865,1,1.0,31,12445492.0,4078,Furnished,Villa,Agent,0.0,0
PROP-000183,2019-11-20,Chennai,4942,5,3.0,34,9917238.0,15779,Unfurnished,Office,Agent,0.0,0
PROP-000184,2022-09-18,Mumbai,4059,5,,21,13143975.0,16525,Semi-Furnished,Apartment,Builder,0.0,2
PROP-000185,2018-03-15,Kolkata,1236,3,2.0,28,19276895.0,6767,Furnished,Office,Builder,0.0,1
PROP-000186,2023-04-02,Kolkata,4384,1,,17,13940199.0,5154,Furnished,Plot,Builder,0.0,2
PROP-000187,2020-02-10,Kolkata,3694,2,2.0,20,12323087.0,9969,Unfurnished,Plot,Owner,0.0,0
PROP-000188,2022-10-02,Bangalore,2599,4,1.0,46,3854824.0,5875,Unfurnished,Plot,Owner,0.0,2
PROP-000189,2018-12-26,Delhi,810,2,3.0,32,14345800.0,15892,Unfurnished,Office,Owner,0.0,2
PROP-000190,2018-06-15,Delhi,2881,1,2.0,5,13417155.0,12507,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000191,2021-02-20,Pune,4447,5,3.0,45,18931812.0,3022,Unfurnished,Office,Builder,1.0,1
PROP-000192,2021-11-06,Pune,956,1,4.0,7,14161327.0,6250,Unfurnished,Villa,Owner,1.0,1
PROP-000193,2022-03-03,Delhi,3803,2,4.0,40,18706030.0,8161,Furnished,Plot,Owner,1.0,0
PROP-000194,2021-11-03,Kolkata,3091,5,2.0,48,2104112.0,15884,Furnished,Plot,Owner,1.0,2
PROP-000195,2021-11-20,Delhi,523,2,2.0,39,7223949.0,8080,Semi-Furnished,Plot,Owner,1.0,0
PROP-000196,2019-04-18,Bangalore,3504,2,3.0,37,19741511.0,6630,Unfurnished,Plot,Owner,1.0,2
PROP-000197,2018-10-14,Mumbai,4559,2,3.0,12,14839221.0,19320,Unfurnished,Office,Builder,0.0,2
PROP-000198,2023-05-16,Mumbai,2700,2,3.0,11,18891777.0,14385,Semi-Furnished,Apartment,Owner,1.0,0
PROP-000199,2018-01-23,Bangalore,2379,3,4.0,17,,8382,Unfurnished,Office,Agent,0.0,0
PROP-000200,2021-01-08,Mumbai,3190,3,1.0,27,18676052.0,9338,Unfurnished,Villa,Agent,1.0,1
PROP-000201,2019-10-25,Chennai,2231,1,3.0,7,4464479.0,8088,Unfurnished,Plot,Builder,0.0,2
PROP-000202,2019-07-21,Mumbai,3142,2,2.0,30,2205225.0,19479,Semi-Furnished,Apartment,Builder,0.0,0
PROP-000203,2021-09-18,Chennai,2562,4,4.0,45,9294272.0,6904,Semi-Furnished,Apartment,Builder,1.0,0
PROP-000204,2022-02-19,Mumbai,3394,2,2.0,21,11968682.0,10713,Unfurnished,Plot,Owner,0.0,1
PROP-000205,2019-11-09,Mumbai,4024,5,1.0,41,7692309.0,8252,Unfurnished,Villa,Builder,0.0,1
PROP-000206,2023-02-22,Pune,2553,4,3.0,-15,9837933.0,7713,Furnished,Villa,Owner,1.0,1
PROP-000207,2023-03-07,Kolkata,4480,2,2.0,6,8101498.0,19883,Semi-Furnished,Apartment,Agent,1.0,1
PROP-000208,2021-04-10,Chennai,3370,1,4.0,9,6377568.0,18108,Furnished,Apartment,Owner,0.0,0
PROP-000209,2022-11-25,Pune,3317,5,4.0,16,17347830.0,8338,Furnished,Villa,Owner,1.0,1
PROP-000210,2020-10-29,Pune,3704,1,2.0,40,2538960.0,18727,Unfurnished,Plot,Builder,0.0,2
PROP-000211,2022-11-11,Bangalore,1309,5,2.0,24,,3114,Unfurnished,Plot,Agent,1.0,1
,2021-09-03,Bangalore,1042,2,1.0,28,12249284.0,17665,Unfurnished,Office,Owner,1.0,2
PROP-000213,2020-06-18,Delhi,3006,1,1.0,19,6375215.0,11331,Semi-Furnished,Apartment,Agent,0.0,1
PROP-000214,2018-08-19,Chennai,2398,5,3.0,46,13259840.0,13116,Furnished,Villa,Agent,0.0,2
,2022-05-02,Bangalore,1578,3,3.0,49,5277106.0,19205,Unfurnished,Plot,Owner,0.0,1
PROP-000216,2023-03-17,Bangalore,1281,5,2.0,48,16435938.0,14378,Furnished,Plot,Agent,0.0,2
PROP-000217,2020-01-20,Delhi,1765,2,4.0,8,18719396.0,12629,Semi-Furnished,Villa,Agent,1.0,1
PROP-000218,2020-12-13,Mumbai,1696,3,3.0,17,4208233.0,4367,Semi-Furnished,Villa,Owner,1.0,0
PROP-000219,2021-02-16,Mumbai,3920,4,1.0,21,7539373.0,16291,Unfurnished,Office,Builder,1.0,2
PROP-000220,2022-11-15,Pune,1740,2,3.0,31,2100490.0,12124,Semi-Furnished,Plot,Owner,0.0,2
PROP-000221,2022-02-01,Delhi,4062,1,2.0,27,,19565,Semi-Furnished,Office,Agent,0.0,0
PROP-000222,2018-07-24,Chennai,4562,2,4.0,42,8814821.0,3967,Furnished,Office,Owner,0.0,0
PROP-000223,2018-06-24,Bangalore,1285,3,1.0,41,2235018.0,10406,Semi-Furnished,Office,Agent,1.0,0
PROP-000224,2021-11-20,Kolkata,3076,4,3.0,9,3702818.0,16634,Unfurnished,Plot,Owner,1.0,1
PROP-000225,2021-06-20,Chennai,3436,3,1.0,30,9708062.0,19301,Semi-Furnished,Office,Owner,0.0,2
PROP-000226,2022-05-26,Bangalore,2806,4,3.0,5,4606615.0,16068,Furnished,Office,Builder,1.0,1
PROP-000227,2019-03-15,Mumbai,3574,3,1.0,40,7694744.0,13898,Semi-Furnished,Apartment,Agent,1.0,1
PROP-000228,2020-12-23,Bangalore,4868,3,2.0,39,12640341.0,14782,Semi-Furnished,Plot,Agent,0.0,2
PROP-000229,2019-10-02,Mumbai,4233,1,2.0,7,19998907.0,11743,Unfurnished,Apartment,Owner,1.0,0
PROP-000230,2022-05-30,Delhi,526,4,3.0,35,13603041.0,19924,Furnished,Plot,Agent,0.0,1
PROP-000231,2023-06-03,Kolkata,2105,1,1.0,15,18677286.0,15612,Semi-Furnished,Plot,Owner,1.0,2
