sku,product_name,category,warehouse,stock_date,stock_qty,reorder_point,incoming_qty,outgoing_qty,unit_cost,stock_value,days_since_last_stock,is_low_stock,supplier
SKU-01310,Product_273,Electronics,WH-Delhi,2023-10-27,329,93,231.0,327,1837.0,393983,56,0,Supplier_28
SKU-00455,Product_223,Apparel,WH-Chennai,2023-08-21,126,59,90.0,326,805.0,302067,44,0,Supplier_19
SKU-01994,Product_330,Grocery,WH-Bangalore,2023-05-19,596,97,283.0,266,4291.0,255307,73,1,Supplier_61
SKU-00257,Product_455,Books,WH-Delhi,2024-02-01,307,68,282.0,190,1882.0,448981,53,1,Supplier_50
SKU-00687,Product_461,Books,WH-Bangalore,2023-07-27,552,63,219.0,477,2074.0,92744,35,0,Supplier_19
SKU-01751,Product_290,Apparel,WH-Chennai,2023-07-29,525,28,345.0,251,465.0,309111,65,0,Supplier_53
SKU-01240,Product_223,Apparel,WH-Chennai,2023-03-19,200,22,333.0,350,2695.0,428988,21,0,Supplier_26
SKU-00110,Product_371,Electronics,WH-Delhi,2023-05-08,456,98,435.0,343,774.0,168183,15,1,Supplier_20
SKU-00474,Product_456,Books,WH-Bangalore,2023-07-18,545,10,354.0,238,1408.0,422847,23,0,Supplier_85
SKU-01812,Product_46,Grocery,WH-Delhi,2023-03-25,998,65,416.0,82,3678.0,270239,31,1,Supplier_81
SKU-00478,Product_68,Electronics,WH-Chennai,2023-02-04,852,75,481.0,180,4356.0,463087,43,0,Supplier_28
SKU-00379,Product_181,Apparel,WH-Bangalore,2023-04-12,526,49,185.0,440,1349.0,394275,6,1,Supplier_45
SKU-01601,Product_16,Electronics,WH-Mumbai,2023-04-26,163,48,419.0,355,2805.0,78661,62,1,Supplier_53
SKU-01785,Product_464,Home,WH-Chennai,2023-06-22,617,88,198.0,479,2833.0,30036,2,0,Supplier_32
SKU-01013,Product_26,Grocery,WH-Delhi,2023-08-09,320,52,438.0,356,371.0,396979,29,0,Supplier_68
SKU-01963,Product_216,Apparel,WH-Mumbai,2023-05-03,888,72,53.0,390,4701.0,422614,67,1,Supplier_9
SKU-00384,Product_136,Apparel,WH-Mumbai,2023-08-20,813,25,157.0,126,4546.0,277815,440,1,Supplier_82
SKU-01457,Product_68,Apparel,WH-Bangalore,2023-06-14,892,10,403.0,335,2053.0,285035,29,1,Supplier_71
SKU-01920,Product_392,Apparel,WH-Chennai,2023-07-04,15,54,263.0,54,1852.0,393736,39,1,Supplier_76
SKU-00090,Product_352,Grocery,WH-Chennai,2023-02-03,14,45,,335,2488.0,10798,56,0,Supplier_34
SKU-00721,Product_109,Apparel,WH-Chennai,2024-01-05,712,64,323.0,233,2558.0,437401,39,1,Supplier_68
SKU-01574,Product_339,Home,WH-Delhi,2023-06-30,96,70,444.0,303,2280.0,394711,85,0,Supplier_61
SKU-01920,Product_430,Home,WH-Delhi,2023-09-28,971,34,157.0,240,512.0,431226,6,0,Supplier_17
SKU-00697,Product_30,Grocery,WH-Delhi,2023-01-28,228,51,294.0,479,427.0,328870,63,0,Supplier_29
SKU-00004,Product_84,Grocery,WH-Mumbai,2023-06-01,261,21,331.0,203,1324.0,450082,33,0,Supplier_8
SKU-00524,Product_168,Electronics,WH-Delhi,2024-01-22,58,43,274.0,307,3369.0,58095,13,1,Supplier_15
SKU-01679,Product_166,Grocery,WH-Mumbai,2024-01-05,726,62,24.0,118,4718.0,-229679,80,0,Supplier_34
SKU-00114,Product_418,Apparel,WH-Bangalore,2023-11-29,745,23,179.0,59,2999.0,372377,19,0,Supplier_56
SKU-01672,Product_275,Apparel,WH-Chennai,2023-08-13,68,97,416.0,27,3520.0,473366,72,0,Supplier_86
SKU-01283,Product_399,Grocery,WH-Mumbai,2023-03-01,583,99,4720.0,253,2872.0,364418,54,0,Supplier_81
SKU-00514,Product_19,Books,WH-Bangalore,2023-04-03,393,75,171.0,454,3952.0,82484,59,1,Supplier_48
SKU-01582,Product_461,Electronics,WH-Delhi,2023-01-31,597,36,311.0,197,1003.0,314702,16,0,Supplier_43
SKU-00779,Product_103,Electronics,WH-Bangalore,2023-09-01,91,81,180.0,421,2996.0,392590,22,0,Supplier_41
SKU-00952,Product_361,Books,WH-Delhi,2023-01-05,26,68,148.0,492,4622.0,313387,47,1,Supplier_21
SKU-00159,Product_402,Home,WH-Chennai,2023-12-05,454,71,245.0,84,4501.0,389022,84,0,Supplier_87
SKU-00038,Product_129,Books,WH-Delhi,2023-10-25,682,96,,13,2709.0,449052,21,1,Supplier_30
SKU-01432,Product_170,Apparel,WH-Mumbai,2023-11-29,368,14,151.0,115,,225735,9,0,Supplier_99
SKU-00183,Product_145,Home,WH-Delhi,2023-12-24,147,76,463.0,447,4906.0,31677,42,1,Supplier_99
SKU-00800,Product_429,Electronics,WH-Delhi,2023-08-28,284,95,274.0,152,12.0,32135,22,1,Supplier_24
SKU-00758,Product_132,Electronics,WH-Chennai,2023-02-22,470,51,326.0,97,2413.0,365396,10,0,Supplier_93
SKU-00619,Product_83,Home,WH-Chennai,2023-09-14,375,78,9.0,289,2562.0,336477,26,1,Supplier_60
SKU-00456,Product_307,Books,WH-Delhi,2023-05-02,469,95,282.0,99,185.0,289083,30,0,Supplier_60
SKU-00545,Product_202,Home,WH-Delhi,2023-04-13,417,96,19.0,114,804.0,75297,56,0,Supplier_22
SKU-01538,Product_232,Grocery,WH-Bangalore,2023-07-05,18,92,203.0,143,3381.0,68030,63,0,Supplier_81
SKU-00819,Product_352,Electronics,WH-Bangalore,2023-06-30,702,15,286.0,87,63.0,85713,39,1,Supplier_16
SKU-01324,Product_474,Grocery,WH-Bangalore,2023-06-30,407,56,369.0,450,371.0,215,9,0,Supplier_45
SKU-00420,Product_314,Home,WH-Mumbai,2023-07-09,919,38,387.0,441,3478.0,154979,77,0,Supplier_40
SKU-01839,Product_203,Apparel,WH-Bangalore,2023-02-02,979,88,409.0,183,4867.0,423574,67,0,Supplier_73
SKU-01318,Product_430,Electronics,WH-Chennai,2023-12-13,319,21,187.0,224,1988.0,261954,23,0,Supplier_40
SKU-01029,Product_22,Books,WH-Delhi,2023-03-09,796,49,57.0,395,3356.0,495004,84,1,Supplier_4
SKU-01189,Product_491,Grocery,WH-Bangalore,2023-12-10,933,29,338.0,149,2430.0,466029,40,0,Supplier_20
SKU-01664,Product_184,Home,WH-Delhi,2023-03-24,866,11,7.0,154,587.0,165752,45,0,Supplier_22
SKU-01394,Product_178,Electronics,WH-Chennai,2023-02-17,557,61,439.0,382,3760.0,125271,54,0,Supplier_78
SKU-01674,Product_50,Grocery,WH-Bangalore,2023-05-12,333,86,190.0,220,2977.0,424723,26,1,Supplier_87
SKU-00879,Product_204,Books,WH-Mumbai,2023-12-18,426,89,295.0,470,1485.0,431248,13,1,Supplier_8
SKU-01343,Product_370,Home,WH-Chennai,2023-11-17,158,33,193.0,115,,97607,51,1,Supplier_64
SKU-00711,Product_27,Grocery,WH-Bangalore,2023-06-16,823,25,224.0,354,3717.0,357975,69,0,Supplier_67
SKU-01466,Product_300,Books,WH-Bangalore,2023-09-04,640,94,109.0,420,2110.0,479324,41,0,Supplier_100
SKU-01142,Product_232,Electronics,WH-Bangalore,2023-12-13,975,11,497.0,391,3037.0,458578,17,0,Supplier_71
SKU-00719,Product_298,Home,WH-Delhi,2023-03-21,485,45,216.0,111,10.0,390262,25,1,Supplier_93
SKU-01550,Product_288,Books,WH-Bangalore,2023-12-19,430,45,334.0,90,739.0,463998,38,1,Supplier_36
SKU-00638,Product_381,Apparel,WH-Delhi,2023-01-21,752,27,455.0,433,1445.0,417715,66,0,Supplier_71
SKU-01931,Product_157,Apparel,WH-Delhi,2023-12-23,877,38,310.0,55,2837.0,368911,12,1,Supplier_6
SKU-01545,Product_155,Apparel,WH-Mumbai,2023-09-16,471,59,375.0,356,3697.0,44534,57,1,
SKU-01923,Product_349,Apparel,WH-Mumbai,2023-01-21,964,38,159.0,75,1192.0,240098,11,1,Supplier_38
SKU-01110,Product_380,Electronics,WH-Bangalore,2023-09-02,935,48,180.0,495,291.0,51743,73,0,Supplier_61
SKU-01015,Product_226,Home,WH-Bangalore,2023-09-04,375,67,442.0,79,1134.0,383757,15,0,Supplier_38
SKU-00653,Product_361,Books,WH-Mumbai,2023-08-13,381,67,378.0,308,743.0,484050,88,0,Supplier_94
SKU-01265,Product_175,Electronics,WH-Delhi,2023-04-29,111,11,450.0,106,979.0,405090,450,0,
SKU-00048,Product_490,Books,WH-Mumbai,2024-01-26,440,23,201.0,175,2997.0,338426,880,0,Supplier_22
SKU-00156,Product_275,Grocery,WH-Chennai,2023-06-11,745,23,381.0,9,640.0,111021,41,1,Supplier_67
SKU-00018,Product_138,Grocery,WH-Delhi,2023-07-31,383,86,109.0,256,826.0,417729,69,0,Supplier_40
SKU-01587,Product_456,Electronics,WH-Delhi,2023-07-28,494,12,349.0,203,3149.0,396697,14,1,Supplier_98
SKU-01374,Product_99,Grocery,WH-Delhi,2023-02-20,912,29,277.0,343,219.0,408340,20,1,Supplier_78
SKU-00076,Product_4,Electronics,WH-Bangalore,2023-05-14,337,81,350.0,305,4161.0,233242,75,0,Supplier_33
SKU-00294,Product_388,Grocery,WH-Delhi,2023-09-03,598,54,418.0,171,2689.0,273587,71,1,Supplier_51
SKU-00183,Product_393,Grocery,WH-Bangalore,2023-10-07,972,42,145.0,225,4671.0,297683,20,0,Supplier_61
SKU-00700,Product_238,Electronics,WH-Chennai,2023-06-05,727,37,411.0,269,2066.0,277391,55,0,Supplier_5
SKU-00106,Product_352,Home,WH-Chennai,2023-11-04,536,38,175.0,309,2982.0,135771,20,0,Supplier_31
SKU-00541,Product_300,Books,WH-Chennai,2023-11-25,330,17,284.0,60,4487.0,402776,57,1,Supplier_1
SKU-01421,Product_186,Electronics,WH-Delhi,2023-08-11,378,59,445.0,380,3069.0,273357,53,1,Supplier_47
SKU-00171,Product_84,Grocery,WH-Delhi,2023-08-10,611,45,408.0,282,763.0,75008,83,1,
SKU-00009,Product_326,Apparel,WH-Chennai,2023-02-28,686,44,153.0,405,2525.0,107168,60,0,Supplier_38
SKU-01651,Product_207,Books,WH-Chennai,2024-01-14,737,11,113.0,313,2148.0,243263,41,1,Supplier_71
SKU-00797,Product_152,Apparel,WH-Mumbai,2023-05-02,431,16,56.0,478,2612.0,128878,45,1,Supplier_14
SKU-00442,Product_331,Home,WH-Bangalore,2023-12-28,586,77,76.0,283,386.0,268614,69,1,Supplier_25
SKU-00314,Product_452,Grocery,WH-Chennai,2023-11-29,718,60,11.0,314,2001.0,334480,5,1,Supplier_63
SKU-01207,Product_448,Grocery,WH-Delhi,2023-10-12,629,21,110.0,82,4494.0,365,76,0,Supplier_35
SKU-00378,Product_86,Grocery,WH-Bangalore,2023-07-25,846,62,,314,1328.0,126206,6,1,Supplier_27
SKU-01887,Product_173,Apparel,WH-Delhi,2023-02-13,98,21,4.0,287,2622.0,292520,28,1,Supplier_85
SKU-00538,Product_180,Home,WH-Bangalore,2023-06-16,738,31,81.0,323,1290.0,176094,32,0,Supplier_52
SKU-01453,Product_29,Electronics,WH-Chennai,2023-06-19,690,28,61.0,262,1315.0,424191,51,0,Supplier_57
SKU-00897,Product_150,Electronics,WH-Chennai,2023-03-21,709,76,46.0,424,1496.0,188217,18,1,Supplier_27
SKU-00567,Product_112,Electronics,WH-Delhi,2023-01-09,970,91,320.0,281,1405.0,226833,3,0,Supplier_61
SKU-00794,Product_79,Home,WH-Delhi,2023-02-07,280,98,492.0,216,3899.0,223044,0,0,Supplier_16
SKU-01711,Product_289,Electronics,WH-Chennai,2023-06-19,755,42,39.0,42,3887.0,215394,87,0,Supplier_28
SKU-00398,Product_388,Apparel,WH-Mumbai,2024-02-04,826,95,376.0,67,4093.0,498848,68,1,Supplier_71
SKU-01886,Product_237,Electronics,WH-Bangalore,2023-08-21,759,39,485.0,48,2565.0,143842,52,0,Supplier_71
SKU-00110,Product_448,Books,WH-Bangalore,2023-11-25,520,26,249.0,449,3811.0,384293,54,1,Supplier_19
SKU-01019,Product_53,Home,WH-Mumbai,2023-07-22,913,69,317.0,490,3959.0,396293,18,1,Supplier_25
SKU-00198,Product_321,Electronics,WH-Delhi,2023-07-18,579,99,371.0,418,983.0,349731,24,1,Supplier_88
SKU-01326,Product_153,Books,WH-Bangalore,2023-02-22,934,72,475.0,265,,302707,16,0,Supplier_95
SKU-01552,Product_15,Books,WH-Mumbai,2023-05-05,576,88,131.0,197,2801.0,359868,14,1,Supplier_75
SKU-01131,Product_484,Apparel,WH-Delhi,2023-03-02,243,13,335.0,468,3709.0,264399,370,0,Supplier_16
SKU-01448,Product_159,Books,WH-Chennai,,727,47,63.0,255,1860.0,226041,23,1,Supplier_4
SKU-01386,Product_10,Home,WH-Chennai,2023-01-10,241,73,180.0,60,1691.0,244202,59,1,Supplier_87
SKU-00093,Product_124,Books,WH-Delhi,2023-06-03,601,99,212.0,326,1990.0,215343,28,1,Supplier_80
SKU-00485,Product_223,Apparel,WH-Bangalore,2023-02-27,759,75,78.0,328,4093.0,409659,64,1,Supplier_45
SKU-01050,Product_316,Apparel,WH-Delhi,2023-12-06,453,85,,60,3988.0,380010,88,0,Supplier_94
SKU-01346,Product_104,Grocery,WH-Bangalore,2023-10-14,418,63,113.0,10,486.0,499673,21,1,Supplier_82
SKU-01260,Product_415,Electronics,WH-Mumbai,2023-01-05,524,25,,475,3241.0,415989,83,1,Supplier_58
SKU-00686,Product_200,Electronics,WH-Bangalore,2023-11-22,633,29,286.0,440,2868.0,9263,41,1,Supplier_44
SKU-00533,Product_311,Home,WH-Delhi,2023-12-14,901,80,237.0,243,923.0,384050,19,0,Supplier_25
SKU-01508,Product_20,Apparel,WH-Chennai,2024-01-11,961,27,159.0,58,4638.0,420161,30,1,Supplier_28
SKU-00164,Product_381,Home,WH-Delhi,2023-10-06,109,87,358.0,154,,35581,6,0,Supplier_74
SKU-01297,Product_483,Books,WH-Bangalore,2023-06-19,156,15,262.0,490,1064.0,184272,6,1,Supplier_55
SKU-01457,Product_21,Home,WH-Bangalore,2023-06-11,857,44,172.0,210,444.0,226412,50,1,Supplier_19
SKU-01732,Product_399,Electronics,WH-Chennai,2023-10-06,758,10,449.0,150,1537.0,119913,49,0,Supplier_76
SKU-00692,Product_126,Books,WH-Chennai,2024-01-27,878,35,73.0,200,4917.0,344385,8,1,Supplier_78
SKU-01335,Product_37,Home,WH-Delhi,,342,39,42.0,296,2027.0,121733,30,0,Supplier_25
SKU-01746,Product_209,Electronics,WH-Chennai,2024-02-02,106,44,188.0,286,2229.0,455942,60,0,Supplier_2
SKU-01678,Product_277,Electronics,WH-Mumbai,,936,10,208.0,325,1593.0,436924,84,0,Supplier_87
SKU-00438,Product_57,Electronics,WH-Chennai,2023-03-14,787,92,213.0,366,1312.0,268630,41,0,Supplier_15
SKU-00826,Product_243,Home,WH-Delhi,2024-01-17,436,14,410.0,38,3735.0,96634,4,1,Supplier_19
SKU-01746,Product_283,Grocery,WH-Mumbai,2023-12-19,71,22,447.0,195,3395.0,68447,0,1,Supplier_91
SKU-00805,Product_244,Grocery,WH-Chennai,2023-06-14,657,62,469.0,143,427.0,265934,4,1,Supplier_7
SKU-00940,Product_496,Books,WH-Bangalore,2023-07-01,125,45,437.0,400,550.0,288064,57,1,Supplier_55
SKU-01543,Product_160,Home,WH-Chennai,2023-08-22,844,51,49.0,293,1423.0,292723,9,1,Supplier_48
SKU-00373,Product_251,Books,WH-Chennai,2023-07-20,78,28,22.0,303,168.0,419377,61,0,Supplier_82
SKU-00513,Product_475,Books,WH-Chennai,2023-03-13,163,27,38.0,421,443.0,350466,63,0,Supplier_24
SKU-01859,Product_162,Electronics,WH-Delhi,2023-04-27,465,38,316.0,91,2610.0,271103,19,0,Supplier_61
SKU-01177,Product_112,Grocery,WH-Bangalore,2023-07-22,602,65,343.0,177,2850.0,73019,82,1,Supplier_33
SKU-00247,Product_289,Books,WH-Delhi,2023-03-26,161,23,267.0,299,397.0,28100,19,0,Supplier_86
SKU-01753,Product_107,Apparel,WH-Chennai,2023-12-13,134,37,347.0,192,694.0,476701,70,1,Supplier_11
SKU-01418,Product_350,Grocery,WH-Chennai,2023-10-25,721,41,496.0,294,3625.0,131159,81,1,Supplier_65
SKU-01210,Product_429,Grocery,WH-Bangalore,2023-07-02,389,57,401.0,238,3930.0,452307,48,0,Supplier_10
SKU-01987,Product_344,Apparel,WH-Mumbai,2023-08-10,617,49,217.0,52,96.0,430792,12,1,Supplier_38
SKU-01695,Product_197,Grocery,WH-Chennai,2023-11-16,744,67,448.0,265,3235.0,457637,2,1,Supplier_24
SKU-01345,Product_447,Home,WH-Chennai,2023-11-24,470,45,366.0,315,4369.0,357420,8,1,Supplier_33
SKU-00055,Product_331,Electronics,WH-Mumbai,2023-05-09,511,85,340.0,360,3964.0,340295,62,0,Supplier_98
SKU-01266,Product_198,Home,WH-Bangalore,2023-04-15,409,87,384.0,405,2049.0,423572,63,1,Supplier_66
SKU-01899,Product_105,Home,WH-Delhi,2024-01-11,43,30,371.0,198,4053.0,350486,82,0,Supplier_94
SKU-01270,Product_482,Apparel,WH-Mumbai,2023-08-27,418,87,271.0,213,923.0,163717,63,0,Supplier_75
SKU-00778,Product_469,Books,WH-Chennai,2024-01-08,384,49,109.0,256,2899.0,443619,87,0,Supplier_45
SKU-00578,Product_130,Grocery,WH-Chennai,,8,90,175.0,219,,374232,30,1,Supplier_33
SKU-01466,Product_187,Home,WH-Chennai,2024-01-22,624,60,328.0,405,852.0,5385,17,1,Supplier_46
SKU-00153,Product_213,Apparel,WH-Chennai,2023-03-06,939,99,285.0,1,1358.0,375976,48,0,Supplier_71
SKU-01974,Product_187,Home,WH-Mumbai,2023-01-12,993,65,443.0,349,1734.0,380596,65,0,Supplier_13
SKU-01821,Product_161,Grocery,WH-Chennai,2023-09-30,902,99,2920.0,29,1437.0,349885,22,1,Supplier_66
SKU-00065,Product_179,Apparel,WH-Chennai,2023-11-08,817,69,60.0,43,4579.0,151543,30,1,Supplier_14
SKU-01502,Product_380,Home,WH-Chennai,2023-11-17,888,22,116.0,121,168.0,443684,21,0,Supplier_14
SKU-00713,Product_233,Apparel,WH-Mumbai,2023-02-11,583,95,133.0,148,4337.0,208829,62,1,Supplier_95
SKU-00736,Product_80,Books,WH-Chennai,2023-03-10,610,72,476.0,283,3115.0,396118,50,1,Supplier_19
SKU-01405,Product_161,Books,WH-Mumbai,2023-06-19,78,82,490.0,211,2948.0,1377,51,1,Supplier_80
SKU-01255,Product_156,Books,WH-Chennai,2023-03-07,0,14,350.0,383,1023.0,23468,28,0,Supplier_47
SKU-00223,Product_36,Books,WH-Bangalore,2023-02-12,829,45,89.0,487,4568.0,183807,9,0,Supplier_70
SKU-01249,Product_407,Electronics,WH-Bangalore,2023-02-02,491,56,64.0,123,1977.0,36228,53,0,Supplier_36
SKU-01479,Product_64,Grocery,WH-Bangalore,2023-09-16,476,42,283.0,316,1937.0,420301,16,0,Supplier_12
SKU-01828,Product_245,Electronics,WH-Chennai,2023-02-10,999,68,3550.0,297,4503.0,213396,41,1,Supplier_41
SKU-00856,Product_22,Apparel,WH-Delhi,2023-05-28,673,31,451.0,424,4950.0,236553,7,1,Supplier_21
SKU-01302,Product_319,Books,WH-Chennai,2023-01-25,86,89,145.0,36,4509.0,437123,68,1,Supplier_44
SKU-00989,Product_457,Home,WH-Delhi,2023-05-16,423,61,406.0,134,1875.0,348728,69,0,Supplier_77
SKU-00567,Product_394,Electronics,WH-Mumbai,2023-04-26,997,17,21.0,355,734.0,222684,78,1,Supplier_33
SKU-01459,Product_97,Books,WH-Mumbai,2023-04-17,327,59,97.0,282,686.0,270985,74,0,Supplier_76
SKU-01133,Product_63,Apparel,WH-Chennai,2023-05-14,0,41,119.0,389,1326.0,11188,51,0,Supplier_7
SKU-01965,Product_450,Grocery,WH-Mumbai,2024-01-21,353,61,3340.0,176,1446.0,3657,65,0,Supplier_17
SKU-00326,Product_182,Books,WH-Delhi,2023-09-18,697,83,430.0,23,1344.0,224862,59,1,Supplier_2
SKU-00917,Product_245,Electronics,WH-Mumbai,2023-06-09,261,15,170.0,103,3736.0,133719,17,1,Supplier_14
SKU-00275,Product_334,Grocery,WH-Bangalore,2023-08-24,263,17,7.0,236,3700.0,53150,55,0,Supplier_57
SKU-00393,Product_405,Electronics,WH-Chennai,2023-03-13,374,94,238.0,447,473.0,329234,35,0,Supplier_58
SKU-01140,Product_64,Books,WH-Bangalore,2023-11-25,113,46,236.0,190,2184.0,102784,72,0,Supplier_53
SKU-00920,Product_342,Grocery,WH-Mumbai,2023-02-18,48,36,426.0,460,4488.0,409549,40,1,Supplier_15
SKU-01970,Product_2,Books,WH-Delhi,2024-02-02,519,54,133.0,270,968.0,480027,81,0,Supplier_77
SKU-00224,Product_366,Home,WH-Chennai,2023-09-15,221,21,475.0,331,4595.0,3640,23,0,Supplier_78
SKU-00681,Product_60,Home,WH-Delhi,2023-08-23,214,71,90.0,71,3886.0,172599,23,1,Supplier_54
SKU-01852,Product_198,Books,WH-Delhi,2023-01-04,840,10,87.0,87,3867.0,262054,65,1,Supplier_52
SKU-01900,Product_54,Apparel,WH-Mumbai,2023-04-23,980,33,315.0,468,3045.0,264155,26,1,Supplier_99
SKU-01610,Product_15,Books,WH-Delhi,2023-01-23,615,47,183.0,439,645.0,211997,44,1,Supplier_64
SKU-00280,Product_442,Electronics,WH-Delhi,2023-10-20,899,32,303.0,250,2962.0,-61537,30,1,Supplier_33
SKU-00355,Product_6,Apparel,WH-Delhi,2024-01-27,448,93,68.0,109,287.0,223270,15,0,Supplier_56
SKU-00407,Product_290,Grocery,WH-Mumbai,,373,18,42.0,158,3667.0,63709,87,0,Supplier_99
SKU-00939,Product_114,Grocery,WH-Bangalore,2023-01-13,623,15,247.0,400,3932.0,184607,3,1,Supplier_67
SKU-00204,Product_47,Home,WH-Delhi,2023-02-24,437,95,316.0,353,2796.0,-147515,26,1,Supplier_48
SKU-00303,Product_126,Apparel,WH-Bangalore,2023-01-12,232,43,297.0,322,3409.0,283453,17,0,Supplier_19
SKU-01361,Product_89,Apparel,WH-Delhi,2023-11-02,671,15,176.0,205,2325.0,337780,49,1,Supplier_9
SKU-01246,Product_416,Electronics,WH-Mumbai,2024-01-17,160,99,158.0,14,2358.0,132935,55,1,Supplier_70
SKU-00058,Product_127,Grocery,WH-Bangalore,2023-05-25,540,75,328.0,8,1036.0,157369,34,0,Supplier_17
SKU-01634,Product_351,Apparel,WH-Mumbai,2023-09-09,681,16,87.0,182,3950.0,410135,50,0,Supplier_43
SKU-00054,Product_395,Books,WH-Bangalore,2023-02-19,286,86,152.0,66,3660.0,148517,7,0,Supplier_8
SKU-00974,Product_280,Grocery,WH-Chennai,2023-02-05,725,52,154.0,101,2808.0,150999,56,1,Supplier_3
SKU-00311,Product_121,Books,WH-Delhi,2023-07-02,928,37,230.0,301,813.0,71934,53,1,Supplier_41
SKU-00030,Product_54,Home,WH-Bangalore,,896,34,,158,704.0,265103,52,0,Supplier_14
SKU-00959,Product_445,Books,WH-Mumbai,2023-01-29,308,95,81.0,259,451.0,474125,70,1,Supplier_28
SKU-01202,Product_269,Home,WH-Mumbai,2023-08-13,123,61,458.0,22,2260.0,102706,61,0,Supplier_78
SKU-01839,Product_475,Electronics,WH-Delhi,2024-01-29,544,20,158.0,2,1533.0,69256,87,0,Supplier_20
SKU-01474,Product_78,Books,WH-Mumbai,2023-04-18,901,61,427.0,488,806.0,255305,4,0,Supplier_41
SKU-00364,Product_477,Home,WH-Delhi,2023-09-26,109,55,8.0,352,310.0,310598,78,0,Supplier_57
SKU-01147,Product_314,Electronics,WH-Chennai,2023-11-15,891,77,321.0,444,3299.0,149161,82,0,Supplier_31
SKU-00080,Product_107,Apparel,WH-Chennai,2024-01-07,225,85,56.0,296,819.0,99172,27,1,Supplier_13
SKU-00628,Product_309,Apparel,WH-Delhi,2023-12-31,43,25,163.0,449,4212.0,269920,690,0,Supplier_18
SKU-01049,Product_103,Books,WH-Delhi,2023-07-09,713,85,328.0,217,704.0,301572,68,0,Supplier_46
SKU-01433,Product_292,Grocery,WH-Bangalore,2023-09-28,348,93,357.0,379,2146.0,324294,480,1,Supplier_47
SKU-01362,Product_249,Electronics,WH-Delhi,2023-06-16,866,15,287.0,349,1387.0,7946,17,1,Supplier_54
