employee_id,join_date,department,role,age,gender,salary,tenure_months,performance_score,satisfaction_score,overtime_hours,trainings_attended,attrition,last_promotion_months_ago
EMP-000017,2016-12-17,Sales,Senior,45,Male,302088,99.0,2.9253481258126426,4.939296561051851,46,3,1.0,4
EMP-000018,2020-02-03,Operations,Junior,59,Female,1009563,98.0,4.914315588085444,2.567230994508039,6,0,0.0,3
EMP-000019,2015-05-17,Sales,Lead,36,Male,325145,56.0,2.2265078516044485,4.931718272836762,47,4,1.0,40
EMP-000020,2016-05-22,HR,Lead,59,Male,1360576,70.0,2.309341980172593,3.9179010468056457,16,9,0.0,14
EMP-000021,2018-05-20,IT,,37,Female,1598561,68.0,3.96719667387316,1.528988903861677,8,2,0.0,22
EMP-000022,2020-12-22,Marketing,Senior,49,Female,555449,82.0,4.991978471964822,2.4437058887720595,18,5,1.0,40
EMP-000023,2018-10-19,Finance,Junior,31,Female,1443379,65.0,2.542415323176527,2.1928665259033173,43,0,0.0,27
EMP-000024,2015-08-23,IT,,39,Male,325196,37.0,4.318097858967505,3.540030942824895,4,2,1.0,16
EMP-000025,2016-01-09,Marketing,Mid,56,Male,1154913,102.0,2.6137669186114305,2.726812556102173,33,0,1.0,7
EMP-000026,2020-11-13,Marketing,Mid,37,Female,339535,78.0,2.258795276766992,3.8874704983768997,6,0,0.0,39
EMP-000027,2020-07-03,Marketing,Manager,34,Male,790205,114.0,1.1603452611633034,2.403273414288374,10,6,0.0,25
EMP-000028,2019-06-10,HR,Junior,50,Male,382206,82.0,2.7372703883004172,2.0749957647027726,35,0,1.0,44
EMP-000029,2020-05-29,Sales,Lead,23,Female,1280038,6.0,1.9088994671330077,3.9477094564424835,42,2,1.0,5
EMP-000030,2016-07-26,Operations,Mid,48,Female,549050,100.0,4.981586662024634,1.3128103185355138,11,6,1.0,39
EMP-000031,2020-02-16,Marketing,Junior,35,Female,1037650,94.0,3.6752007778644713,2.229316197515657,48,0,1.0,23
EMP-000032,2016-01-12,IT,,37,Female,513282,111.0,4.318038343694113,4.47887272082577,15,1,0.0,40
EMP-000033,2016-04-12,Operations,Manager,43,Male,791688,38.0,1.026272666426785,1.6918638556348728,49,7,1.0,13
EMP-000034,2021-06-17,Sales,Senior,35,Female,1122596,60.0,4.073650238999183,3.3775682125193955,31,7,1.0,6
EMP-000035,2018-08-27,Marketing,Lead,22,Male,435625,51.0,1.639250281875158,1.9138043138886394,35,1,0.0,36
EMP-000036,2018-11-03,Sales,Lead,28,Male,1344429,9.0,2.3646134828398613,3.6125928306741195,32,8,0.0,38
EMP-000037,2021-04-17,IT,Lead,39,Male,1683806,35.0,3.1276169732184185,1.1525169337252255,33,5,1.0,40
EMP-000038,2015-09-17,Operations,Lead,55,Female,316278,34.0,3.070840273886617,4.711112689906183,10,3,1.0,18
EMP-000039,2016-05-07,Finance,Mid,56,Female,1623735,63.0,1.7104200166627113,2.4512251936455365,0,8,1.0,40
EMP-000040,2017-07-21,IT,Manager,22,Male,598159,40.0,4.375003158611975,4.530495586922047,6,3,1.0,12
EMP-000041,2017-04-15,Sales,Junior,44,Female,977724,54.0,3.1395107304007506,1.5351576294839857,34,4,0.0,29
EMP-000042,2021-09-28,IT,Manager,46,Female,912444,19.0,2.846189784607362,4.750886534529611,20,0,1.0,15
EMP-000043,2019-09-10,Sales,Mid,35,Female,1809599,39.0,1.3633217556949777,3.425627751797117,17,2,0.0,30
EMP-000044,2019-11-19,HR,Lead,55,Male,1488419,69.0,4.033761551592791,3.111897875505842,6,3,0.0,6
EMP-000045,2015-07-13,Operations,Senior,59,Male,1954862,2.0,2.5697953822466046,2.649678437135262,18,4,0.0,15
EMP-000046,2021-05-11,IT,Manager,35,Female,1545448,90.0,3.1382419489056557,3.266475866258952,20,2,0.0,29
EMP-000047,2016-01-07,Finance,Lead,29,Male,572146,65.0,2.9534813298147102,3.5500036927776004,16,7,1.0,7
EMP-000048,2018-10-19,Operations,Manager,24,Male,1611673,10.0,2.854822995003058,2.838143364570932,8,2,1.0,37
EMP-000049,2020-02-25,Finance,Senior,40,Female,1465795,79.0,4.417934713957882,30.661660722219203,43,2,1.0,45
EMP-000050,2016-02-10,HR,Mid,34,Female,1606923,82.0,2.3536378980921304,4.8301118942181205,41,7,0.0,20
EMP-000051,2019-03-16,Marketing,Senior,38,Male,354966,45.0,3.346078071151182,,49,4,0.0,37
EMP-000052,2021-08-17,HR,Junior,45,Female,1703983,100.0,4.2072415100447484,4.951895376383414,20,9,0.0,17
EMP-000053,2017-05-06,Marketing,Mid,33,Male,1554595,35.0,3.028054157532012,1.5380402820020853,33,4,0.0,6
EMP-000054,2016-08-29,Sales,Manager,58,Female,1695836,96.0,1.4013674509889338,1.5398850180340364,34,0,1.0,14
EMP-000055,2020-07-11,IT,Lead,35,Male,1721349,11.0,2.2281368793966956,1.7103100076405537,26,7,1.0,39
EMP-000056,2018-12-06,IT,Junior,23,Male,1671491,30.0,3.791263211358249,1.5998532302666826,23,0,0.0,33
EMP-000057,2015-04-15,IT,Manager,38,Male,1562833,12.0,4.532404671959625,4.135939399725283,4,3,0.0,32
EMP-000058,2021-05-16,Sales,Lead,34,Male,1468112,84.0,4.536550102111256,4.454421051587532,16,2,1.0,14
EMP-000059,2020-11-23,IT,Junior,52,Female,403363,20.0,3.1790112963132944,4.018677815394824,40,3,0.0,41
EMP-000060,2021-07-08,Sales,Junior,38,Male,365666,115.0,3.810527046188366,,5,2,0.0,11
EMP-000061,2015-04-02,Marketing,Lead,31,Female,870717,97.0,3.3037380986833607,1.7701637045464533,28,2,0.0,16
EMP-000062,2016-06-02,IT,Manager,44,Female,1844776,43.0,1.3992643117353567,4.802243687336432,11,2,1.0,10
EMP-000063,2021-05-08,Operations,Junior,30,Female,898314,16.0,4.446253202073304,2.0938345913953587,5,0,1.0,35
EMP-000064,2018-06-16,Finance,Senior,34,Female,509425,66.0,4.965540026028669,4.652927516258728,20,1,1.0,32
EMP-000065,2021-01-29,Marketing,Mid,50,Female,465457,25.0,2.4728408666007,2.0496896238381974,29,0,0.0,46
EMP-000066,2017-06-18,HR,Manager,52,Female,352487,22.0,3.166796980547953,4.099193122174761,35,2,1.0,32
EMP-000067,2020-04-10,Marketing,Junior,27,Male,1064592,36.0,3.370140816844154,1.9641716513591105,47,2,1.0,16
EMP-000068,2021-06-09,Sales,Mid,30,Male,1269676,1.0,1.9123970218768371,2.185254871583827,39,8,0.0,35
EMP-000069,2018-02-20,Operations,Lead,26,Male,575562,91.0,2.602479846945156,4.148745309149775,21,4,1.0,14
EMP-000070,2016-03-20,IT,Mid,51,Female,1960729,37.0,3.3598326358692723,3.333969250292264,8,5,1.0,36
EMP-000071,2020-09-10,Finance,Lead,29,Male,363213,18.0,1.6366176209351662,3.8543405530282837,0,3,1.0,24
EMP-000072,2019-10-21,Operations,Manager,39,Female,1226618,23.0,2.227975358403664,2.984415169193563,39,7,1.0,18
EMP-000073,2017-07-16,IT,Junior,50,Male,1789320,94.0,4.98098895159129,3.991009620782165,25,6,1.0,18
EMP-000074,2015-04-26,Finance,Lead,38,Male,302519,3.0,3.754513920699075,4.563800662176616,43,4,1.0,30
EMP-000075,2020-08-01,Operations,Lead,36,,653079,96.0,1.7155325056995103,3.113919968748126,24,2,0.0,46
EMP-000076,2017-05-27,Marketing,Mid,57,Male,1016713,80.0,3.615592484623302,1.8213343536416997,11,0,0.0,43
EMP-000077,2015-05-24,Marketing,Junior,53,Male,553485,66.0,1.5819973996960908,4.682368981493578,37,0,1.0,8
EMP-000078,2016-04-22,Marketing,Lead,51,Female,1022701,27.0,3.3451868587877938,2.7440329816912024,40,8,1.0,0
EMP-000079,2017-03-28,Marketing,Junior,51,Female,807768,,3.9367638275672907,1.752448133380712,47,2,0.0,28
EMP-000080,2018-09-28,Sales,Manager,48,Male,1633614,116.0,3.4793228272343906,2.6266118381955574,13,9,1.0,8
EMP-000081,2017-10-06,Sales,Mid,45,Male,477742,39.0,3.029685233054956,4.663403715986833,19,3,1.0,29
EMP-000082,2016-12-26,Marketing,Senior,32,Female,1396697,38.0,3.25660592479931,22.650507561755266,1,4,1.0,42
EMP-000083,2019-11-19,Finance,Lead,50,Female,960697,5.0,3.724200776280866,1.7736863937149239,29,1,1.0,4
EMP-000084,2018-03-22,HR,Senior,37,Female,838351,48.0,1.2588075329080475,3.181584677137344,10,2,1.0,4
EMP-000085,2019-07-24,HR,Senior,29,Female,1113328,98.0,4.98144620906621,2.3107951872155272,10,0,1.0,21
EMP-000086,2016-07-26,IT,Mid,39,Female,942854,,2.0604397121111,2.513440484915039,44,5,0.0,0
EMP-000087,2021-05-10,HR,Lead,31,Male,793367,16.0,3.0000668613147474,4.594819976127986,26,4,0.0,28
EMP-000088,2016-08-09,IT,Mid,36,Male,1231410,33.0,3.0298530426800085,2.243006203229569,16,2,0.0,24
EMP-000089,2018-09-16,Operations,Mid,55,Male,934890,42.0,1.9709620189025334,3.801061613652134,25,1,0.0,32
EMP-000090,2021-09-24,IT,Lead,24,Male,730789,65.0,1.0931610520111263,1.935925711159237,7,1,1.0,27
EMP-000091,2021-04-14,HR,Junior,24,Male,1255645,21.0,4.132404079859304,3.120503138578154,30,2,1.0,34
EMP-000092,2020-01-19,HR,Lead,45,Male,1471876,10.0,4.306598791140807,2.7670272963118028,12,7,1.0,9
EMP-000093,2017-08-31,HR,Junior,51,Female,735078,79.0,2.198295568482333,4.543744845523017,48,5,1.0,40
EMP-000094,2016-06-08,HR,Senior,49,Female,348812,38.0,4.751648190166921,1.3920253574357164,33,8,1.0,41
EMP-000095,2016-10-27,HR,Senior,32,Male,1302165,84.0,4.074323231138481,4.907325789394718,17,6,0.0,16
EMP-000096,2021-05-05,Sales,Manager,51,Female,1562500,103.0,2.5885169864471225,2.2566898014589025,17,5,0.0,20
EMP-000097,2020-04-18,HR,Junior,29,,807267,53.0,4.701945892416643,4.905965870379081,33,2,0.0,40
EMP-000098,2015-04-27,HR,Mid,24,Male,1314089,19.0,1.5943748841454628,4.079947516304276,47,2,0.0,18
EMP-000099,2019-11-25,HR,Manager,55,Female,1849311,37.0,4.662039941094214,2.748782143983199,35,7,1.0,10
EMP-000100,2019-07-21,Finance,Junior,42,Female,984851,104.0,1.7131422461203218,4.164066365060023,3,1,0.0,42
EMP-000101,2015-01-16,Operations,Lead,27,Female,1383093,102.0,1.5118217064046542,3.2916904502438853,7,8,0.0,45
EMP-000102,2017-04-15,Sales,Lead,25,Female,1497197,31.0,2.575571518527595,1.701524988052184,18,3,0.0,46
EMP-000103,2018-09-30,Operations,Mid,48,Female,503683,61.0,4.2836800805004405,2.5433409430861276,19,1,1.0,4
EMP-000104,2021-06-24,IT,Lead,46,Female,338683,26.0,2.519758389201883,4.505845121304388,6,4,1.0,16
EMP-000105,2021-11-01,Finance,Lead,24,Female,1765640,57.0,2.9025710696512363,4.6246141337376665,2,5,0.0,46
EMP-000106,2018-11-05,HR,Mid,50,Female,1988084,50.0,4.1996779608333705,4.098945518650444,17,3,1.0,37
EMP-000107,2021-01-10,Operations,Manager,26,Male,1660662,60.0,4.969235028887724,3.689046885182639,5,8,1.0,22
EMP-000108,2015-03-04,Operations,Mid,29,Female,1145266,22.0,1.1163165370266452,26.57522576989583,10,9,0.0,36
EMP-000109,2019-12-21,Marketing,,48,Male,572860,52.0,2.5273585588362866,3.7023941046352773,14,9,1.0,20
EMP-000110,2015-01-29,Marketing,Manager,400,Male,1256489,31.0,3.126184133875421,2.4117258082061754,1,7,0.0,20
EMP-000111,2021-05-02,IT,Lead,52,Male,357170,92.0,3.913376919385159,3.551260253259069,26,7,1.0,32
EMP-000112,2016-12-30,HR,Junior,42,Female,1277130,88.0,4.232341053224902,2.156520619729475,21,6,0.0,16
EMP-000113,2021-03-26,HR,Manager,24,Female,1696039,33.0,1.2043495634190462,4.627656444812715,19,4,1.0,42
EMP-000114,2021-01-16,HR,Lead,31,,905091,11.0,2.2472535149510247,4.183891990176077,10,7,0.0,34
EMP-000115,2019-09-15,Sales,Mid,39,Male,342826,16.0,3.154593560184353,3.926807669043993,42,1,0.0,39
EMP-000116,2019-11-02,Finance,Lead,30,Female,1723369,72.0,4.172727028747769,1.4495913332641548,23,2,1.0,12
EMP-000117,2020-01-29,Marketing,Senior,45,Female,1204291,32.0,4.435489662902023,4.764826733231187,43,0,0.0,47
EMP-000118,2015-01-18,Finance,Mid,43,Female,1012488,116.0,2.7787646739777676,3.994671264919336,21,4,1.0,25
EMP-000119,2017-12-05,Finance,Manager,46,Female,1079203,41.0,4.277169504821606,4.581612251514844,1,9,0.0,3
EMP-000120,2020-07-23,Operations,Manager,25,Male,1243626,25.0,3.3268521373343414,4.820818556107148,23,2,,22
EMP-000121,2015-02-07,Finance,Lead,59,,482823,114.0,3.763258375495486,1.4446280743281288,1,8,0.0,17
EMP-000122,2017-03-16,IT,,32,Male,1075702,38.0,4.937648428926053,4.32501577142165,32,1,0.0,2
EMP-000123,2017-02-11,IT,Senior,35,Male,1452906,25.0,2.404865540236371,3.698738289481106,15,8,1.0,36
EMP-000124,2020-08-05,Operations,Mid,38,Male,380359,84.0,1.9191876274918358,4.34315881375852,44,8,1.0,6
EMP-000125,2016-12-17,Marketing,Lead,39,Male,1345598,110.0,1.7892761039506202,,1,6,1.0,11
EMP-000126,2019-06-06,Operations,Lead,26,Male,370069,102.0,1.4827183157742305,1.4155091648317892,10,5,1.0,37
EMP-000127,2020-06-01,Sales,Manager,55,Male,1342119,87.0,2.955033939543894,2.5490433440774303,33,8,0.0,29
EMP-000128,2018-06-13,Operations,Lead,26,Male,1764943,76.0,1.401670102315793,3.041846656148732,37,0,0.0,14
EMP-000129,2017-06-05,Operations,Mid,52,Male,1547308,,4.8385987949736755,1.0262070004642005,24,0,0.0,39
EMP-000130,2021-02-11,Sales,Lead,32,Female,1117233,46.0,1.5261016624279984,3.82011399012298,10,9,0.0,7
EMP-000131,2016-04-23,HR,Senior,39,Female,1207831,11.0,1.4041145300264546,1.0438125672009733,12,-4,0.0,36
EMP-000132,2015-11-29,Finance,Manager,59,Male,1014039,100.0,2.876798029704123,4.606894113820586,11,7,1.0,19
EMP-000133,2019-02-21,Finance,Junior,59,Female,1281437,10.0,3.5344038728080696,1.1937887938070881,14,2,1.0,15
EMP-000134,2017-08-13,IT,Mid,47,Female,1187210,18.0,2.1263335428176267,3.705575606726687,40,9,0.0,19
EMP-000135,2016-09-08,Operations,Senior,53,Female,1374792,6.0,4.427507925115689,3.2820989753699483,8,6,0.0,26
EMP-000136,2021-04-04,HR,Mid,35,Male,1854765,68.0,3.2341066585250307,3.347530239705404,42,-8,0.0,6
EMP-000137,2018-06-17,IT,Mid,24,,1164243,36.0,2.4780196558341703,1.6954018259665466,47,7,0.0,36
EMP-000138,2021-09-20,Sales,Manager,56,Male,373884,65.0,1.9370841800309733,2.755869429374046,44,2,1.0,40
EMP-000139,2018-05-25,Sales,Mid,33,Male,1587909,77.0,4.192342630902129,3.6233330776330597,40,0,1.0,8
EMP-000140,2016-07-02,Finance,Senior,58,Male,1871568,83.0,3.6799807367181967,4.281102806280078,28,4,0.0,36
EMP-000141,2015-09-27,IT,Manager,33,Male,574834,56.0,4.674791399823732,2.955444673420238,33,8,1.0,12
EMP-000142,2017-09-27,Operations,Mid,35,Male,823320,50.0,4.988463992626405,2.9022623396293232,1,4,0.0,37
EMP-000143,2015-11-06,Finance,Mid,23,Male,608154,71.0,2.581020143108915,2.3830755758387245,24,7,1.0,5
EMP-000144,2018-09-25,Marketing,Mid,29,Male,1820456,4.0,1.4222032689464665,2.0729130611066093,29,5,1.0,18
EMP-000145,2016-09-29,Marketing,Manager,59,Female,1292937,57.0,3.0583288864483893,4.503064548915434,22,0,0.0,39
EMP-000146,2021-01-10,Finance,Junior,27,Female,468077,35.0,3.9588376423523806,1.2781394062962956,31,6,1.0,30
EMP-000147,2021-06-18,IT,Manager,25,Male,856766,11.0,3.975115943444998,3.6920217140401443,26,0,0.0,18
EMP-000148,2020-01-27,Operations,Manager,28,Female,1899323,65.0,1.6067775529897808,4.552756764087785,40,8,1.0,41
EMP-000149,2019-10-03,Sales,Senior,44,Female,1040621,58.0,1.6098404454355792,2.5568302701040446,44,1,0.0,4
EMP-000150,2019-09-24,Marketing,Manager,25,Female,1291238,50.0,2.844234791905624,4.3552794638738135,17,5,1.0,2
EMP-000151,2020-06-28,Sales,Mid,30,Male,529608,33.0,3.590762291486359,1.8942464397297463,21,0,0.0,23
EMP-000152,2018-05-26,Sales,Manager,34,Female,328305,69.0,1.1324863664884264,1.120977331159322,3,3,0.0,25
EMP-000153,2021-03-16,Finance,Senior,41,Male,871693,79.0,2.1155021891967705,4.820726310293119,46,3,0.0,8
EMP-000154,2015-02-07,Finance,Lead,52,Female,1470501,52.0,4.811361606340721,1.7559918092177882,14,0,1.0,1
EMP-000155,2018-08-09,HR,Lead,32,Female,309754,90.0,1.900758695538562,2.5839943913708794,7,6,0.0,31
EMP-000156,2019-03-11,Finance,Lead,22,Female,1440728,107.0,1.1954244419781959,4.519023035255877,18,6,0.0,20
EMP-000157,2017-09-19,IT,Manager,26,Female,1868907,81.0,4.8327012544119015,2.8663277604057122,6,5,1.0,20
EMP-000158,2020-12-10,Sales,Manager,29,Male,903754,85.0,4.651190228400718,3.0242701738062077,48,6,1.0,26
EMP-000159,2015-04-21,Finance,Senior,47,Male,1365656,19.0,3.611858204138054,1.6670110971344143,3,5,0.0,10
EMP-000160,2015-07-02,Marketing,Senior,35,Male,1441248,52.0,2.1141348508619036,2.2007430098046687,15,7,0.0,15
EMP-000161,2017-10-02,Finance,Manager,39,Male,475873,118.0,3.0331170725320895,4.474140724707254,23,7,1.0,3
EMP-000162,2018-07-24,Sales,Mid,53,Male,1325138,101.0,4.7895262361916044,4.465303285658695,32,0,1.0,20
EMP-000163,2019-07-29,IT,Junior,38,,1465381,6.0,2.7462084268853024,3.177463487382084,16,1,0.0,4
EMP-000164,2018-02-02,Finance,Senior,46,Female,1268504,22.0,1.9480923628655145,3.824715689260534,17,6,1.0,6
EMP-000165,2021-01-17,Sales,Manager,33,Female,1573297,5.0,3.562611732695774,3.5792423575511503,41,1,1.0,26
EMP-000166,2017-02-16,Finance,Senior,57,Female,1721543,31.0,2.7327301316943995,3.087187696930677,12,9,1.0,9
EMP-000167,2016-09-27,HR,Manager,56,Female,1803664,108.0,1.4142220520154072,2.196090871979204,0,8,,6
EMP-000168,2020-08-26,Sales,Lead,23,Female,458365,101.0,4.976152479361609,2.2225886770407626,36,3,0.0,10
EMP-000169,2020-11-03,Finance,Lead,53,,837809,46.0,2.9012027354169874,2.192891388108847,3,0,1.0,22
EMP-000170,2016-01-04,Sales,Junior,23,Female,1223312,5.0,3.3550517419136403,1.4950553108853533,20,-6,1.0,28
EMP-000171,2016-03-11,Marketing,Junior,58,Male,1292480,69.0,2.8090171296966386,1.6203435791858385,2,8,1.0,9
EMP-000172,2019-02-16,Finance,Manager,54,Male,502362,42.0,1.060465712945864,2.586954344151023,30,1,1.0,19
EMP-000173,2019-06-22,Marketing,,37,Female,1062327,117.0,3.3473030944878843,3.979870007792139,30,2,1.0,33
EMP-000174,2016-01-12,Sales,Lead,55,Female,1624384,2.0,4.728268307857622,18.387228274312,16,1,0.0,0
EMP-000175,2020-03-04,Finance,Manager,31,Male,1179009,119.0,3.489174925162769,3.7116080057748686,10,0,1.0,17
EMP-000176,2015-06-23,Operations,Senior,45,Female,777256,32.0,3.109793632181979,1.7753782651379026,32,5,1.0,13
EMP-000177,2016-10-13,Operations,Mid,48,Female,1560088,95.0,2.3645200918036813,3.248838280912358,16,1,1.0,4
EMP-000178,2021-10-10,Marketing,Lead,28,Male,1393353,69.0,3.457246338683642,1.4881722286859436,4,3,0.0,40
EMP-000179,2015-10-06,IT,Manager,26,Female,1095173,29.0,1.3952518743589524,1.681343560484088,31,6,1.0,11
EMP-000180,2017-09-08,Finance,Manager,26,Female,1236783,40.0,1.0633309716856245,4.176557214166484,41,4,0.0,30
EMP-000181,2021-03-24,IT,Mid,46,Female,1358484,21.0,2.9748609282777427,3.538723573749872,36,9,0.0,6
EMP-000182,2016-02-28,Sales,Lead,33,Female,894024,24.0,3.4206013350729543,3.449108542609728,36,9,0.0,1
EMP-000183,2015-10-15,Marketing,Manager,57,Male,1077232,90.0,3.8168675404523627,2.0997877070461324,1,5,1.0,37
EMP-000184,2020-10-18,Sales,Mid,40,Male,1144757,69.0,3.8041508319428217,1.638354146830033,15,3,0.0,33
EMP-000185,2020-05-13,Sales,Lead,51,Female,1549356,102.0,3.7278741036790772,1.633923943400759,13,3,0.0,17
EMP-000186,2017-12-08,Finance,Lead,50,Female,1592652,3.0,2.7870759055677703,2.5935292028971686,4,7,0.0,8
EMP-000187,2020-11-24,IT,Lead,51,Female,875305,79.0,2.8762856593460744,2.316285759756764,32,7,1.0,22
EMP-000188,2019-12-14,Operations,Mid,48,Female,759762,49.0,1.749464250252728,4.368316993766596,33,3,0.0,34
EMP-000189,2018-07-09,IT,Manager,58,Male,1130685,97.0,3.980911361889571,3.765451564207288,27,3,0.0,35
EMP-000190,2021-06-29,HR,Lead,41,Male,1182334,45.0,4.836528165617402,1.4015894559785949,26,8,1.0,22
EMP-000191,2017-11-13,IT,Mid,52,Male,1485833,28.0,1.7175100634642129,2.122873779851226,37,7,0.0,40
EMP-000192,2019-03-16,Sales,Senior,31,Male,1687578,76.0,4.14269808530233,3.679152970880468,31,6,1.0,42
EMP-000193,2021-05-22,Marketing,Mid,29,Female,390272,,3.289513070743521,2.3542537542948807,6,2,1.0,39
EMP-000194,2015-09-24,IT,Senior,49,Male,1559452,,2.0896196555401625,3.573862659065188,15,5,0.0,20
EMP-000195,2019-05-22,Marketing,Junior,38,Male,1794839,89.0,1.5004122644412292,3.520015705083326,35,0,,37
EMP-000196,2016-01-26,Finance,Junior,59,Female,982225,22.0,3.795918436043777,2.0725493160666923,22,4,1.0,24
EMP-000197,2015-01-01,HR,Senior,43,Male,393155,19.0,3.6984530496932213,3.8545839759772154,38,2,0.0,1
EMP-000198,2020-12-08,IT,Lead,52,Male,1322646,20.0,4.15062658828419,4.172852616124889,32,0,0.0,33
EMP-000199,2015-08-27,IT,Manager,48,Female,1182692,46.0,1.4240528474839667,4.721349129239796,37,6,1.0,45
EMP-000200,2019-08-25,Marketing,Manager,58,Female,395763,31.0,4.796815838040676,3.0673844437419673,8,5,1.0,11
EMP-000201,2018-01-22,HR,Senior,44,Female,1395149,55.0,1.5480416741208765,4.700128414431315,4,1,1.0,10
EMP-000202,2018-08-02,Operations,Senior,30,Female,1250383,25.0,4.869478917254451,2.5819044343133006,17,9,1.0,34
EMP-000203,2020-05-11,Operations,Lead,32,Female,704043,104.0,4.281705655623071,3.321660804445439,8,2,1.0,46
EMP-000204,2018-01-24,HR,Junior,52,Female,770141,96.0,4.78182633096638,4.650368792370564,20,8,1.0,16
EMP-000205,2019-06-22,Operations,Senior,44,Female,409880,91.0,3.1292996121892265,4.1328324080120815,17,2,1.0,44
EMP-000206,2018-01-04,Finance,Junior,34,Male,633577,96.0,4.152626795187279,4.39491397941031,7,4,0.0,18
EMP-000207,2020-02-08,Sales,Senior,22,Female,559167,16.0,3.563900335555231,3.584583996182422,13,9,1.0,26
EMP-000208,2018-08-05,IT,Senior,48,Male,1736629,56.0,4.199119793116158,1.9344069476571755,17,6,1.0,43
EMP-000209,2017-09-08,Marketing,Junior,47,Female,1301649,8.0,1.7429402831993994,3.2283417691560587,46,1,,21
EMP-000210,2017-01-17,IT,Mid,54,Male,822818,95.0,2.1268455066792304,3.9145469921854885,36,7,1.0,6
EMP-000211,2018-01-15,Operations,Mid,23,Female,845005,78.0,1.1512465739679505,3.8002979475732994,24,2,1.0,15
EMP-000212,2019-09-01,Marketing,Lead,28,Female,1210221,52.0,1.475535389740973,3.7712481494908805,26,8,0.0,36
EMP-000213,2018-07-30,Finance,Junior,32,Female,1619601,111.0,1.5564059113022393,2.2004584331507275,14,9,0.0,27
EMP-000214,2018-06-05,Sales,Manager,46,Male,911102,20.0,1.328727237240508,2.764334512277733,29,2,0.0,27
EMP-000215,2017-12-31,Operations,Junior,57,Female,873385,63.0,1.043079976559231,1.6218069591520496,40,1,1.0,33
EMP-000216,2021-08-29,Sales,Mid,59,Male,1259431,67.0,2.8681815117149765,1.8723821983676627,18,1,1.0,1
EMP-000217,2021-01-10,IT,Mid,25,Female,1216667,114.0,4.773662719617409,4.145738590955041,42,3,1.0,29
EMP-000218,2016-09-10,HR,Lead,41,Female,971576,34.0,1.5274665943098937,1.2360517476842015,41,6,1.0,27
EMP-000219,2016-08-10,Marketing,Mid,30,Male,1875904,43.0,4.184591856826028,4.625632100654038,31,7,1.0,9
EMP-000220,2015-10-07,Operations,Manager,37,,752987,18.0,3.6965592158693084,1.851491000854634,6,2,1.0,31
EMP-000221,2018-07-04,Operations,Junior,55,Female,1659295,21.0,2.4848878236580796,2.878578510490327,36,1,0.0,16
EMP-000222,2020-07-28,Operations,Lead,57,Male,925596,16.0,4.462756401645974,1.135555929045032,21,8,1.0,30
EMP-000223,2019-11-21,IT,Lead,26,Female,934284,101.0,4.648916010478377,14.969180158933648,6,5,0.0,42
EMP-000224,2018-05-29,Operations,Manager,430,Female,410559,74.0,1.4468553818095704,1.4003162486931893,11,8,1.0,42
EMP-000225,2018-12-22,Sales,Junior,25,Female,1952272,70.0,3.1077807441343785,2.8305185369868835,17,0,1.0,1
EMP-000226,2021-01-26,Finance,Lead,54,Male,1732801,48.0,4.819878299891915,2.853991230441212,8,4,1.0,6
