flight_id,flight_date,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,distance_km,aircraft_type,passengers,is_delayed,delay_reason,ticket_price
FL-000082,2023-02-26,SpiceJet,BLR,MAA,18:38,05:28,14.0,2477,B737,284,1.0,None,13493
FL-000083,2022-11-20,GoAir,HYD,MAA,06:14,10:36,-19.0,2795,A321,182,0.0,ATC,2370
FL-000084,2023-09-26,GoAir,BLR,BLR,14:30,06:13,10.0,2059,A321,128,1.0,None,12817
FL-000085,2023-11-10,IndiGo,MAA,DEL,02:49,23:45,136.0,2955,A320,133,1.0,Weather,14626
FL-000086,2022-01-01,SpiceJet,CCU,MAA,06:19,18:12,74.0,667,A320,187,0.0,ATC,15053
FL-000087,2023-12-03,IndiGo,BLR,MAA,21:31,09:30,,2986,B787,79,0.0,Weather,15592
FL-000088,2022-02-08,Air India,DEL,MAA,09:41,05:44,216.0,524,B787,125,1.0,Crew,19252
FL-000089,2024-03-07,GoAir,CCU,CCU,08:07,11:01,229.0,1571,B787,205,0.0,Technical,14856
FL-000090,2022-03-20,Air India,BOM,MAA,17:59,,241.0,2795,A321,276,1.0,ATC,3591
FL-000091,2022-09-23,Air India,DEL,BOM,19:48,23:51,265.0,2058,B787,84,1.0,ATC,15788
FL-000092,2023-12-19,Vistara,DEL,MAA,02:04,00:27,95.0,1108,A320,245,1.0,None,16224
FL-000093,2022-05-09,IndiGo,HYD,DEL,21:50,01:49,231.0,2102,B737,260,1.0,ATC,12196
FL-000094,2022-08-12,Vistara,CCU,DEL,18:58,09:31,270.0,534,A320,212,0.0,Weather,19445
FL-000095,2023-06-15,IndiGo,HYD,BOM,13:54,13:13,227.0,2839,B737,116,1.0,ATC,10958
FL-000096,2022-05-28,Air India,BOM,CCU,08:00,02:55,,1333,A321,169,0.0,None,9481
FL-000097,2023-04-21,SpiceJet,MAA,DEL,17:55,02:36,1780.0,635,B737,238,0.0,Technical,7915
FL-000098,2024-01-17,SpiceJet,,BOM,11:47,13:59,283.0,2691,B737,221,0.0,ATC,6459
FL-000099,2022-09-22,Vistara,,DEL,01:04,06:50,184.0,1468,B737,259,1.0,None,15845
FL-000100,2023-06-10,SpiceJet,DEL,CCU,17:12,15:39,150.0,1161,B737,198,0.0,ATC,6783
FL-000101,2023-05-16,Air India,,BOM,23:54,19:52,146.0,2069,A321,281,0.0,None,16670
FL-000102,2023-10-28,GoAir,HYD,BOM,02:37,09:50,280.0,1363,B787,69,1.0,Crew,15247
FL-000103,2022-12-29,Air India,BLR,MAA,22:31,00:55,218.0,2096,A320,104,1.0,ATC,19145
FL-000104,2022-02-04,Air India,BOM,BOM,11:28,12:46,13.0,1082,B737,235,1.0,ATC,17216
FL-000105,2022-06-08,GoAir,BOM,MAA,11:11,19:17,0.0,389,B787,156,0.0,Weather,9289
FL-000106,2022-11-29,GoAir,BOM,DEL,01:48,07:28,117.0,2302,B737,183,0.0,Technical,3269
FL-000107,2022-04-12,Vistara,HYD,CCU,18:18,18:41,174.0,1724,A321,60,0.0,ATC,8834
FL-000108,2023-05-25,Vistara,BOM,MAA,17:25,09:50,17.0,1167,A321,290,1.0,ATC,11584
FL-000109,2023-07-28,Air India,BLR,HYD,01:23,18:36,220.0,480,A320,126,1.0,Technical,18463
FL-000110,2023-11-07,GoAir,MAA,BLR,10:33,19:55,38.0,1674,B737,192,0.0,Technical,5061
FL-000111,2022-10-09,Vistara,CCU,HYD,23:48,19:14,171.0,324,A320,217,1.0,ATC,15145
FL-000112,2023-09-05,GoAir,MAA,BLR,17:18,21:47,25.0,1452,A320,99,1.0,ATC,18973
FL-000113,2024-02-16,GoAir,BOM,DEL,04:57,04:01,169.0,592,B737,197,1.0,None,14611
FL-000114,2022-12-31,Vistara,BLR,DEL,17:54,09:10,-17.0,1168,B787,189,1.0,Technical,17772
FL-000115,2023-01-20,GoAir,BOM,MAA,17:21,20:05,47.0,1775,A321,162,0.0,Technical,14765
FL-000116,2022-03-29,GoAir,BLR,BLR,21:04,22:48,195.0,582,B787,255,0.0,Crew,5453
FL-000117,2023-06-23,Vistara,BLR,HYD,05:29,10:02,-15.0,1872,B737,72,0.0,,11506
FL-000118,2022-06-16,SpiceJet,BOM,DEL,19:27,05:15,71.0,1600,B737,258,1.0,ATC,12029
FL-000119,2022-05-19,IndiGo,BLR,BLR,13:14,17:55,64.0,1137,B737,157,0.0,ATC,6870
FL-000120,2024-01-26,SpiceJet,CCU,CCU,16:07,22:15,277.0,2029,A321,269,0.0,ATC,9245
FL-000121,2022-03-10,GoAir,MAA,CCU,00:41,17:00,110.0,2787,B737,276,1.0,Technical,19383
FL-000122,2023-08-24,Air India,BLR,DEL,13:04,09:53,220.0,1038,B787,221,,Weather,10596
FL-000123,2023-03-29,SpiceJet,DEL,BLR,16:06,09:00,74.0,2064,A320,139,0.0,Crew,7448
FL-000124,2023-04-25,Air India,DEL,BLR,22:39,01:03,19.0,1446,A320,252,1.0,Technical,14497
FL-000125,2023-04-13,GoAir,,BOM,09:57,05:22,77.0,547,B737,52,0.0,None,10250
FL-000126,2023-12-03,SpiceJet,MAA,BLR,08:10,21:58,70.0,2882,A321,224,0.0,Crew,10272
FL-000127,2023-09-18,IndiGo,BLR,CCU,21:02,01:51,217.0,1616,A320,202,1.0,Weather,4675
FL-000128,2022-08-01,SpiceJet,HYD,BOM,07:19,18:03,190.0,1129,B787,139,1.0,Crew,13107
FL-000129,2023-12-20,Vistara,BOM,BLR,10:40,23:29,44.0,2129,B737,238,1.0,Crew,6924
FL-000130,2023-02-15,IndiGo,BOM,MAA,05:11,09:51,159.0,2794,B787,200,1.0,Technical,9934
FL-000131,2023-07-10,IndiGo,CCU,BLR,16:46,06:04,-11.0,1713,A321,119,1.0,Weather,12638
FL-000132,2022-02-04,GoAir,BOM,DEL,00:49,15:02,174.0,1109,B787,170,0.0,Crew,12762
FL-000133,2022-08-02,Vistara,BOM,MAA,19:51,04:20,206.0,1577,A321,73,1.0,Crew,9069
FL-000134,2022-08-29,IndiGo,DEL,BOM,19:30,06:19,264.0,2151,A320,260,0.0,Weather,6761
FL-000135,2023-03-12,GoAir,MAA,BLR,02:31,16:20,180.0,2579,A320,279,1.0,Crew,2095
FL-000136,2022-04-12,IndiGo,CCU,BLR,04:50,19:11,-17.0,1819,B787,176,1.0,None,5199
FL-000137,2023-05-16,SpiceJet,DEL,BLR,00:09,02:04,132.0,923,B787,71,0.0,Weather,19244
FL-000138,2023-04-29,SpiceJet,MAA,DEL,22:44,09:31,183.0,1066,A321,135,0.0,Weather,8905
FL-000139,2022-05-23,Vistara,DEL,DEL,00:16,05:58,5.0,214,A320,185,0.0,ATC,6611
FL-000140,2024-02-29,GoAir,BOM,DEL,22:49,17:40,7.0,890,B737,130,1.0,None,16588
FL-000141,2022-11-14,GoAir,DEL,BLR,09:16,08:53,119.0,1013,B787,149,1.0,Weather,12827
FL-000142,2022-11-04,GoAir,CCU,DEL,09:35,06:09,47.0,1580,B787,215,0.0,Technical,5005
FL-000143,2022-04-12,Vistara,CCU,MAA,20:55,20:17,269.0,2596,A321,85,1.0,Technical,11998
FL-000144,2022-10-15,IndiGo,BLR,HYD,08:59,20:42,-7.0,1020,B787,298,0.0,Crew,19944
FL-000145,2023-06-26,Air India,DEL,BOM,02:50,13:35,263.0,729,A320,244,0.0,Crew,18416
FL-000146,2023-07-30,IndiGo,DEL,BLR,10:58,11:53,289.0,413,A320,91,0.0,ATC,9015
FL-000147,2023-03-21,SpiceJet,BOM,DEL,19:21,21:07,,590,A320,50,1.0,ATC,12037
FL-000148,2022-04-07,IndiGo,BLR,MAA,20:12,00:30,116.0,2153,B737,185,1.0,None,7504
FL-000149,2024-02-26,Air India,DEL,BOM,01:28,21:09,188.0,1124,B737,129,1.0,ATC,19668
FL-000150,2024-02-05,IndiGo,CCU,MAA,22:36,14:43,65.0,1201,B787,210,0.0,None,16405
FL-000151,2022-07-10,Air India,HYD,BLR,17:08,06:29,217.0,1969,A321,258,,None,9839
FL-000152,2023-06-12,IndiGo,MAA,MAA,08:03,14:28,-14.0,668,B737,247,0.0,None,15667
FL-000153,2023-09-24,SpiceJet,CCU,CCU,08:27,05:52,165.0,2418,B787,60,1.0,Crew,7707
FL-000154,2022-01-07,Air India,MAA,DEL,19:24,18:17,202.0,235,A320,235,0.0,Technical,13148
FL-000155,2023-12-02,Air India,MAA,HYD,12:38,09:36,219.0,2604,A321,247,1.0,Crew,16953
FL-000156,2023-03-10,SpiceJet,DEL,BLR,05:38,13:40,86.0,2865,B787,177,1.0,Technical,17292
FL-000157,2022-12-23,GoAir,HYD,CCU,01:06,06:47,24.0,2075,A320,263,0.0,None,9237
FL-000158,2022-07-05,Vistara,CCU,MAA,08:01,13:31,266.0,2779,A321,206,0.0,ATC,17435
FL-000159,2022-08-16,GoAir,BLR,BLR,21:18,20:40,129.0,1489,A321,199,1.0,,17520
FL-000160,2023-12-02,IndiGo,DEL,DEL,22:12,15:16,98.0,424,A320,113,0.0,None,17713
FL-000161,2023-08-24,SpiceJet,DEL,BOM,09:54,22:37,-4.0,1028,A321,175,0.0,Technical,8386
FL-000162,2022-05-08,GoAir,DEL,BOM,13:41,12:35,,2400,A320,50,1.0,None,8281
FL-000163,2024-02-20,Vistara,DEL,MAA,17:08,00:42,8.0,2311,A321,99,1.0,None,6320
FL-000164,2023-05-07,GoAir,BLR,BOM,09:13,09:28,287.0,1270,B737,227,0.0,ATC,14346
FL-000165,2023-03-29,SpiceJet,BLR,BLR,08:15,18:00,137.0,1998,A321,204,0.0,Technical,3538
FL-000166,2022-07-05,SpiceJet,BLR,BLR,14:46,05:21,56.0,2386,A321,68,1.0,,5411
FL-000167,2022-09-17,SpiceJet,CCU,CCU,23:54,07:38,222.0,2720,A320,286,0.0,,6378
FL-000168,2023-10-06,IndiGo,BLR,MAA,07:48,18:24,2.0,2552,A321,133,1.0,None,7597
FL-000169,2024-01-18,IndiGo,CCU,BOM,14:16,11:39,224.0,1665,B737,76,1.0,ATC,9199
FL-000170,2022-04-02,SpiceJet,BOM,DEL,14:02,03:44,244.0,2325,A321,171,0.0,Weather,10347
FL-000171,2022-03-24,Air India,MAA,MAA,15:13,07:33,91.0,2154,B787,193,0.0,Technical,8968
FL-000172,2023-09-15,Vistara,CCU,MAA,09:55,23:36,40.0,920,B787,234,1.0,Crew,17115
FL-000173,2023-03-25,SpiceJet,MAA,CCU,13:01,07:01,97.0,2005,A321,193,0.0,None,12575
FL-000174,2023-10-12,Vistara,CCU,MAA,19:27,12:27,262.0,2125,A320,227,,ATC,9015
FL-000175,2022-10-14,Vistara,BLR,BOM,05:44,01:06,83.0,1776,A321,203,1.0,ATC,13799
FL-000176,2022-01-10,Vistara,DEL,CCU,14:45,15:22,271.0,2076,A320,238,0.0,ATC,19148
FL-000177,2023-11-18,GoAir,HYD,CCU,05:15,01:26,200.0,1033,B737,78,0.0,Weather,16086
FL-000178,2023-02-06,SpiceJet,CCU,CCU,17:32,16:35,72.0,1599,A320,59,1.0,Crew,11350
FL-000179,2024-02-20,GoAir,MAA,CCU,02:02,12:13,239.0,1874,A321,122,1.0,Weather,7069
FL-000180,2024-02-06,SpiceJet,BOM,HYD,18:14,21:54,140.0,1108,A320,194,0.0,Weather,2966
FL-000181,2023-12-27,IndiGo,CCU,MAA,04:50,16:46,161.0,1888,A320,78,0.0,Technical,12152
FL-000182,2023-05-17,Vistara,HYD,MAA,14:43,15:54,-12.0,2224,B737,127,0.0,Technical,9456
FL-000183,2022-05-28,IndiGo,DEL,CCU,21:19,19:44,186.0,2695,B737,97,1.0,Technical,8369
FL-000184,2024-02-06,SpiceJet,HYD,CCU,03:27,12:45,165.0,662,A321,146,1.0,,2673
FL-000185,2023-06-27,Vistara,CCU,BLR,05:20,23:06,109.0,562,B787,86,1.0,None,14820
FL-000186,2022-07-28,Vistara,MAA,BOM,10:30,22:45,53.0,1472,A320,98,1.0,None,13946
FL-000187,2022-03-10,SpiceJet,DEL,HYD,11:28,11:45,196.0,669,B787,91,1.0,None,9374
FL-000188,2023-11-30,GoAir,BLR,CCU,19:16,09:22,89.0,2172,B787,209,0.0,Crew,-9860
FL-000189,2022-12-18,SpiceJet,,BLR,15:01,09:40,283.0,1863,B737,52,0.0,Weather,13499
FL-000190,2024-02-07,SpiceJet,BOM,BOM,12:31,19:36,52.0,1999,A320,180,1.0,ATC,17061
FL-000191,2023-12-10,Vistara,CCU,MAA,06:10,07:06,255.0,2566,A321,50,0.0,Technical,18694
FL-000192,2024-02-17,IndiGo,BOM,MAA,07:44,07:26,216.0,1246,A321,299,1.0,Weather,3376
FL-000193,2023-07-07,Vistara,BLR,HYD,13:14,06:54,490.0,274,B787,78,0.0,Crew,2801
FL-000194,2022-06-08,Vistara,BOM,MAA,18:43,16:10,91.0,2621,B787,95,1.0,Weather,14598
FL-000195,2022-02-24,Vistara,HYD,DEL,16:16,01:50,160.0,1527,B787,55,1.0,None,17599
FL-000196,2022-05-11,GoAir,BLR,BOM,16:40,00:46,168.0,272,A320,287,1.0,Technical,7787
FL-000197,2022-06-07,Air India,BLR,HYD,23:45,12:51,197.0,2471,A321,71,1.0,Crew,17728
FL-000198,2023-01-07,GoAir,BOM,BLR,20:47,14:11,,266,A320,128,1.0,ATC,8926
FL-000199,2022-01-27,Vistara,CCU,DEL,17:44,01:38,149.0,532,B787,196,1.0,Weather,18335
FL-000200,2022-10-25,Vistara,MAA,HYD,21:34,02:55,22.0,956,B787,64,0.0,Technical,11120
FL-000201,2022-11-18,Air India,BOM,HYD,08:45,00:30,69.0,1239,A321,256,1.0,Weather,10756
FL-000202,2023-07-30,IndiGo,BLR,BOM,18:47,16:58,102.0,411,A321,234,0.0,Technical,13202
FL-000203,2023-06-30,Air India,BLR,MAA,11:37,23:35,186.0,2733,A320,103,1.0,Crew,13231
FL-000204,2023-07-15,GoAir,DEL,BOM,06:24,06:47,166.0,1117,A321,257,1.0,Technical,10252
FL-000205,2023-10-05,Vistara,BLR,BOM,17:12,06:22,,2080,A321,150,0.0,Technical,5535
FL-000206,2023-07-16,Vistara,CCU,CCU,18:50,03:54,219.0,2872,A321,248,1.0,None,3679
FL-000207,2023-11-08,Air India,HYD,HYD,19:36,,261.0,425,A321,81,1.0,None,2544
FL-000208,2023-04-18,Air India,MAA,BLR,20:34,09:10,123.0,668,A321,247,1.0,None,8872
FL-000209,2023-01-07,SpiceJet,CCU,MAA,09:10,22:52,86.0,808,B737,121,1.0,Weather,9866
FL-000210,2023-01-10, SpiceJet ,CCU,HYD,02:29,15:30,,762,A321,211,1.0,Crew,15165
FL-000211,2022-10-28,SpiceJet,HYD,CCU,11:18,19:50,84.0,2536,A321,169,0.0,Crew,4948
FL-000212,2023-11-30,Vistara,HYD,CCU,08:46,01:06,11.0,1942,A321,273,0.0,Crew,14657
FL-000213,2022-11-04,Air India,HYD,MAA,07:14,19:53,,2919,B787,55,1.0,Crew,16326
FL-000214,2022-06-24,Vistara,CCU,BLR,04:33,11:48,4.0,1347,B737,201,1.0,Weather,16255
FL-000215,2023-12-27,SpiceJet,BLR,BOM,04:06,22:10,194.0,2374,B787,50,0.0,Technical,6317
FL-000216,2022-01-21,Vistara,BLR,CCU,19:45,08:52,253.0,1112,B787,233,1.0,None,11315
FL-000217,2022-11-22,Air India,DEL,BOM,01:28,17:18,210.0,664,A320,55,1.0,Weather,10764
FL-000218,2023-06-12,SpiceJet,BOM,BLR,10:19,13:52,227.0,672,B787,251,1.0,ATC,5549
FL-000219,2023-04-01,Air India,CCU,BOM,19:25,14:56,273.0,1431,A320,119,1.0,Crew,12015
FL-000220,2022-06-20,IndiGo,CCU,DEL,05:10,13:06,60.0,2393,A321,88,0.0,Crew,16425
FL-000221,2022-04-30,Vistara,MAA,MAA,16:41,23:28,162.0,364,A321,160,1.0,Technical,14345
FL-000222,2022-11-26,SpiceJet,HYD,BLR,12:53,08:58,80.0,2897,A320,57,1.0,Technical,14623
FL-000223,2023-09-28,GoAir,BLR,HYD,12:56,21:46,22.0,1571,B787,283,1.0,None,15895
FL-000224,2023-05-10,IndiGo,BLR,CCU,04:49,03:24,71.0,2649,A321,247,0.0,None,3613
FL-000225,2022-08-24,IndiGo,MAA,MAA,06:06,17:59,215.0,1806,A320,175,1.0,Technical,4163
FL-000226,2023-11-28,Vistara,HYD,BOM,07:19,09:21,142.0,1279,A320,220,0.0,Weather,5963
FL-000227,2022-10-09,Vistara,MAA,BLR,02:29,03:43,99.0,919,B787,52,0.0,ATC,4347
FL-000228,2022-01-15,GoAir,,BOM,18:54,05:19,151.0,2928,B787,245,0.0,Technical,9685
FL-000229,2023-09-19,Air India,DEL,BLR,15:48,23:33,208.0,1881,A320,191,1.0,Crew,10649
FL-000230,2023-08-01,Air India,BLR,MAA,16:38,12:22,20.0,502,B737,94,1.0,None,4222
FL-000231,2022-10-23,SpiceJet,BOM,BOM,21:40,18:10,48.0,508,A321,280,1.0,Crew,12786
FL-000232,2022-06-10,Air India,DEL,BOM,00:23,18:42,-9.0,1520,A320,111,0.0,Technical,8252
FL-000233,2022-12-06,GoAir,DEL,BOM,15:41,02:00,241.0,1218,B787,293,0.0,None,3132
FL-000234,2022-08-11,IndiGo,HYD,HYD,04:53,02:42,121.0,2707,A321,174,0.0,Weather,18588
FL-000235,2022-12-04,Air India,MAA,HYD,14:16,10:22,226.0,1623,A321,258,0.0,None,2264
FL-000236,2024-02-10,Vistara,HYD,CCU,02:25,03:04,249.0,2904,A321,108,1.0,Crew,12125
FL-000237,2022-06-11,Vistara,BOM,HYD,03:38,19:33,186.0,724,A321,118,,Weather,17804
FL-000238,2023-01-01,SpiceJet,HYD,MAA,12:39,23:57,183.0,1094,B737,221,0.0,Weather,14627
FL-000239,2022-08-22,SpiceJet,BOM,HYD,18:28,12:44,198.0,279,A321,245,0.0,Weather,12018
FL-000240,2024-01-26,Vistara,CCU,BLR,15:04,00:23,223.0,2600,A320,51,0.0,ATC,19041
FL-000241,2022-04-29,SpiceJet,DEL,CCU,20:06,06:27,205.0,1588,B787,219,0.0,ATC,17376
FL-000242,2022-02-13,IndiGo,HYD,CCU,21:31,04:26,230.0,258,A320,51,0.0,Crew,13726
FL-000243,2022-05-04,Air India,HYD,CCU,08:17,15:20,213.0,2260,A321,112,0.0,Weather,4801
FL-000244,2022-03-28,Vistara,BOM,BOM,14:56,19:22,72.0,1988,B737,97,1.0,Crew,-6613
