post_id,post_date,platform,author_id,content_type,likes,comments,shares,reach,impressions,engagement_rate,followers_at_post,hashtag_count,is_sponsored,sentiment
POST-00000061,2024-07-04 10:00:00,TikTok,USER-00804,Story,42801.0,2954.0,7947,736239,1266876,13.287555287145402,937701,1.0,1,Positive
POST-00000062,2023-04-30 16:00:00,Facebook,USER-00291,Text,48923.0,4858.0,4085,67819,1358808,13.480014085458656,852691,11.0,1,Negative
POST-00000063,2024-06-10 13:00:00,TikTok,USER-01684,Image,70564.0,2697.0,1639,158637,439489,4.485013529929417,319400,25.0,1,Negative
POST-00000064,2023-09-27 20:00:00,LinkedIn,USER-01419,Video,72921.0,340.0,4564,457536,905995,12.854631973341162,65888,24.0,0,Positive
POST-00000065,2023-06-17 10:00:00,TikTok,USER-01785,Reel,37052.0,3995.0,7732,857418,766813,4.373637730449625,751,26.0,1,Neutral
POST-00000066,2024-07-31 02:00:00,Twitter,USER-01920,Reel,3399.0,315.0,5986,918345,566493,14.682103206254878,506601,8.0,0,Negative
POST-00000067,2024-06-04 15:00:00,TikTok,USER-01570,Image,69978.0,4813.0,363,713851,478863,5.675685519265151,130652,29.0,1,Positive
POST-00000068,2023-09-27 11:00:00,Facebook,USER-00406,Image,19774.0,4071.0,3083,284980,1271790,8.370016278255449,701191,2.0,0,Positive
POST-00000069,2023-03-17 05:00:00,Instagram,USER-00299,Video,53086.0,2451.0,4764,59677,1329993,7.436067148167705,152762,7.0,1,Positive
POST-00000070,2024-04-25 19:00:00,Twitter,USER-01806,Story,88629.0,1923.0,2924,951753,294855,3.2820612446507624,106707,19.0,0,Neutral
POST-00000071,2024-05-08 18:00:00,LinkedIn,USER-00450,Story,85336.0,271.0,9300,864556,449867,2.2185365208147245,974140,20.0,1,Positive
POST-00000072,2023-10-28 14:00:00,Twitter,USER-00009,Image,82985.0,4295.0,2496,644067,782831,1.897347644810798,937852,7.0,0,Neutral
POST-00000073,2023-08-02 23:00:00,Instagram,USER-01416,Image,,1703.0,4729,98192,900786,9.41907273202135,757029,5.0,1,Negative
POST-00000074,2024-03-05 04:00:00,TikTok,USER-00523,Video,81607.0,1072.0,90,261860,545501,2.424164966813506,184441,1.0,1,Neutral
POST-00000075,2024-05-29 06:00:00,LinkedIn,USER-00152,Video,45753.0,497.0,4314,529608,433675,5.96743258045893,33468,3.0,1,Positive
POST-00000076,2023-06-18 20:00:00,Twitter,USER-01580,Video,80464.0,2339.0,4258,860584,1278983,9.058993641123624,884480,23.0,0,Negative
POST-00000077,2024-02-15 01:00:00,Twitter,USER-01976,Reel,56967.0,4114.0,150,689413,1145056,14.131994027347009,861445,4.0,0,Neutral
POST-00000078,2023-04-01 22:00:00,TikTok,USER-00719,Video,68116.0,2635.0,1817,530959,1342312,10.05336232410296,737558,7.0,0,Neutral
POST-00000079,2023-05-25 04:00:00,Facebook,USER-00137,Text,33057.0,3043.0,9509,536558,710766,2.073077121648224,633680,23.0,1,Positive
POST-00000080,2023-11-09 21:00:00,TikTok,USER-01513,Reel,30699.0,3932.0,4509,477980,1488331,3.5176786632628447,622644,,0,neutral
POST-00000081,2024-06-25 04:00:00,Twitter,USER-01376,Video,37004.0,4100.0,3194,27075,775673,10.755884293476566,238621,22.0,1,Negative
POST-00000082,2023-09-19 05:00:00,Instagram,USER-00421,Text,71221.0,3449.0,639,329615,643141,12.197005465780496,171672,19.0,1,Neutral
POST-00000083,2024-01-14 01:00:00,Twitter,USER-00224,Video,86654.0,845.0,56,248584,1355419,6.1420017399550595,829344,3.0,0,Neutral
POST-00000084,2024-08-08 19:00:00,Twitter,USER-00583,Image,44018.0,1034.0,6535,389006,1426628,5.259443749387346,197944,5.0,0,Negative
POST-00000085,2024-05-21 19:00:00,Twitter,USER-01732,Image,61414.0,2511.0,3905,396312,646879,9.009278432816076,666477,5.0,1,Neutral
POST-00000086,2024-03-07 01:00:00,Instagram,USER-01938,Video,44158.0,2830.0,1374,622366,556175,11.852128769178535,153512,5.0,0,Neutral
POST-00000087,2024-07-03 08:00:00,TikTok,USER-01528,Story,46816.0,2558.0,1700,153861,457663,12.459732049769713,145553,13.0,1,Positive
POST-00000088,2023-02-11 11:00:00,Twitter,USER-00103,Reel,21097.0,2878.0,7654,149255,98783,2.1976229213940064,706497,11.0,1,Negative
POST-00000089,2024-01-17 01:00:00,Twitter,USER-01847,Video,27133.0,529.0,9635,399944,1032783,14.79408383131568,655532,15.0,0,Positive
POST-00000090,2023-04-02 21:00:00,Twitter,USER-00283,Image,42071.0,3343.0,5412,-444087,288215,10.999329057051662,383748,27.0,1,Neutral
POST-00000091,2023-10-19 23:00:00,Instagram,USER-01589,Text,16622.0,2864.0,48,797310,617616,11.312864825613014,819042,25.0,0,Positive
POST-00000092,2023-12-20 01:00:00,Instagram,USER-00134,Image,,3862.0,8468,184828,399067,7.84851181980281,271280,8.0,0,Neutral
POST-00000093,2024-06-16 06:00:00,Instagram,USER-00846,Video,43043.0,4128.0,3690,415531,905180,4.137507587444044,935378,19.0,0,Positive
POST-00000094,2023-10-29 06:00:00,LinkedIn,USER-00831,Reel,48633.0,2973.0,3754,911181,569072,7.4831394039558505,918019,16.0,0,Positive
POST-00000095,2023-04-03 16:00:00,Twitter,USER-01793,Image,58153.0,3257.0,1832,109890,130957,7.382093691563181,475635,9.0,1,Neutral
POST-00000096,2024-04-10 10:00:00,TikTok,USER-01823,Story,22753.0,2692.0,1463,621970,509583,3.0025066473501063,593571,14.0,0,Positive
POST-00000097,2024-08-14 12:00:00,LinkedIn,USER-01497,Video,44329.0,44.0,7551,97281,1250806,12.048519146808516,150858,17.0,1,Positive
POST-00000098,2024-01-07 09:00:00,LinkedIn,USER-00531,Video,52021.0,2163.0,2355,305910,1532930,7.481767265159968,784402,0.0,1,Negative
POST-00000099,2024-06-05 18:00:00,Instagram,USER-00480,Story,45168.0,105.0,9461,15394,1210368,6.1919954530226216,853789,17.0,1,Positive
POST-00000100,2023-02-09 15:00:00,LinkedIn,USER-01355,Story,89842.0,3645.0,1962,260865,1254836,10.968458109828546,628721,10.0,1,Positive
POST-00000101,2024-02-01 10:00:00,TikTok,USER-00125,Image,15583.0,4685.0,4174,581758,731123,1.6037668428772527,895894,14.0,1,Positive
POST-00000102,2023-08-23 19:00:00,Facebook,USER-00238,Text,32825.0,499.0,1188,867361,1010480,8.456897508743154,125269,24.0,1,Negative
POST-00000103,2023-06-11 14:00:00,Instagram,USER-00694,Reel,70292.0,3091.0,6646,690270,922216,2.7461039680788084,230159,1.0,1,Negative
POST-00000104,2023-11-18 02:00:00,TikTok,USER-01741,Text,26184.0,3462.0,3981,628180,1678844,3.078032582241362,285854,2.0,0,Positive
POST-00000105,2024-03-07 11:00:00,Instagram,USER-00900,Story,6315.0,,1584,897562,399777,2.996555228159752,158529,20.0,1,Neutral
POST-00000106,2023-10-31 07:00:00,TikTok,USER-01773,Story,87403.0,2715.0,5216,163247,1853417,12.234626758233023,795484,15.0,0,Positive
POST-00000107,2023-06-12 23:00:00,Twitter,USER-00228,Image,60866.0,2366.0,6120,225957,1312251,7.246406541000669,902934,29.0,1,Negative
POST-00000108,2024-04-16 06:00:00,LinkedIn,USER-01357,Reel,40553.0,3482.0,42,692935,1022543,6.046801643969648,354025,14.0,0,Neutral
POST-00000109,2023-05-26 09:00:00,Facebook,USER-00609,Reel,76042.0,838.0,2966,118900,1028013,9.924072297840985,353977,25.0,1,Positive
POST-00000110,2024-06-30 19:00:00,Instagram,USER-01131,Video,47400.0,,3817,726217,1117562,10.5583249423108,48752,12.0,1,Neutral
POST-00000111,2023-08-03 17:00:00,TikTok,USER-00472,Text,25354.0,1633.0,7986,628774,1210339,5.0799415461914945,590896,16.0,0,Positive
POST-00000112,2024-06-16 05:00:00,TikTok,USER-01454,Image,81574.0,2228.0,8736,220820,1376265,14.753042690917022,17842,11.0,0,Neutral
POST-00000113,2024-07-06 07:00:00,Facebook,USER-00672,Reel,45056.0,4743.0,4816,601553,710350,5.064721686844203,632667,17.0,0,Neutral
POST-00000114,2023-11-06 07:00:00,TikTok,USER-00658,Story,94441.0,2572.0,1506,879643,860147,6.493427664880372,363598,20.0,1,Neutral
POST-00000115,2024-08-20 18:00:00,TikTok,USER-00894,Reel,37232.0,1341.0,9356,102614,1572944,12.686912742938269,351529,22.0,1,Positive
POST-00000116,2024-06-18 11:00:00,Instagram,USER-00726,Reel,12730.0,1395.0,6356,387297,1738527,3.404893515988946,312956,25.0,0,Neutral
POST-00000117,2023-08-25 21:00:00,Instagram,USER-01453,Text,48131.0,1547.0,1140,639873,1392127,10.956550140012272,451947,17.0,1,Positive
POST-00000118,2023-11-14 18:00:00,Instagram,USER-01984,Reel,34620.0,2652.0,7629,629251,363771,3.3511499936730775,328234,24.0,1,Positive
POST-00000119,2023-12-17 01:00:00,Twitter,USER-01563,Image,23800.0,1209.0,8234,552911,1952331,13.443360361954381,999511,28.0,0,Neutral
POST-00000120,2024-04-07 20:00:00,Facebook,USER-01313,Story,67750.0,1811.0,7425,361740,1115253,2.689299898127715,928740,6.0,0,Negative
POST-00000121,2023-03-05 15:00:00,Twitter,USER-01971,Story,93369.0,4008.0,2679,154893,1673853,14.131024670054607,442237,11.0,1,Negative
POST-00000122,2023-07-12 17:00:00,Facebook,USER-01304,Text,22762.0,3960.0,7538,976144,774174,1.1132645844853433,165549,13.0,0,Negative
POST-00000123,2024-06-17 08:00:00,Twitter,USER-00832,Image,71162.0,3150.0,579,747475,531072,0.5982561610176967,399788,29.0,1,Neutral
POST-00000124,2023-11-01 12:00:00,LinkedIn,USER-00901,Text,95953.0,2242.0,9985,735214,1469537,7.422199772990155,466589,17.0,1,Neutral
POST-00000125,2024-02-23 13:00:00,Instagram,USER-01991,Video,37518.0,4570.0,811,257059,1604609,12.765412425581713,862648,25.0,1,Positive
POST-00000126,2024-01-27 09:00:00,Facebook,USER-01403,Story,2620.0,3091.0,8830,902779,829643,0.46487340344716466,339789,24.0,0,Negative
POST-00000127,2024-02-01 12:00:00,LinkedIn,USER-01051,Reel,60749.0,2459.0,9992,178384,12251,11.789212568004828,996411,25.0,0,Negative
POST-00000128,2024-05-19 01:00:00,TikTok,USER-00979,Story,36149.0,4294.0,5098,340961,1567388,2.9183300342799883,212685,13.0,0,Neutral
POST-00000129,2024-03-19 03:00:00,Instagram,USER-00006,Text,13676.0,2071.0,6919,250291,862304,9.503273945693344,885892,13.0,0,Negative
POST-00000130,2023-01-30 12:00:00,TikTok,USER-00644,Image,61081.0,3290.0,5702,737950,1667650,3.3910370471328593,474638,17.0,0,Neutral
POST-00000131,2023-12-19 00:00:00,Twitter,USER-00465,Story,29497.0,3764.0,2503,185003,1128475,13.230406011979712,918464,6.0,1,Negative
POST-00000132,2023-11-15 14:00:00,TikTok,USER-01371,Image,9197.0,1765.0,3077,91728,510329,14.246487483329991,151287,23.0,0,Negative
POST-00000133,2024-01-03 05:00:00,Instagram,USER-00122,Reel,65272.0,2340.0,4070,456846,1152802,8.829120611631096,872394,25.0,0,Neutral
POST-00000134,2024-03-14 01:00:00,Facebook,USER-01958,Video,6188.0,502.0,8671,694883,358048,5.813123919582019,781783,6.0,0,Neutral
POST-00000135,2023-11-03 11:00:00,LinkedIn,USER-00989,Image,33603.0,990.0,2980,858766,825777,9.481426094015568,411798,18.0,1,Neutral
POST-00000136,2024-07-26 11:00:00,LinkedIn,USER-00741,Text,32663.0,514.0,714,359803,419229,0.8138187355277132,552985,2.0,1,Negative
POST-00000137,2023-01-26 02:00:00,TikTok,USER-00457,Video,4173.0,3275.0,8220,617474,1720167,13.791340350859636,78953,19.0,1,Positive
POST-00000138,2023-03-11 18:00:00,Instagram,USER-01185,Story,88699.0,2379.0,7785,184161,263897,10.23878469925111,761687,27.0,1,Positive
POST-00000139,2024-01-11 10:00:00,Facebook,USER-00953,Story,83017.0,1682.0,2896,576464,1589194,10.250153695334706,687367,9.0,1,Positive
POST-00000140,2023-11-20 14:00:00,TikTok,USER-00177,Reel,48558.0,1999.0,6096,923930,430497,6.153654285771087,175968,10.0,0,Neutral
POST-00000141,2023-09-17 08:00:00,TikTok,USER-00483,Image,30764.0,,2042,692335,56107,7.24559023431609,239609,22.0,0,Neutral
POST-00000142,2023-11-12 06:00:00,LinkedIn,USER-01020,Text,26292.0,1323.0,9563,125607,1435812,8.079560451612794,566448,16.0,0,Neutral
POST-00000143,2024-01-14 03:00:00,Facebook,USER-01355,Reel,,912.0,8449,464257,1721384,11.813023392706482,173557,22.0,0,Positive
POST-00000144,2024-07-01 08:00:00,Instagram,USER-00399,Story,95398.0,3589.0,713,242772,188042,3.5782963536241033,500748,0.0,1,Negative
POST-00000145,2024-05-16 21:00:00,Facebook,USER-00593,Image,16422.0,,5876,819634,1117467,14.787696476162386,751575,2.0,1,Neutral
POST-00000146,2023-12-08 00:00:00,Facebook,USER-00532,Text,54600.0,1459.0,9128,286277,1594553,5.543730898177292,942162,9.0,0,Negative
POST-00000147,2024-01-14 23:00:00,Instagram,USER-00303,Text,71308.0,3742.0,3941,629542,317017,5.730458957140276,196207,14.0,0,Neutral
POST-00000148,2023-12-09 08:00:00,LinkedIn,USER-00993,Image,18581.0,2141.0,538,198083,1305265,3.9346487473247453,138692,21.0,1,Negative
POST-00000149,2023-03-16 13:00:00,Instagram,USER-01104,Image,52485.0,4414.0,7615,843943,1182117,12.51622958543527,425556,19.0,0,Negative
POST-00000150,2023-12-21 11:00:00,Facebook,USER-01100,Image,60276.0,1752.0,9549,352868,1725454,1.7992522925012688,73411,2.0,0,Neutral
POST-00000151,2024-01-22 15:00:00,Facebook,USER-00404,Video,75210.0,614.0,4406,505125,1155202,6.9499653974202475,227097,0.0,0,Positive
POST-00000152,2024-07-28 01:00:00,Twitter,USER-00128,Story,49916.0,222.0,447,632020,752259,5.208832479481309,738970,1.0,1,Negative
POST-00000153,2023-10-31 19:00:00,Twitter,USER-00428,Text,82210.0,,3953,175483,412297,10.722313909360267,734524,2.0,0,Negative
POST-00000154,2023-01-06 13:00:00,Facebook,USER-01730,Reel,46609.0,1767.0,4433,593639,668190,14.714158277589105,181131,17.0,0,Positive
POST-00000155,2024-06-16 18:00:00,Twitter,USER-00271,Story,85055.0,4238.0,2887,883494,1686207,9.29052345379286,243605,20.0,1,Negative
POST-00000156,2024-07-11 17:00:00,LinkedIn,USER-00578,Text,67973.0,1456.0,3401,504784,1944631,1.0009129778534676,106200,15.0,0,Negative
POST-00000157,2024-03-06 23:00:00,Instagram,USER-00046,Image,18522.0,2935.0,3961,536029,838890,6.237327299703318,517799,14.0,0,Negative
POST-00000158,2024-01-13 07:00:00,Twitter,USER-01503,Story,31721.0,3621.0,9965,317126,648414,2.8850800410309434,134561,9.0,0,Negative
POST-00000159,2023-09-01 02:00:00,TikTok,USER-00511,Story,70644.0,1957.0,5043,909490,65225,14.928668989003654,546674,6.0,0,Positive
POST-00000160,2023-12-27 06:00:00,Facebook,USER-00706,Image,,2364.0,2923,226922,762615,1.4145258902715407,378033,,1,Positive
POST-00000161,2023-11-14 14:00:00,Instagram,USER-01894,Text,28031.0,580.0,5503,741376,807784,10.960812591209924,344987,11.0,0,Neutral
POST-00000162,2023-03-25 01:00:00,LinkedIn,USER-00927,Story,73646.0,617.0,5776,680619,162828,7.628644527469387,846219,9.0,0,Positive
POST-00000163,2024-05-19 03:00:00,TikTok,USER-01211,Text,16188.0,1363.0,7239,786539,1722138,12.187981061635474,94418,21.0,1,Neutral
POST-00000164,2024-05-23 13:00:00,Instagram,USER-00484,Reel,28075.0,4629.0,6083,212603,1493158,14.969574837491336,314506,21.0,1,Neutral
POST-00000165,2023-06-19 07:00:00,Twitter,USER-00989,Text,67497.0,3695.0,137,554452,234231,3.302928940124257,451538,6.0,0,Positive
POST-00000166,2024-06-09 23:00:00,TikTok,USER-00273,Reel,1371.0,2487.0,8377,802842,1489126,12.511856090405493,909763,16.0,0,Negative
POST-00000167,2024-08-16 04:00:00,Facebook,USER-00602,Video,76659.0,993.0,3073,808099,1440344,13.297418101202489,383089,26.0,1,Negative
POST-00000168,2024-06-27 02:00:00,TikTok,USER-00005,Reel,85891.0,1949.0,1229,645813,1153741,9.181282315260816,419008,19.0,1,Neutral
POST-00000169,2023-06-01 20:00:00,Facebook,USER-00281,Story,24144.0,362.0,1770,61695,1875164,2.9151640448265064,824884,3.0,1,Positive
POST-00000170,2023-01-30 13:00:00,Instagram,USER-01536,Story,60809.0,758.0,1492,421492,1342837,5.0035610593331965,345714,6.0,1,Neutral
POST-00000171,2024-02-29 09:00:00,Facebook,USER-01626,Text,17002.0,3164.0,775,242178,1733581,13.75441569390674,800258,8.0,1,Neutral
POST-00000172,2023-08-06 05:00:00,Instagram,USER-01577,Video,10771.0,4695.0,4633,114921,1956320,7.203110873849537,760030,21.0,1,Negative
POST-00000173,2023-07-13 14:00:00,TikTok,USER-01057,Image,40659.0,3460.0,494,515271,190481,7.723030552581024,268919,12.0,0,Positive
POST-00000174,2024-05-14 02:00:00,LinkedIn,USER-01469,Story,42655.0,4607.0,1892,398941,593763,10.660246388218114,540565,6.0,1,Positive
POST-00000175,2023-10-24 05:00:00,Instagram,USER-00438,Story,9206.0,4695.0,5712,473290,1614921,2.2835523107763622,123612,15.0,0,Negative
POST-00000176,2023-09-15 14:00:00,Facebook,USER-01479,Image,5555.0,523.0,6113,14392,913620,5.819932582499978,520315,3.0,1,Negative
POST-00000177,2024-03-16 19:00:00,Twitter,USER-01567,Story,72682.0,841.0,8526,614362,26356,11.972467943619424,356114,27.0,0,Negative
POST-00000178,2023-01-14 18:00:00,Twitter,USER-01461,Image,4953.0,3349.0,1544,347856,1641975,1.1424719808531099,144747,18.0,1,Negative
POST-00000179,2023-03-24 05:00:00,LinkedIn,USER-00677,Text,91470.0,153.0,192,276278,555947,10.471280385993328,396787,9.0,1,Negative
POST-00000180,2023-03-01 07:00:00,LinkedIn,USER-00645,Text,78055.0,2034.0,311,54786,75199,9.481753959896718,598999,17.0,1,Negative
POST-00000181,2024-03-09 22:00:00,Facebook,USER-00052,Reel,30356.0,3317.0,8951,852986,583751,3.1551518499694744,903973,26.0,0,Negative
POST-00000182,2023-11-02 22:00:00,Twitter,USER-01929,Image,67313.0,4727.0,5733,777824,1203993,7.621018256327641,11087,21.0,1,Neutral
POST-00000183,2023-09-17 10:00:00,Facebook,USER-01264,Reel,48634.0,2524.0,4003,624598,1256770,11.007895953683779,373676,29.0,1,Positive
