sensor_id,timestamp,location,temperature_c,humidity_pct,pressure_hpa,vibration,battery_level,signal_strength,error_code,operational_status
SENSOR-0093,2024-06-14 12:42:00,Factory A,41.87274287622029,56.451282578643585,994.5129652260716,2.3849878077398556,59.673363263004795,-71,1,Critical
SENSOR-0002,2024-03-11 09:37:00,Lab,14.489520358098133,56.33248552126658,917.8487865960942,6.322913675996488,57.09740049224635,-71,0,Normal
SENSOR-0019,2024-01-01 07:31:00,Factory B,33.27014079231654,87.2320234176583,1099.0076560117147,8.545734021780557,0.7744866199548395,-45,1,Critical
SENSOR-0032,2024-02-15 08:44:00,Factory B,8.1091622080552,96.82530198405257,927.6435059427414,3.290866457394591,27.304234689368922,-38,0,Normal
SENSOR-0073,2024-01-07 22:36:00,Lab,-5.7197555549959,49.007475870745445,1063.9985307330305,3.033642108321053,45.07127471882085,-36,0,Critical
SENSOR-0003,2024-07-01 13:24:00,Warehouse,8.773830644294641,38.15268448428207,928.7404290556601,6.956417240331847,27.111272702038512,-68,1,Critical
SENSOR-0093,2024-07-27 19:25:00,Factory A,1.3524965798788458,26.198718977659865,1099.156109174209,9.437760545380545,2.480238987355665,-39,3,Critical
SENSOR-0063,2024-02-11 16:29:00,Lab,37.180547374734715,60.42395708787502,945.9798331945909,7.712986216753799,49.555657016489974,-71,3,Warning
SENSOR-0045,2024-12-02 06:57:00,Factory B,65.86259471301265,73.34511986213352,1006.1902007493682,1.2021993172459677,91.82677461890826,-99,1,Normal
SENSOR-0092,2024-07-10 21:13:00,Warehouse,3.3984574145890694,74.7954589049894,1014.9065009519022,9.284828394079586,71.40142071864655,-32,3,Normal
SENSOR-0051,2024-06-02 08:18:00,Lab,40.36368185538814,36.4321520730993,960.0173675095518,4.486349012141075,66.11296949701801,-70,2,Normal
SENSOR-0076,2024-01-04 03:33:00,Lab,-8.161803186955227,96.8192153002349,1026.01850994587,3.9618678288476716,3.919398059951351,-79,1,Critical
SENSOR-0070,2024-04-15 20:00:00,Factory A,51.819548367478596,47.35438898717864,1031.8521072050721,9.329004717521501,95.00675155875967,-31,0,Warning
SENSOR-0066,2024-06-22 15:30:00,Office,1.8706586535946297,57.710337389196475,1039.4383107558274,4.997215446872032,,-67,0,Critical
SENSOR-0013,2024-02-08 16:00:00,Lab,4.16698693125274,78.51258685045602,989.6606878154345,1.5689958499994106,45.43229973574859,-45,1,Warning
SENSOR-0086,2024-07-23 03:17:00,Factory B,26.99686445461751,54.673470545094844,956.2379338563406,9.750454354235313,82.55635431355269,-56,0,Critical
SENSOR-0014,2024-05-08 06:30:00,Factory B,53.893607298753594,49.825848352647604,927.8610896191418,0.4431454165636828,69.23153267384764,-78,0,Critical
SENSOR-0002,2024-07-25 03:11:00,Factory A,47.349390023894905,72.67577543830693,1056.938033672135,6.8554303801035275,31.397601872180502,-48,0,Warning
SENSOR-0059,2024-06-18 01:15:00,Factory A,27.345512821137937,77.99766056317854,1044.9272191701905,8.991271707899886,74.1039398455043,-84,0,Warning
SENSOR-0039,2024-02-20 15:10:00,Warehouse,40.71033409900915,66.59395432347604,1008.0645859998547,1.0310686612079012,16.838063365640476,-54,0,Normal
SENSOR-0082,2024-05-31 12:53:00,Office,2.148456618095272,61.254533486681986,1049.8250794032986,0.7073739904840359,69.50629232690548,-96,2,Normal
SENSOR-0068,2024-08-03 21:39:00,Warehouse,-1.6136208404450354,79.06060050218844,993.8072274956505,2.13923059732537,73.60498628594867,-51,0,Warning
SENSOR-0016,2024-12-05 21:20:00,Factory B,53.633955341400366,68.91853867978224,1095.7301466725687,0.1736515633749447,14.595870184523829,-37,0,Warning
SENSOR-0099,2024-10-11 22:49:00,Factory A,8.173022894303813,20.437525033815945,914.4534430239281,5.60080145830398,81.19017905651583,-96,0,Critical
SENSOR-0077,2024-01-21 22:23:00,Warehouse,22.624778773872357,67.83687325545436,1073.6516721436954,2.910721062664956,7.111382795479004,-68,3,Warning
SENSOR-0083,2024-09-22 10:47:00,Factory A,79.59499383079567,67.1352440068296,1041.5561631366072,4.69854583520728,46.005613717405055,-88,1,Warning
SENSOR-0063,2024-02-10 06:02:00,Warehouse,58.76480247491341,86.62504041940235,1010.2436975809779,2.1731388961868014,4.82114904873997,-37,0,Warning
SENSOR-0041,2024-08-24 10:52:00,Lab,44.66937274589363,67.19842295519348,1050.4776435752392,0.6160615678029491,99.3006718274037,-64,0,Critical
SENSOR-0010,2024-02-21 00:50:00,Office,17.415630929422562,21.255830762102885,911.9200704473302,5.965393319501287,32.08579021666278,-97,0,Critical
SENSOR-0012,2024-10-31 14:43:00,Lab,28.770754199188758,98.22628750408627,1042.5232316048675,8.167693542254579,35.859865009441464,-44,2,Normal
SENSOR-0094,2024-12-28 00:55:00,Lab,-1.015995586197084,23.443032787273328,1005.2653140224019,9.832654006495043,76.92204958249812,-71,1,Warning
SENSOR-0079,2024-05-27 00:38:00,Lab,46.84140512356697,23.86425713598789,1087.64683752669,2.1133272523084843,88.33869687213878,-56,0,Critical
SENSOR-0097,2024-10-25 17:25:00,Factory B,14.358810041990278,22.830159205982177,975.3050422424888,6.587145599185523,,-46,0,Critical
SENSOR-0019,2024-09-30 14:14:00,Lab,-7.608662824453081,22.499623461126205,984.2102664708179,6.5285804750472085,45.60020754858254,-32,0,Normal
SENSOR-0076,2024-03-24 15:49:00,Factory A,62.13789007600079,92.29229818885209,910.7640376525799,1.3815641260626532,37.4412896630025,-56,2,Warning
SENSOR-0061,2024-09-21 20:16:00,Warehouse,70.47995847164051,53.181420507185095,956.3734537749194,8.756679831923883,11.828121787234869,-66,2,Critical
SENSOR-0053,2024-04-09 07:58:00,Factory B,35.92866926091736,51.84352838446581,1096.4174610174439,9.647961209953207,56.37006777433229,-81,0,Normal
SENSOR-0055,2024-02-24 12:26:00,Office,74.3151318271188,94.84088391667473,1060.7182983417213,5.2763088932106434,1.1045942599574032,-92,3,Warning
SENSOR-0031,2024-12-15 01:25:00,Factory A,68.22907117121892,81.49063707035252,935.7448745339462,3.5929772021780746,67.10397009258384,-94,0,Critical
SENSOR-0028,2024-11-30 18:41:00,Factory A,16.13464387118079,28.28454689645085,1037.099976724122,0.8483049445392055,78.35134883899082,-39,0,Critical
SENSOR-0016,2024-09-15 00:09:00,Factory A,-7.6796851307276235,71.06706263906675,932.3413549074636,5.162500551135862,58.75342917287474,-100,2,Normal
SENSOR-0050,2024-03-13 22:39:00,Office,29.985317410122434,76.03842089388716,1016.2881120582399,6.625430896100274,85.52986191435521,-43,3,Warning
SENSOR-0003,2024-03-13 19:10:00,Warehouse,41.66333647195023,25.691649129156477,1021.3518079994976,5.279603753747585,27.465620605748686,-39,3,Normal
SENSOR-0065,2024-02-27 19:02:00,Lab,35.93708925078914,67.88693338817681,1088.3816746870555,2.4265139519155854,41.82957294513302,-85,1,Warning
SENSOR-0061,2024-05-27 13:13:00,Factory B,37.239751576233985,94.4713292032432,901.259060873478,9.120533815330935,87.05083036357682,-51,3,Normal
SENSOR-0018,2024-09-10 09:28:00,Factory A,22.532572960227355,37.68612797850794,986.4542801093978,5.347089469464109,18.799042543575684,-73,0,Normal
SENSOR-0009,2024-04-01 00:12:00,Office,41.43585034875127,88.30832389326403,1018.1952881240463,1.228517902884837,86.83068721959036,-43,3,Normal
SENSOR-0064,2024-07-14 00:25:00,Factory A,-4.128259990919584,87.8514659250215,950.3518872169275,6.202137210491382,21.69859667791122,-88,0,Warning
SENSOR-0025,2024-09-05 22:13:00,Factory A,24.60164983889031,30.088721721491485,1060.906582414905,7.478065306941435,68.89688194920181,-49,0,Normal
SENSOR-0060,2024-07-01 01:23:00,Factory A,72.11353638835475,72.00629086612805,1062.9073238154322,1.5502743382611106,23.234546375733277,-96,1,Warning
SENSOR-0007,2024-09-04 23:31:00,Warehouse,63.426503096765444,61.12488224667716,954.6875199750558,6.511146478109918,43.240626077454216,-57,2,Critical
SENSOR-0034,2024-05-22 02:04:00,Lab,36.30322348298745,90.91345333985691,1090.2198182647292,5.186750800826658,67.84205001577365,-78,0,Critical
SENSOR-0020,2024-11-21 23:00:00,Warehouse,75.59729179236479,35.73029156148044,1013.1691530597286,6.427798189183735,57.34887948417493,-74,1,Normal
SENSOR-0054,2024-01-21 03:38:00,Office,14.525934844628637,68.25006993268882,943.7421013820091,0.6005316692197205,67.0408000748527,-52,1,Warning
SENSOR-0097,2024-09-29 04:42:00,Factory B,54.211295521375064,56.46124880561076,1050.0077938396753,7.667717421662563,56.840310322742724,-69,0,Critical
SENSOR-0071,2024-01-19 07:54:00,Warehouse,68.75923988291089,96.813624644035,1097.9900340794306,4.632581464425012,79.81808963802119,-56,0,Normal
SENSOR-0025,2024-03-22 01:55:00,Lab,-1.013276407122568,28.101356629068768,908.6834479095214,8.952275432043239,38.25015412553243,-87,0,Normal
SENSOR-0072,2024-01-01 08:03:00,Factory B,-6.279134465733192,78.8969489216195,989.2862978061794,4.700871131402472,79.74623551785596,-100,3,Warning
SENSOR-0096,2024-08-25 00:06:00,Office,77.49657676737799,48.06190876781197,986.4483380066331,7.544392791802381,41.96184224101241,-79,0,Normal
SENSOR-0066,2024-05-07 14:23:00,Factory A,78.61714929541357,37.15260572625424,997.1601139205128,0.9906971719282731,33.97094050618129,-38,2,Warning
SENSOR-0005,2024-11-15 01:02:00,Office,73.53443660689628,64.16374732206603,974.7313474274533,8.265533970446736,96.4337909500168,-80,2,Warning
SENSOR-0032,2024-05-13 00:38:00,Office,76.66252236250877,92.34056235448251,1076.8797617526463,2.7427923160913648,24.173490113134,-41,2,Warning
SENSOR-0013,2024-12-03 13:33:00,Factory A,18.81473976255569,46.01820867463356,907.9029539416516,3.1522370728919356,29.869472895420536,-64,0,Warning
SENSOR-0028,2024-05-28 22:57:00,Factory A,71.04555287743041,29.61280781211225,1006.5657130321321,7.508969000539509,31.77797677408012,-45,0,Normal
SENSOR-0064,2024-10-02 23:12:00,Office,77.69161547837726,32.70802890671693,1000.8041121870195,7.0872776276494545,44.236537935211416,-95,0,Normal
SENSOR-0003,2024-06-27 10:00:00,Lab,73.95205540675745,85.50552450861336,1005.4712964644166,0.42095845518877795,92.51029675130943,-53,0,Critical
SENSOR-0071,2024-10-24 21:38:00,Warehouse,21.97538666293707,24.75941764688659,985.4921384972226,3.3574584563277945,54.15457314395324,-39,2,Normal
SENSOR-0004,2024-08-24 08:33:00,Office,35.6137652029491,60.376606951213425,938.6036703262315,9.04129828232045,78.99589241866641,-37,0,Critical
SENSOR-0008,2024-09-05 15:51:00,Warehouse,65.31347090595261,39.850653640538205,981.955644231382,9.510173531855898,39.82947354323685,-83,0,Warning
SENSOR-0017,2024-11-07 08:27:00,Factory B,15.463651307051308,79.25771458158277,1088.8311250044371,0.3889706751550337,93.1638385352197,-56,2,Critical
SENSOR-0067,2024-04-06 00:26:00,Factory A,31.977853764163363,66.2886184049664,1049.2802197329709,4.864631394343272,70.53789155241198,-32,3,Critical
SENSOR-0082,2024-05-07 18:44:00,Lab,62.47615011562095,41.410327623362484,945.9763845930062,2.749542785168624,36.36183026713894,-98,0,Critical
SENSOR-0092,2024-12-07 20:17:00,Lab,55.96461433396141,32.50713559018586,1075.3124828503978,6.756743382520757,67.2137775716884,-50,0,Warning
SENSOR-0062,2024-02-11 06:09:00,Factory B,6.76194865812084,85.11381652535927,1063.4225496753643,9.52617909173027,97.62190928141749,66,1,Normal
SENSOR-0054,2024-07-06 07:54:00,Lab,-7.334026700057056,95.13061470372813,969.3757361950132,6.023195288770326,16.908572842267088,-59,2,Critical
SENSOR-0094,2024-02-26 21:25:00,Warehouse,55.24322908189802,97.66595316517497,1087.5707898983283,5.744284993975299,,-48,0,Critical
SENSOR-0014,2024-04-21 16:13:00,Office,21.558525859771375,31.95889352906245,951.4858660794545,9.657112846186738,91.44438523067609,-64,0,Normal
SENSOR-0056,2024-09-04 01:09:00,Lab,35.16787210202548,38.519978539429914,1092.487116182269,8.316300323682572,8.120187089577136,-86,3,Critical
SENSOR-0068,2024-08-19 11:58:00,Office,-6.299166697126557,98.89122521695197,1088.588283460024,4.734468371306528,96.55627667982965,-45,0,Critical
SENSOR-0049,2024-01-23 04:53:00,Office,53.59531784369264,59.91322886493045,958.7433029852068,8.423584159810492,60.080026688616705,-75,0,Warning
SENSOR-0023,2024-07-02 20:06:00,Lab,60.84195081618874,64.62775773603568,1036.091763276898,3.857161545603045,63.94422620672724,-42,2,Normal
SENSOR-0027,2024-04-19 04:59:00,Lab,20.921311120783518,39.22266614399967,1003.6852668965745,3.1080009133915953,,-62,0,Warning
SENSOR-0026,2024-12-07 18:59:00,Office,66.9719133859858,83.11933194860052,987.4582396615375,7.548274975541018,16.482086280853693,-99,0,Critical
SENSOR-0019,2024-12-24 05:10:00,Lab,65.42658444451143,73.09682848905372,1089.8408394321589,9.606464262193871,7.352614910056521,-38,0,Normal
SENSOR-0080,2024-03-23 14:21:00,Factory B,34.80782577160813,88.08082821514282,1017.5021622138634,6.206269712691382,95.61635155385018,-66,1,Normal
SENSOR-0083,2024-07-22 22:11:00,Warehouse,3.9178681994842215,49.19907300648817,1098.411460061364,9.596717950620786,51.451617295079764,-75,0,Normal
SENSOR-0078,2024-05-26 21:25:00,Warehouse,9.008139828916132,46.86938993989277,1091.7773599671075,9.903338673930875,96.87219767767733,-41,0,Critical
SENSOR-0055,2024-01-19 02:51:00,Warehouse,34.225417895134235,35.876654939165974,1056.9818193621854,2.0718736597328933,28.875479375833812,-42,1,Normal
SENSOR-0016,2024-12-23 20:27:00,Factory B,-1.5094472523872842,53.79915833586445,1018.238552560296,7.9144712202837475,47.433508356274814,-32,0,Normal
SENSOR-0058,2024-02-28 11:53:00,Factory A,62.299538815115,24.633614661368888,969.750250198454,5.467961436115617,54.8777283113278,-73,2,Normal
SENSOR-0066,2024-11-20 17:36:00,Office,-1.477508016418712,92.2286959055346,963.0780527235171,2.919549949907937,43.6685801966367,-57,0,Warning
SENSOR-0084,2024-05-18 23:18:00,Lab,69.50897665053847,81.7603825056575,1078.975243490368,2.394440132195558,95.74995896428204,-64,0,Normal
SENSOR-0062,2024-10-19 12:44:00,Factory B,45.412012195008636,85.62160850535963,1069.9093832226977,1.219033372131102,25.449974216150373,-70,0,Critical
SENSOR-0018,2024-03-08 00:42:00,Office,6.1004681542300325,69.85307699575301,997.6186963634991,5.575244849707942,1.213253478989984,-68,0,Normal
SENSOR-0007,2024-09-18 18:48:00,Factory B,65.3875398549149,74.2772494518975,921.8952238845992,2.6891857679280196,29.77795723634352,-97,1,Normal
SENSOR-0100,2024-02-19 09:14:00,Warehouse,77.32542653464331,41.069038838039226,1071.0253042038157,3.2951486767211935,87.21881633439807,-99,0,Normal
SENSOR-0083,2024-10-29 16:57:00,Factory B,74.72506677126489,73.46001914219359,936.6371613615372,6.786155106832438,95.79319387194526,-87,0,Critical
SENSOR-0034,2024-06-05 07:13:00,Factory A,5.982876755368242,21.28988910544195,915.4600273298272,5.693150471919111,78.17103925811831,-77,2,Warning
SENSOR-0083,2024-04-03 02:21:00,Warehouse,36.18440928769772,20.923896467304406,1019.1199356755525,6.836648262031036,77.57821764961153,-91,3,Normal
SENSOR-0081,2024-04-05 00:31:00,Factory B,28.960473780932404,58.42639428467986,1023.9793608106314,0.7254847690525468,88.31565513920772,-54,0,Normal
SENSOR-0100,2024-05-09 20:56:00,Lab,23.16346251602672,58.20701056254059,909.109718391361,6.678894525598517,77.82821997636579,-96,0,Warning
SENSOR-0009,2024-03-16 02:18:00,Factory B,55.32510108641698,91.57079338753773,907.8864833513036,6.952095780187371,58.04553290186561,-31,0,Critical
SENSOR-0091,2024-08-01 22:48:00,Lab,16.117354650507245,82.85609983785558,954.4446656954976,5.298021474621083,73.56892502653218,-63,0,Normal
SENSOR-0039,2024-08-20 12:43:00,Factory B,60.416249512936375,77.87161120033406,969.9953133397505,7.012458316120784,17.636464949549733,-46,-3,Warning
SENSOR-0080,2024-02-26 18:25:00,Factory A,69.17182969130451,42.423672370220224,1093.270411717042,6.471592453710278,85.27710579640578,-47,3,Normal
SENSOR-0002,2024-01-08 21:58:00,Office,0.0746161321198926,47.49681824347422,951.4851129141786,2.8599012332972507,52.4622835576799,-100,0,Warning
SENSOR-0084,2024-05-08 15:11:00,Office,20.950380434114944,76.92507648503884,934.5429395616648,0.26155135289923304,77.37871156679691,-32,0,Critical
SENSOR-0037,2024-02-07 13:16:00,Office,57.13693413290868,50.38692659469116,924.7214466987623,2.4407585779864496,18.524008822903546,-35,0,Warning
SENSOR-0035,2024-03-26 06:41:00,Factory B,49.76964825546254,23.295394135381233,1065.165077651025,8.618289028681842,41.33020053139893,-89,0,Normal
SENSOR-0007,2024-07-13 17:47:00,Office,-6.2414653110838785,44.52282112572238,1086.971069903504,9.8127020103313,52.95930334154306,-33,0,Normal
SENSOR-0014,2024-04-20 11:46:00,Factory B,3.1375966745490107,94.05523365026886,985.0392231293204,9.534691381737563,73.71914963861202,-44,1,Warning
SENSOR-0072,2024-02-09 12:01:00,Lab,58.52476680018228,83.94286086112675,1035.9935904550298,8.508243329723303,37.70085213257368,-59,0,Warning
SENSOR-0062,2024-06-07 04:49:00,Warehouse,28.580932980140012,61.58755242419963,950.9836267880743,9.191724688508259,88.05293633698848,-50,0,Warning
SENSOR-0092,2024-02-12 15:05:00,Lab,24.43013303957609,65.52585442004914,931.1203984129178,5.905137941391729,9.014686472540879,-37,1,Critical
SENSOR-0079,2024-02-09 13:22:00,Office,11.618409447984696,97.43691096071198,1093.76220572033,8.466337802547347,17.57403620932969,-91,0,Critical
SENSOR-0080,2024-02-21 14:51:00,Office,27.621080139556987,65.02056254015626,1064.0517656360212,0.5941469075223915,3.2396945731007265,-57,0,Critical
SENSOR-0044,2024-12-04 10:04:00,Office,46.14060552908853,58.913689971869644,978.6600927872869,9.184166742608825,37.598600989779854,-77,0,Normal
SENSOR-0007,2024-12-21 03:23:00,Factory A,75.02440711589192,91.17216945827704,1037.181191148299,6.071901114311441,31.526456767423195,-47,0,Warning
SENSOR-0096,2024-03-19 18:22:00,Office,67.12910486329565,78.72489455244583,916.4103331981081,7.795493970891098,91.73318502219774,-58,0,Warning
SENSOR-0011,2024-10-17 10:58:00,Factory B,58.722714287490604,22.541597655870007,1077.7339588608515,2.232993508890618,31.591828775841314,-82,2,Warning
SENSOR-0015,2024-02-27 06:54:00,Lab,56.2582315135479,75.06027590621167,959.5777839493468,1.4628403297953307,1.6311900153878733,-68,1,Critical
SENSOR-0061,2024-06-07 15:44:00,Lab,78.17352320800518,34.48672818403531,1062.7362701731452,2.172042203702028,12.583393754442984,-39,1,Critical
SENSOR-0027,2024-10-19 01:30:00,Factory A,22.529933929768198,80.6500548072088,1086.7285392666672,2.945604020917918,86.5933791889824,-78,2,Critical
SENSOR-0038,2024-12-07 01:34:00,Factory B,61.70544524676093,28.542138463775277,1016.4561457312907,5.362929412572401,59.901781509335606,-69,3,Normal
SENSOR-0056,2024-04-26 19:14:00,Office,47.54068430799058,23.82528515985557,975.9228126607577,0.10166371842904698,19.112359704171645,-77,0,Normal
SENSOR-0063,2024-08-03 08:54:00,Warehouse,56.143306347503724,67.51869206338777,1034.1150885797908,4.985533623532433,82.51993241744525,-61,0,Warning
SENSOR-0021,2024-04-16 07:11:00,Lab,50.32006202780413,47.488404444289145,1029.7162040891608,6.798401655955239,66.32702503900109,-99,0,Critical
SENSOR-0100,2024-08-03 19:11:00,Office,12.701645517696104,50.152316968056816,911.3440664373718,1.976242019724458,70.36036867359984,-84,0,Normal
SENSOR-0022,2024-01-27 12:56:00,Factory B,53.26613400902028,82.96475457800538,911.5034458386215,3.627254522856387,19.594533741401865,-33,1,Warning
SENSOR-0088,2024-08-03 07:59:00,Lab,47.63496287349145,50.06197075503296,1021.0008796260465,2.593585833582228,96.0132019281833,-90,0,Normal
SENSOR-0018,2024-03-05 04:28:00,Warehouse,9.103895225752694,68.01248554619855,1004.0925145338213,4.026179043324239,99.5420355062775,-84,0,Normal
SENSOR-0006,2024-12-24 02:07:00,Factory B,24.54802654811359,99.95751274263782,1088.4416512404798,3.1543280537426455,45.40546660887972,56,2,Warning
SENSOR-0056,2024-07-09 03:20:00,Warehouse,36.44928270998078,65.6428294137823,929.3911952585225,1.8073134564053073,95.92486002215401,-32,1,Critical
SENSOR-0057,2024-09-22 10:06:00,Factory B,54.0030870874907,27.638863954805586,1036.5949986580663,6.712987282058612,19.302981774988893,-98,2,Critical
SENSOR-0063,2024-03-13 18:15:00,Lab,74.5583329998502,79.27513319858113,983.1272567517964,1.7516860736689865,60.135056027736326,-59,3,Critical
SENSOR-0100,2024-08-22 14:02:00,Office,53.24088471635133,76.42374446275585,979.8344600639176,4.342409926813624,93.5539627261732,-91,0,Critical
SENSOR-0058,2024-06-22 21:51:00,Lab,29.741497230969266,46.2008492878081,959.6458789505081,3.084375136230235,52.31146211800899,-36,0,Normal
SENSOR-0065,2024-06-10 21:18:00,Lab,29.544084524427177,32.46639318199486,1085.2349273474047,9.718492352566901,81.0730612097412,-46,1,Warning
SENSOR-0090,2024-12-30 17:19:00,Factory B,2.9480699963164056,69.05566574623946,1045.9039888429868,6.875440058629958,91.62360680058985,-41,0,Normal
SENSOR-0085,2024-06-04 02:13:00,Warehouse,36.421585771080046,82.5919094366809,1025.9077394896012,8.042224584706814,59.11326911169571,-37,0,Normal
SENSOR-0093,2024-07-08 03:32:00,Lab,-8.425086766234042,27.852666891854653,1046.4721000100665,5.369476965595611,29.505129705030953,-90,1,Normal
SENSOR-0073,2024-03-10 14:38:00,Office,49.421026990188174,51.00236399239492,1075.0594154299658,7.327850768180667,82.14314088803573,-64,2,Normal
SENSOR-0070,2024-05-29 20:55:00,Warehouse,59.88261021739871,59.33082215163018,975.2456024971883,4.481466826945777,76.50507537745071,-86,0,Warning
SENSOR-0050,2024-08-13 17:37:00,Factory B,77.17888638618194,74.07325207681563,995.9397351633817,5.241868176174959,74.98909247869501,-68,3,Critical
SENSOR-0027,2024-06-12 12:59:00,Factory B,11.444966363186218,99.4667806006275,905.3352247104658,6.113258050885506,11.092995931698525,-80,0,Normal
SENSOR-0002,2024-10-17 16:34:00,Factory A,44.522638785915305,68.98581946645271,937.1557071791655,4.475221983894278,68.85156704155769,-84,0,Critical
