customer_id,plan,status,signup_date,tenure_months,mrr,engagement_score,support_tickets,last_active_date
CUST-00062,Professional,Active,2022-01-22,35,300,65.0,3,2024-03-12
CUST-00063,Growth,Active,2022-12-13,24,101,87.0,12,2023-03-28
CUST-00064,Growth,Churned,2023-02-21,22,100,23.0,9,2024-08-26
CUST-00065,Professional,Active,2024-06-19,6,300,91.0,6,2024-08-14
CUST-00066,Starter,Active,2023-02-01,23,30,85.0,6,2024-08-28
CUST-00067,Starter,Churned,2022-09-13,28,28,20.0,11,2024-02-25
CUST-00068,Starter,Churned,2023-07-24,17,31,32.0,6,2024-10-07
CUST-00069,Growth,Active,2022-03-26,33,99,44.0,5,2024-02-06
CUST-00070,Growth,Active,2022-04-07,33,98,82.0,5,2022-05-06
CUST-00071,Growth,Active,2022-01-11,36,101,66.0,7,2022-03-08
CUST-00072,Professional,Active,2024-12-22,0,297,42.0,7,2024-12-24
CUST-00073,Enterprise,Churned,2024-05-26,7,999,8.0,9,2024-09-07
CUST-00074,Professional,Active,2022-03-14,34,303,73.0,11,2023-10-18
CUST-00075,Growth,Active,2022-01-26,35,100,1.0,0,2023-03-14
CUST-00076,Professional,Churned,2023-04-06,21,294,13.0,1,2024-06-24
CUST-00077,Enterprise,Churned,2022-05-26,31,996,38.0,8,2023-09-04
CUST-00078,Enterprise,Active,2023-07-11,17,1001,45.0,2,2024-11-08
CUST-00079,Growth,Active,2024-01-17,11,95,14.0,13,2024-04-16
CUST-00080,Starter,Churned,2023-08-29,16,30,24.0,4,2024-07-19
CUST-00081,Starter,Churned,2024-12-13,0,25,32.0,11,2024-12-14
CUST-00082,Professional,Active,2024-08-05,4,298,22.0,6,2024-09-01
CUST-00083,Growth,Active,2023-04-22,20,102,22.0,4,2023-08-05
CUST-00084,Starter,Active,2022-12-10,25,30,35.0,8,2024-03-28
CUST-00085,Professional,Active,2023-10-06,15,298,43.0,13,2024-03-02
CUST-00086,Starter,Active,2024-12-14,0,32,94.0,2,2024-12-24
CUST-00087,Enterprise,Active,2024-02-18,10,1001,55.0,14,2024-05-23
CUST-00088,Starter,Active,2023-05-31,19,27,54.0,3,2024-07-05
CUST-00089,Professional,Churned,2024-09-04,3,296,14.0,5,2024-11-20
CUST-00090,Enterprise,Trial,2024-03-29,9,1000,72.0,1,2024-05-22
CUST-00091,Professional,Active,2023-08-22,16,301,42.0,7,2023-12-23
CUST-00092,Enterprise,Active,2022-09-20,27,1001,49.0,0,2023-09-21
CUST-00093,Starter,Active,2024-10-23,2,30,9.0,1,2024-11-27
CUST-00094,Professional,Active,2022-06-19,30,297,19.0,1,2023-11-17
CUST-00095,Professional,Churned,2024-11-19,1,300,21.0,9,2024-11-23
CUST-00096,Growth,Active,2023-02-16,22,102,61.0,1,2023-05-16
CUST-00097,Starter,Active,2022-01-08,36,29,33.0,14,2022-04-04
CUST-00098,Professional,Active,2022-11-23,25,295,87.0,10,2024-11-28
CUST-00099,Professional,Churned,2022-07-02,30,300,14.0,13,2024-06-09
CUST-00100,Enterprise,Active,2023-04-27,20,998,54.0,3,2023-06-19
CUST-00101,Professional,Active,2022-12-02,25,295,94.0,11,2024-03-11
CUST-00102,Growth,Active,2023-12-16,12,100,94.0,10,2024-01-08
CUST-00103,Growth,Active,2024-06-06,6,103,69.0,8,2024-12-02
CUST-00104,Starter,Active,2024-04-18,8,30,94.0,1,2024-07-02
CUST-00105,Starter,Active,2024-07-18,5,24,19.0,10,2024-09-21
CUST-00106,Starter,Churned,2023-06-12,18,31,22.0,13,2023-11-17
CUST-00107,Growth,Active,2023-05-24,19,95,87.0,11,2024-06-09
CUST-00108,Professional,Active,2022-09-19,27,301,44.0,11,2022-10-27
CUST-00109,Growth,Active,2022-09-17,27,97,80.0,7,2024-05-08
CUST-00110,Professional,Active,2024-01-29,11,303,78.0,3,2024-03-18
CUST-00111,Growth,Active,2023-07-17,17,96,72.0,1,2024-05-28
CUST-00112,Enterprise,Churned,2022-03-28,33,997,23.0,0,2024-03-20
CUST-00113,Enterprise,Active,2024-10-11,2,995,92.0,4,2024-11-10
CUST-00114,Starter,Active,2022-06-25,30,32,1.0,2,2023-06-24
CUST-00115,Enterprise,Churned,2022-08-02,29,999,7.0,5,2023-02-27
CUST-00116,Professional,Churned,2024-08-25,4,300,24.0,9,2024-12-06
CUST-00117,Professional,Active,2023-07-25,17,299,49.0,12,2024-07-17
CUST-00118,Enterprise,Active,2022-05-19,31,997,17.0,11,2024-05-07
CUST-00119,Starter,Active,2022-11-21,25,28,8.0,12,2022-12-22
CUST-00120,Enterprise,Active,2022-01-27,35,995,48.0,4,2024-06-02
CUST-00121,Enterprise,Active,2024-06-24,6,999,13.0,12,2024-08-25
CUST-00122,Professional,Active,2024-09-08,3,296,94.0,13,2024-12-26
CUST-00123,Starter,Active,2022-02-12,35,25,84.0,9,2022-10-26
CUST-00124,Growth,Active,2024-07-26,5,103,74.0,12,2024-08-07
CUST-00125,Professional,Active,2022-10-05,27,301,,2,2024-08-15
CUST-00126,Starter,Churned,2023-01-31,23,25,12.0,0,2024-07-14
CUST-00127,Starter,Active,2023-03-19,21,24,42.0,2,2024-06-17
CUST-00128,Growth,Active,2022-08-26,28,94,88.0,0,2024-03-19
CUST-00129,Enterprise,Active,2022-12-07,25,996,78.0,8,2023-05-08
CUST-00130,Starter,Churned,2024-12-10,0,26,16.0,8,2024-12-12
CUST-00131,Professional,Trial,2022-04-02,33,294,6.0,6,2024-07-31
CUST-00132,Growth,Churned,2024-04-25,8,97,30.0,12,2024-12-14
CUST-00133,Professional,Active,2024-09-15,3,297,89.0,12,2024-12-21
CUST-00134,Growth,Active,2023-06-07,19,97,29.0,6,2024-11-06
CUST-00135,Professional,Active,2023-08-22,16,299,68.0,7,2024-03-12
CUST-00136,Growth,Active,2024-08-31,4,102,85.0,14,2024-09-11
CUST-00137,Professional,Churned,2022-11-17,25,301,11.0,12,2023-11-11
CUST-00138,Professional,Trial,2024-03-02,10,297,74.0,8,2024-07-04
CUST-00139,Growth,Active,2022-09-17,27,100,96.0,7,2024-01-12
CUST-00140,Growth,Trial,2022-10-03,27,94,33.0,10,2024-10-31
CUST-00141,Professional,Active,2024-03-09,9,300,68.0,12,2024-09-22
CUST-00142,Starter,Churned,2024-03-11,9,30,15.0,9,2024-09-09
CUST-00143,Enterprise,Active,2022-12-04,25,996,67.0,8,2024-10-29
CUST-00144,Enterprise,Churned,2022-05-07,32,999,11.0,10,2024-11-15
CUST-00145,Professional,Active,2022-12-15,24,300,8.0,4,2024-12-23
CUST-00146,Starter,Active,2022-01-10,36,27,22.0,9,2022-02-11
CUST-00147,Growth,Active,2022-08-21,28,100,98.0,1,2023-07-25
CUST-00148,Enterprise,Active,2023-04-03,21,1003,50.0,14,2023-12-28
CUST-00149,Growth,Active,2022-07-13,30,101,49.0,2,2024-12-16
CUST-00150,Starter,Active,2024-03-28,9,30,65.0,1,2024-06-28
CUST-00151,Growth,Active,2022-04-14,33,98,52.0,2,2024-09-26
CUST-00152,Enterprise,Active,2024-08-11,4,1001,25.0,1,2024-09-09
CUST-00153,Starter,Trial,2023-08-09,17,33,86.0,8,2024-12-25
CUST-00154,Enterprise,Active,2024-12-24,0,1000,54.0,14,2024-12-27
CUST-00155,Growth,Active,2023-04-11,21,102,44.0,14,2023-10-14
CUST-00156,Starter,Churned,2024-01-04,12,30,27.0,1,2024-04-20
CUST-00157,Professional,Active,2024-04-29,8,300,86.0,13,2024-07-18
CUST-00158,Professional,Active,2024-08-14,4,296,26.0,12,2024-12-28
CUST-00159,Enterprise,Churned,2023-11-06,14,994,17.0,14,2024-10-19
CUST-00160,Enterprise,Active,2023-07-20,17,1002,57.0,13,2023-10-03
CUST-00161,Enterprise,Active,2024-12-01,1,998,98.0,2,2024-12-03
CUST-00162,Starter,Active,2023-08-11,16,29,54.0,4,2024-12-20
CUST-00163,Enterprise,Active,2023-07-16,17,994,29.0,10,2023-10-15
CUST-00164,Professional,Active,2023-02-06,23,300,61.0,9,2024-07-31
CUST-00165,Growth,Churned,2024-09-27,3,98,,10,2024-11-09
CUST-00166,Starter,Active,2022-01-27,35,28,48.0,13,2023-12-12
CUST-00167,Enterprise,Active,2023-06-13,18,997,11.0,10,2024-12-09
CUST-00168,Starter,Trial,2022-06-02,31,27,56.0,12,2024-01-25
CUST-00169,Growth,Active,2023-02-20,22,95,62.0,8,2023-12-13
CUST-00170,Growth,Active,2024-09-05,3,96,50.0,8,2024-12-31
CUST-00171,Starter,Active,2023-06-01,19,24,77.0,7,2024-04-02
CUST-00172,Growth,Active,2023-12-01,13,103,11.0,2,2024-11-03
CUST-00173,Growth,Active,2024-04-16,8,99,83.0,5,2024-12-27
CUST-00174,Professional,Active,2023-06-21,18,294,55.0,5,2024-09-10
CUST-00175,Professional,Active,2023-12-31,12,300,64.0,4,2024-04-02
CUST-00176,Enterprise,Churned,2022-09-04,28,1001,,14,2024-10-16
CUST-00177,Growth,Trial,2024-09-14,3,102,86.0,7,2024-12-19
CUST-00178,Enterprise,Active,2022-01-23,35,1000,53.0,6,2023-10-16
CUST-00179,Starter,Active,2024-12-09,0,24,37.0,3,2024-12-16
CUST-00180,Starter,Active,2022-07-17,29,28,23.0,9,2024-06-29
CUST-00181,Enterprise,Active,2024-06-14,6,998,15.0,1,2024-08-10
CUST-00182,Starter,Active,2022-11-03,26,28,,7,2024-05-02
CUST-00183,Growth,Active,2023-04-02,21,95,18.0,14,2023-06-23
CUST-00184,Starter,Churned,2022-04-12,33,24,35.0,9,2024-02-03
CUST-00185,Enterprise,Churned,2022-10-31,26,1003,12.0,6,2024-06-22
CUST-00186,Professional,Trial,2022-10-15,26,294,97.0,6,2024-07-29
CUST-00187,Professional,Active,2022-01-27,35,296,23.0,10,2023-01-26
CUST-00188,Starter,Active,2022-03-28,33,24,68.0,12,2022-05-30
CUST-00189,Starter,Active,2023-05-17,19,26,75.0,8,2023-09-26
CUST-00190,Professional,Trial,2022-05-31,31,301,39.0,8,2024-08-28
CUST-00191,Starter,Active,2022-04-11,33,32,1.0,10,2024-03-20
CUST-00192,Professional,Active,2022-12-13,24,303,23.0,8,2024-04-01
CUST-00193,Starter,Active,2022-07-31,29,29,12.0,11,2024-10-13
CUST-00194,Professional,Active,2022-12-17,24,299,15.0,2,2023-12-24
CUST-00195,Starter,Churned,2023-05-11,20,24,13.0,5,2023-06-11
CUST-00196,Growth,Active,2023-11-20,13,94,75.0,13,2024-08-08
CUST-00197,Professional,Active,2022-02-18,34,298,3.0,9,2023-02-20
CUST-00198,Professional,Active,2024-06-10,6,302,81.0,10,2024-06-18
CUST-00199,Professional,Active,2022-03-10,34,296,19.0,0,2023-07-24
CUST-00200,Enterprise,Churned,2023-06-02,19,994,9.0,14,2023-07-14
CUST-00201,Enterprise,Churned,2022-04-11,33,994,15.0,12,2024-07-08
CUST-00202,Starter,Active,2023-10-30,14,26,99.0,9,2024-01-01
CUST-00203,Growth,Trial,2024-05-14,7,101,85.0,3,2024-07-21
CUST-00204,Enterprise,Trial,2023-07-12,17,1000,99.0,2,2024-05-18
CUST-00205,Growth,Active,2024-02-26,10,97,95.0,12,2024-04-25
CUST-00206,Starter,Active,2022-11-01,26,25,18.0,9,2023-11-08
CUST-00207,Professional,Active,2022-11-18,25,300,31.0,2,2024-05-16
CUST-00208,Enterprise,Churned,2022-08-11,29,998,34.0,11,2023-05-13
CUST-00209,Starter,Active,2023-03-03,22,24,80.0,8,2024-01-02
CUST-00210,Starter,Active,2022-07-26,29,27,89.0,4,2024-04-13
CUST-00211,Growth,Active,2022-12-25,24,98,48.0,2,2024-03-02
CUST-00212,Professional,Active,2022-08-14,29,298,96.0,10,2023-09-14
CUST-00213,Enterprise,Active,2022-03-20,33,995,,6,2022-04-30
CUST-00214,Enterprise,Active,2023-12-29,12,1001,79.0,3,2024-02-06
CUST-00215,Growth,Churned,2022-08-01,29,99,19.0,4,2024-02-02
CUST-00216,Starter,Active,2023-05-04,20,29,27.0,2,2024-12-18
CUST-00217,Enterprise,Active,2024-09-29,3,1002,97.0,13,2024-10-14
CUST-00218,Enterprise,Active,2023-02-08,23,996,40.0,3,2023-10-29
CUST-00219,Growth,Active,2024-09-06,3,98,20.0,1,2024-10-23
CUST-00220,Growth,Active,2022-03-07,34,100,98.0,6,2023-04-22
CUST-00221,Professional,Active,2024-05-02,8,303,92.0,6,2024-10-27
CUST-00222,Starter,Active,2023-07-15,17,29,41.0,1,2024-12-11
CUST-00223,Enterprise,Active,2024-04-12,8,1001,53.0,5,2024-08-12
CUST-00224,Professional,Trial,2023-02-05,23,302,30.0,6,2023-12-20
CUST-00225,Enterprise,Active,2023-01-12,23,998,61.0,7,2024-12-01
CUST-00226,Starter,Active,2022-12-13,24,32,36.0,12,2023-10-04
CUST-00227,Starter,Active,2023-11-06,14,30,97.0,9,2024-03-12
CUST-00228,Growth,Churned,2023-07-26,17,94,2.0,3,2023-08-28
CUST-00229,Growth,Trial,2023-06-11,18,102,15.0,6,2023-11-04
CUST-00230,Growth,Active,2022-03-02,34,100,59.0,5,2023-05-06
CUST-00231,Growth,Active,2023-10-30,14,97,16.0,8,2024-05-25
CUST-00232,Professional,Active,2022-09-12,28,299,65.0,5,2023-10-10
CUST-00233,Growth,Active,2022-12-05,25,103,3.0,0,2024-03-11
CUST-00234,Starter,Active,2024-03-05,10,24,66.0,5,2024-12-02
CUST-00235,Starter,Active,2022-01-22,35,32,12.0,11,2024-08-30
CUST-00236,Growth,Active,2023-01-04,24,95,8.0,0,2023-09-24
CUST-00237,Growth,Active,2022-04-08,33,97,44.0,0,2024-09-27
CUST-00238,Enterprise,Active,2024-05-09,7,999,62.0,8,2024-09-11
CUST-00239,Enterprise,Active,2022-12-30,24,1001,86.0,2,2024-10-24
CUST-00240,Growth,Active,2023-01-10,24,95,40.0,10,2024-10-26
CUST-00241,Professional,Active,2022-12-10,25,295,18.0,8,2024-02-07
CUST-00242,Growth,Active,2022-07-09,30,99,34.0,11,2024-12-19
CUST-00243,Enterprise,Churned,2023-08-01,17,998,26.0,9,2024-03-22
CUST-00244,Starter,Active,2022-05-30,31,30,21.0,12,2024-09-02
CUST-00245,Starter,Churned,2024-04-13,8,33,11.0,3,2024-09-24
CUST-00246,Starter,Churned,2024-08-20,4,28,16.0,4,2024-11-05
CUST-00247,Professional,Churned,2022-03-24,33,294,22.0,8,2023-12-13
CUST-00248,Enterprise,Active,2022-06-22,30,994,98.0,14,2024-12-18
CUST-00249,Enterprise,Active,2022-12-26,24,994,4.0,0,2024-03-29
CUST-00250,Growth,Active,2023-12-06,13,101,36.0,3,2024-09-30
CUST-00251,Growth,Trial,2023-08-11,16,96,56.0,7,2024-12-27
CUST-00252,Growth,Trial,2024-04-21,8,96,14.0,11,2024-05-05
CUST-00253,Growth,Active,2022-07-13,30,100,95.0,1,2024-07-25
CUST-00254,Growth,Active,2024-01-16,11,97,96.0,2,2024-12-15
CUST-00255,Enterprise,Churned,2023-12-29,12,994,13.0,10,2024-10-05
CUST-00256,Starter,Active,2022-06-03,31,26,75.0,8,2023-08-08
CUST-00257,Enterprise,Active,2024-06-19,6,998,63.0,4,2024-08-10
CUST-00258,Professional,Trial,2022-10-27,26,296,76.0,3,2023-06-13
CUST-00259,Starter,Churned,2024-08-19,4,26,12.0,14,2024-12-23
CUST-00260,Professional,Trial,2022-04-14,33,295,20.0,6,2022-08-06
CUST-00261,Enterprise,Churned,2024-10-26,2,997,4.0,8,2024-12-26
CUST-00262,Growth,Active,2024-07-04,6,94,71.0,14,2024-09-21
CUST-00263,Professional,Active,2023-03-28,21,302,67.0,13,2024-04-28
CUST-00264,Enterprise,Active,2022-12-27,24,1002,77.0,12,2024-07-24
CUST-00265,Enterprise,Active,2023-08-01,17,1002,85.0,13,2024-11-20
CUST-00266,Enterprise,Churned,2022-06-29,30,1002,3.0,13,2024-01-28
CUST-00267,Growth,Churned,2022-06-20,30,100,22.0,1,2024-05-12
CUST-00268,Growth,Active,2024-10-31,2,102,58.0,3,2024-12-30
CUST-00269,Professional,Active,2022-01-22,35,301,19.0,4,2022-08-13
CUST-00270,Growth,Churned,2022-01-23,35,94,20.0,2,2022-11-19
CUST-00271,Professional,Active,2023-07-05,18,303,80.0,11,2024-04-26
CUST-00272,Starter,Active,2022-09-02,28,33,66.0,0,2023-05-21
CUST-00273,Enterprise,Churned,2022-11-02,26,1001,9.0,6,2024-12-01
CUST-00274,Enterprise,Trial,2022-04-24,32,1003,57.0,1,2023-05-15
CUST-00275,Professional,Churned,2022-11-01,26,303,16.0,4,2023-05-24
CUST-00276,Enterprise,Active,2022-07-13,30,1002,88.0,14,2024-12-13
CUST-00277,Growth,Active,2024-11-25,1,94,73.0,5,2024-12-06
CUST-00278,Enterprise,Churned,2022-06-25,30,999,24.0,2,2024-06-03
CUST-00279,Growth,Active,2023-08-10,16,94,12.0,9,2023-09-20
CUST-00280,Starter,Active,2024-04-22,8,29,31.0,7,2024-09-04
CUST-00281,Enterprise,Active,2024-12-11,0,997,36.0,9,2024-12-30
CUST-00282,Starter,Active,2023-12-14,12,26,22.0,0,2024-12-08
CUST-00283,Starter,Active,2022-04-15,33,28,38.0,13,2024-07-29
CUST-00284,Professional,Active,2022-03-22,33,299,46.0,2,2024-12-10
CUST-00285,Growth,Churned,2024-09-30,3,98,5.0,2,2024-11-26
CUST-00286,Growth,Active,2024-06-11,6,95,,13,2024-08-13
CUST-00287,Professional,Active,2023-04-17,20,301,8.0,11,2023-05-19
CUST-00288,Starter,Churned,2024-10-06,2,31,13.0,5,2024-10-11
CUST-00289,Growth,Churned,2023-08-02,17,99,20.0,5,2023-11-18
CUST-00290,Enterprise,Active,2023-07-12,17,999,74.0,4,2024-04-03
CUST-00291,Growth,Active,2023-11-01,14,103,70.0,14,2024-08-08
CUST-00292,Professional,Active,2024-06-01,7,303,28.0,11,2024-09-21
CUST-00293,Starter,Churned,2023-07-18,17,28,4.0,7,2024-06-02
CUST-00294,Starter,Active,2024-09-26,3,31,13.0,2,2024-10-21
CUST-00295,Enterprise,Active,2022-09-16,27,998,91.0,6,2023-08-17
CUST-00296,Enterprise,Churned,2022-06-22,30,1003,23.0,6,2022-09-30
CUST-00297,Starter,Churned,2024-08-19,4,24,21.0,13,2024-11-01
CUST-00298,Professional,Churned,2023-05-01,20,303,12.0,14,2023-08-18
CUST-00299,Growth,Active,2024-04-30,8,97,74.0,5,2024-11-19
CUST-00300,Enterprise,Active,2024-07-25,5,1002,93.0,9,2024-11-30
CUST-00301,Starter,Active,2024-01-03,12,30,35.0,12,2024-11-19
CUST-00302,Professional,Active,2022-06-12,31,301,51.0,10,2023-12-10
CUST-00303,Starter,Churned,2024-05-11,7,32,20.0,9,2024-07-24
CUST-00304,Starter,Active,2024-07-22,5,26,16.0,13,2024-12-25
CUST-00305,Professional,Active,2024-01-09,11,295,92.0,1,2024-11-28
CUST-00306,Enterprise,Active,2022-05-23,31,994,4.0,6,2024-09-21
CUST-00307,Growth,Active,2023-04-06,21,97,98.0,13,2024-03-08
CUST-00308,Growth,Active,2022-10-21,26,99,30.0,14,2024-05-28
CUST-00309,Growth,Trial,2024-04-16,8,101,98.0,12,2024-06-04
CUST-00310,Professional,Churned,2022-12-15,24,295,6.0,2,2023-11-20
CUST-00311,Professional,Active,2024-12-11,0,296,40.0,13,2024-12-25
CUST-00312,Growth,Active,2023-01-30,23,96,38.0,0,2024-04-15
CUST-00313,Growth,Trial,2024-06-20,6,96,27.0,4,2024-10-06
CUST-00314,Enterprise,Active,2024-07-04,6,1003,78.0,11,2024-11-28
CUST-00315,Starter,Trial,2023-11-23,13,27,,4,2024-04-02
CUST-00316,Starter,Trial,2023-01-20,23,24,62.0,9,2023-05-19
CUST-00317,Enterprise,Active,2023-08-02,17,1003,81.0,13,2024-10-14
CUST-00318,Growth,Active,2024-12-19,0,96,29.0,2,2024-12-22
CUST-00319,Enterprise,Active,2024-04-18,8,998,97.0,0,2024-04-19
CUST-00320,Professional,Active,2023-03-26,21,300,5.0,1,2023-06-02
CUST-00321,Professional,Active,2022-07-12,30,302,41.0,8,2022-12-03
CUST-00322,Starter,Active,2023-09-03,16,27,84.0,10,2024-03-27
CUST-00323,Growth,Active,2023-01-06,24,102,12.0,0,2023-09-25
CUST-00324,Enterprise,Churned,2024-03-02,10,1001,17.0,6,2024-06-07
CUST-00325,Growth,Active,2024-03-09,9,99,43.0,14,2024-03-19
CUST-00326,Growth,Trial,2022-01-07,36,101,53.0,12,2024-12-02
CUST-00327,Starter,Active,2024-03-17,9,31,70.0,13,2024-08-28
CUST-00328,Starter,Active,2023-03-07,22,32,67.0,3,2023-09-23
CUST-00329,Growth,Active,2023-06-29,18,100,31.0,1,2024-03-26
CUST-00330,Enterprise,Active,2022-03-22,33,999,35.0,0,2022-07-22
CUST-00331,Professional,Trial,2023-01-17,23,298,67.0,5,2023-04-20
CUST-00332,Starter,Active,2024-06-21,6,28,35.0,1,2024-11-24
CUST-00333,Starter,Trial,2022-05-18,31,26,14.0,9,2023-02-18
CUST-00334,Growth,Churned,2024-10-07,2,97,9.0,5,2024-11-07
CUST-00335,Professional,Active,2022-01-27,35,299,65.0,9,2022-02-18
CUST-00336,Starter,Trial,2022-11-16,25,27,11.0,14,2024-01-29
CUST-00337,Growth,Trial,2022-04-10,33,96,36.0,1,2022-05-06
CUST-00338,Starter,Active,2022-12-03,25,33,57.0,5,2024-07-29
CUST-00339,Starter,Active,2022-10-20,26,24,68.0,10,2024-05-06
CUST-00340,Growth,Active,2024-01-04,12,98,18.0,6,2024-06-20
CUST-00341,Starter,Active,2024-03-19,9,27,40.0,6,2024-05-04
CUST-00342,Enterprise,Churned,2024-01-24,11,996,37.0,7,2024-12-02
CUST-00343,Professional,Active,2024-05-02,8,303,36.0,6,2024-05-20
CUST-00344,Growth,Active,2022-08-03,29,102,43.0,11,2023-10-22
CUST-00345,Growth,Active,2022-06-17,30,95,37.0,0,2023-07-10
CUST-00346,Growth,Active,2023-05-07,20,99,93.0,6,2023-05-24
CUST-00347,Starter,Active,2022-05-23,31,29,22.0,14,2024-09-04
CUST-00348,Growth,Active,2024-06-14,6,101,25.0,3,2024-07-16
CUST-00349,Professional,Active,2023-07-20,17,296,71.0,7,2024-05-09
CUST-00350,Growth,Active,2023-11-10,13,96,70.0,12,2024-01-24
CUST-00351,Starter,Active,2022-01-11,36,30,29.0,6,2023-01-07
CUST-00352,Enterprise,Churned,2022-02-07,35,995,24.0,9,2023-05-09
CUST-00353,Growth,Churned,2024-07-22,5,99,38.0,8,2024-10-27
CUST-00354,Professional,Active,2024-08-11,4,299,70.0,5,2024-09-23
CUST-00355,Growth,Active,2024-02-03,11,101,82.0,1,2024-03-27
CUST-00356,Enterprise,Active,2022-02-08,35,1003,31.0,4,2022-06-20
CUST-00357,Professional,Trial,2023-02-21,22,302,64.0,0,2023-05-10
CUST-00358,Growth,Churned,2022-11-06,26,94,,14,2023-03-25
