order_id,customer_id,order_date,product,category,region,quantity,price,discount_pct,revenue,profit,customer_age,payment_method,shipping_status
ORD-000016,CUST-00953,2023-05-09 17:00:00,Headphones Z,Accessories,Central,1,1254,15,1065.9,331.5,62.0,Credit Card,Delivered
ORD-000017,CUST-02070,2023-09-08 13:00:00,Watch S,Wearables,Central,4,185,15,629.0,117.0,51.0,Net Banking,Processing
ORD-000018,CUST-02466,2024-11-21 18:00:00,Phone X,Electronics,South,4,250,10,900.0,276.0,36.0,UPI,Shipped
ORD-000019,CUST-00109,2024-11-12 04:00:00,Watch S,Wearables,South,4,517,0,2068.0,899.2,63.0,UPI,Shipped
ORD-000020,CUST-02299,2024-09-12 08:00:00,Watch S,Wearables,North,3,1338,0,4014.0,1665.6,31.0,Net Banking,Processing
ORD-000021,CUST-00815,2023-10-21 10:00:00,Headphones Z,Accessories,West,2,1289,0,2578.0,1033.2,49.0,Credit Card,Shipped
ORD-000022,CUST-02233,2023-11-18 03:00:00,Mouse M,Accessories,South,1,499,10,449.1,163.7,26.0,UPI,Delivered
ORD-000023,CUST-01719,2023-03-25 13:00:00,Laptop Pro,Electronics,North,2,995,0,1990.0,836.0,53.0,PayPal,Shipped
ORD-000024,CUST-00903,2024-03-07 16:00:00,Keyboard K,Accessories,Central,4,161,0,644.0,301.6,66.0,Net Banking,Returned
ORD-000025,CUST-01840,2023-06-01 18:00:00,Keyboard K,Accessories,West,4,324,5,1231.2,489.6,43.0,Credit Card,Shipped
ORD-000026,CUST-02414,2024-05-21 20:00:00,Speaker B,Accessories,East,2,517,0,1034.0,447.6,37.0,UPI,Delivered
ORD-000027,CUST-01140,2023-07-22 05:00:00,Keyboard K,Accessories,North,2,314,0,628.0,279.2,46.0,Credit Card,Processing
ORD-000028,CUST-00027,2024-04-09 00:00:00,Watch S,Wearables,West,2,807,0,1614.0,667.6,33.0,UPI,Returned
ORD-000029,CUST-00654,2023-06-20 03:00:00,Mouse M,Accessories,West,4,1316,25,3948.0,785.6,,Net Banking,Delivered
ORD-000030,CUST-01732,2024-03-04 08:00:00,Speaker B,Accessories,North,4,1307,0,5228.0,2075.2,41.0,Net Banking,Processing
ORD-000031,CUST-01394,2024-07-21 22:00:00,Speaker B,Accessories,South,1,539,20,431.2,99.8,47.0,UPI,Processing
ORD-000032,CUST-01139,2024-04-26 23:00:00,Keyboard K,Accessories,North,1,458,0,458.0,165.2,25.0,Credit Card,Delivered
ORD-000033,CUST-00637,2023-04-14 04:00:00,Speaker B,Accessories,South,4,761,20,2435.2,632.8,43.0,Net Banking,Delivered
ORD-000034,CUST-00882,2023-02-04 13:00:00,Mouse M,Accessories,South,2,950,5,1805.0,669.0,32.0,UPI,Processing
ORD-000035,CUST-01379,2023-01-25 22:00:00,Watch S,Wearables,West,2,538,15,914.6,233.0,67.0,Credit Card,Processing
ORD-000036,CUST-00419,2023-06-20 02:00:00,Speaker B,Accessories,East,1,1263,20,1010.4,255.6,27.0,Net Banking,Shipped
ORD-000037,CUST-00380,2023-05-16 16:00:00,Phone X,Electronics,North,4,294,5,1117.2,483.6,53.0,Credit Card,Delivered
ORD-000038,CUST-01557,2024-06-26 12:00:00,Headphones Z,Accessories,West,1,205,20,164.0,56.0,,Net Banking,Delivered
ORD-000039,CUST-00397,2024-03-08 11:00:00,Watch S,Wearables,Central,1,1458,5,1385.1,509.3,41.0,Credit Card,Delivered
ORD-000040,CUST-01471,2023-05-11 12:00:00,Headphones Z,Accessories,South,3,270,10,729.0,213.0,66.0,Credit Card,Delivered
ORD-000041,CUST-01409,2024-12-14 17:00:00,Keyboard K,Accessories,West,3,1037,5,2955.45,1088.85,25.0,PayPal,Returned
ORD-000042,CUST-02473,2023-09-05 22:00:00,Tablet A,Electronics,Central,3,227,20,544.8,175.2,18.0,UPI,Returned
ORD-000043,CUST-01084,2023-10-28 03:00:00,Watch S,Wearables,South,2,325,15,552.5,202.5,,Net Banking,Delivered
ORD-000044,CUST-00178,2023-12-11 10:00:00,Mouse M,Accessories,East,4,256,0,1024.0,481.6,64.0,Credit Card,Processing
ORD-000045,CUST-01882,2024-08-28 19:00:00,Headphones Z,Accessories,Central,4,769,5,2922.2,1044.6,40.0,Net Banking,Delivered
ORD-000046,CUST-02197,2024-09-23 03:00:00,Speaker B,Accessories,Central,4,1533,20,4905.6,1286.4,55.0,Credit Card,Shipped
ORD-000047,CUST-00512,2023-02-16 02:00:00,Phone X,Electronics,North,4,970,15,3298.0,922.0,27.0,PayPal,Delivered
ORD-000048,CUST-01551,2023-12-30 14:00:00,Mouse M,Accessories,West,3,1345,25,3026.25,614.25,50.0,PayPal,Delivered
ORD-000049,CUST-00323,2024-02-23 20:00:00,Speaker B,Accessories,West,2,793,0,1586.0,674.4,48.0,PayPal,Returned
ORD-000050,CUST-02262,2024-04-05 23:00:00,Headphones Z,Accessories,West,2,239,0,478.0,189.2,55.0,UPI,Processing
ORD-000051,CUST-01201,2024-03-22 09:00:00,Headphones Z,Accessories,East,3,1488,5,4240.8,1532.4,30.0,Net Banking,Shipped
ORD-000052,CUST-01482,2024-05-03 22:00:00,Keyboard K,Accessories,North,2,1270,0,2540.0,1012.0,52.0,Credit Card,Processing
ORD-000053,CUST-02365,2023-05-18 23:00:00,Tablet A,Electronics,South,3,778,0,2334.0,972.6,61.0,UPI,Shipped
ORD-000054,CUST-00788,2023-07-07 23:00:00,Speaker B,Accessories,South,4,1510,5,5738.0,2082.0,64.0,Net Banking,Processing
ORD-000055,CUST-00285,2024-08-26 16:00:00,Phone X,Electronics,South,3,1021,0,3063.0,1231.2,,Credit Card,Processing
ORD-000056,CUST-00188,2023-03-27 04:00:00,Phone X,Electronics,Central,4,493,0,1972.0,808.8,39.0,Net Banking,Shipped
ORD-000057,CUST-00934,2023-01-08 18:00:00,Keyboard K,Accessories,North,4,483,0,1932.0,780.8,24.0,Net Banking,Shipped
ORD-000058,CUST-01186,2024-08-30 11:00:00,Keyboard K,Accessories,Central,1,230,10,207.0,53.0,23.0,UPI,Returned
ORD-000059,CUST-00327,2024-11-21 20:00:00,Mouse M,Accessories,South,3,490,0,1470.0,585.0,58.0,Net Banking,Processing
ORD-000060,CUST-00954,2024-04-09 12:00:00,Tablet A,Electronics,South,1,753,0,753.0,303.2,33.0,UPI,Shipped
ORD-000061,CUST-00414,2023-11-25 14:00:00,Watch S,Wearables,East,3,175,5,498.75,234.75,29.0,Credit Card,Returned
ORD-000062,CUST-01557,2023-06-30 16:00:00,Phone X,Electronics,South,3,1318,0,3954.0,1629.6,26.0,Credit Card,Processing
ORD-000063,CUST-01139,2024-08-25 08:00:00,Watch S,Wearables,Central,1,1010,20,808.0,218.0,57.0,Credit Card,Processing
ORD-000064,CUST-01858,2023-04-10 07:00:00,Watch S,Wearables,South,1,180,0,180.0,68.0,22.0,PayPal,Processing
ORD-000065,CUST-01495,2023-11-01 15:00:00,Keyboard K,Accessories,West,3,1256,20,3014.4,744.6,20.0,Credit Card,Delivered
ORD-000066,CUST-00667,2023-12-16 01:00:00,Keyboard K,Accessories,West,2,233,5,442.7,203.1,53.0,Net Banking,Shipped
ORD-000067,CUST-01517,2024-07-31 16:00:00,Keyboard K,Accessories,North,4,266,20,851.2,184.8,60.0,Net Banking,Shipped
ORD-000068,CUST-01456,2024-06-21 18:00:00,Watch S,Wearables,South,1,326,0,326.0,130.4,27.0,Net Banking,Returned
ORD-000069,CUST-00859,2024-06-04 13:00:00,Keyboard K,Accessories,West,4,163,0,652.0,268.8,25.0,UPI,Processing
ORD-000070,CUST-01094,2023-10-20 10:00:00,Mouse M,Accessories,Central,2,1474,15,2505.8,733.0,26.0,Net Banking,Shipped
ORD-000071,CUST-00293,2024-01-29 10:00:00,Tablet A,Electronics,South,2,501,0,1002.0,414.8,,Credit Card,Processing
ORD-000072,CUST-02496,2023-07-02 04:00:00,Keyboard K,Accessories,West,2,292,10,525.6,205.2,36.0,UPI,Delivered
ORD-000073,CUST-00701,2023-02-12 23:00:00,Phone X,Electronics,Central,1,1480,0,1480.0,581.0,40.0,Net Banking,Processing
ORD-000074,CUST-02188,2023-08-04 13:00:00,Laptop Pro,Electronics,East,2,1476,10,2656.8,863.6,60.0,Credit Card,Processing
ORD-000075,CUST-01003,2024-06-15 08:00:00,Tablet A,Electronics,Central,1,987,20,789.6,210.4,41.0,Credit Card,Returned
ORD-000076,CUST-00670,2024-08-11 19:00:00,Phone X,Electronics,Central,2,1280,25,1920.0,352.0,20.0,Net Banking,Delivered
ORD-000077,CUST-01894,2023-11-18 03:00:00,Keyboard K,Accessories,Central,4,825,0,3300.0,1316.0,50.0,UPI,Processing
ORD-000078,CUST-01555,2023-12-22 09:00:00,Headphones Z,Accessories,East,4,327,0,1308.0,575.2,40.0,Net Banking,Returned
ORD-000079,CUST-01106,2023-06-19 03:00:00,Keyboard K,Accessories,South,3,166,25,373.5,23.7,31.0,Credit Card,Processing
ORD-000080,CUST-02282,2023-10-22 08:00:00,Keyboard K,Accessories,South,4,518,20,1657.6,458.4,36.0,PayPal,Processing
ORD-000081,CUST-00900,2024-05-13 14:00:00,Mouse M,Accessories,East,3,759,0,2277.0,964.8,,UPI,Processing
ORD-000082,CUST-01329,2023-08-18 05:00:00,Laptop Pro,Electronics,South,4,1280,5,4864.0,1824.0,40.0,Net Banking,Returned
ORD-000083,CUST-00230,2023-10-23 08:00:00,Mouse M,Accessories,Central,1,1468,0,1468.0,569.2,44.0,Net Banking,Shipped
ORD-000084,CUST-00939,2024-09-12 03:00:00,Mouse M,Accessories,West,4,1345,25,4035.0,771.0,29.0,PayPal,Shipped
ORD-000085,CUST-00132,2023-08-26 21:00:00,Keyboard K,Accessories,East,3,288,0,864.0,396.6,63.0,UPI,Delivered
ORD-000086,CUST-01293,2023-10-13 04:00:00,Watch S,Wearables,East,3,1256,5,3579.6,1363.8,64.0,Net Banking,Delivered
ORD-000087,CUST-01644,2023-04-09 06:00:00,Headphones Z,Accessories,East,2,1283,10,2309.4,779.8,24.0,UPI,Returned
ORD-000088,CUST-01097,2024-07-19 16:00:00,Laptop Pro,Electronics,Central,1,517,20,413.6,102.4,53.0,Credit Card,Delivered
ORD-000089,CUST-00272,2023-06-22 00:00:00,Speaker B,Accessories,East,4,1547,15,5259.8,1523.0,63.0,PayPal,Shipped
ORD-000090,CUST-00865,2024-09-04 01:00:00,Laptop Pro,Electronics,South,2,526,0,1052.0,420.8,35.0,UPI,Returned
ORD-000091,CUST-02324,2024-07-06 17:00:00,Speaker B,Accessories,West,4,469,5,1782.2,624.6,33.0,Credit Card,Shipped
ORD-000092,CUST-01289,2023-07-19 00:00:00,Keyboard K,Accessories,Central,4,172,25,516.0,183.2,31.0,Net Banking,Processing
ORD-000093,CUST-00871,2024-05-15 00:00:00,Watch S,Wearables,West,2,1265,10,2277.0,741.0,38.0,PayPal,Shipped
ORD-000094,CUST-02045,2024-01-14 06:00:00,Mouse M,Accessories,Central,2,1266,10,2278.8,753.6,60.0,Credit Card,Returned
ORD-000095,CUST-01621,2023-10-16 18:00:00,Headphones Z,Accessories,North,2,1346,15,2288.2,689.0,,PayPal,Shipped
ORD-000096,CUST-01880,2024-03-12 23:00:00,Headphones Z,Accessories,north,2,960,0,1920.0,750.0,42.0,Net Banking,Delivered
ORD-000097,CUST-00586,2024-03-31 16:00:00,Phone X,Electronics,North,2,464,10,835.2,268.4,55.0,Credit Card,Delivered
ORD-000098,CUST-01085,2023-05-10 14:00:00,Mouse M,Accessories,East,4,752,0,3008.0,1151.2,,UPI,Processing
ORD-000099,CUST-00572,2023-10-30 03:00:00,Tablet A,Electronics,South,2,337,5,640.3,237.9,27.0,PayPal,Delivered
ORD-000100,CUST-01011,2024-12-24 03:00:00,Watch S,Wearables,South,1,1482,20,1185.6,311.4,,PayPal,Returned
ORD-000101,CUST-02300,2024-03-31 13:00:00,Mouse M,Accessories,North,3,840,0,2520.0,1044.0,61.0,UPI,Delivered
ORD-000102,CUST-02208,2024-05-20 08:00:00,Speaker B,Accessories,West,2,1494,5,2838.6,1013.8,26.0,Net Banking,Returned
ORD-000103,CUST-01077,2023-03-30 04:00:00,Phone X,Electronics,East,2,223,0,446.0,146.4,45.0,UPI,Shipped
ORD-000104,CUST-02395,2023-10-13 23:00:00,Mouse M,Accessories,North,4,225,0,900.0,380.0,66.0,Net Banking,Shipped
ORD-000105,CUST-01755,2024-11-15 03:00:00,Speaker B,Accessories,Central,2,1479,15,2514.3,773.5,35.0,Net Banking,Shipped
ORD-000106,CUST-02391,2023-12-29 02:00:00,Phone X,Electronics,Central,2,1273,10,2291.4,741.8,28.0,UPI,Delivered
ORD-000107,CUST-01636,2023-08-16 23:00:00,Speaker B,Accessories,North,2,822,0,1644.0,659.6,55.0,Credit Card,Returned
ORD-000108,CUST-01483,2023-03-18 10:00:00,Tablet A,Electronics,East,4,1272,5,4833.6,1748.8,68.0,PayPal,Delivered
ORD-000109,CUST-00899,2023-06-10 16:00:00,Phone X,Electronics,Central,2,1013,5,1924.7,689.1,19.0,Net Banking,Delivered
ORD-000110,CUST-00567,2023-12-10 08:00:00,Headphones Z,Accessories,West,3,173,0,519.0,219.6,39.0,Credit Card,Processing
ORD-000111,CUST-02088,2024-04-09 20:00:00,Phone X,Electronics,West,4,176,15,598.4,160.0,40.0,UPI,Returned
ORD-000112,CUST-02022,2024-06-09 21:00:00,Watch S,Wearables,North,3,784,0,2352.0,955.8,37.0,Credit Card,Returned
ORD-000113,CUST-00373,2023-03-17 22:00:00,Phone X,Electronics,East,4,230,15,782.0,234.0,62.0,UPI,Processing
ORD-000114,CUST-00193,2024-12-05 10:00:00,Tablet A,Electronics,East,2,954,0,1908.0,785.2,46.0,UPI,Shipped
ORD-000115,CUST-00450,2023-02-09 13:00:00,Headphones Z,Accessories,East,3,1014,0,3042.0,1210.8,43.0,Net Banking,Delivered
ORD-000116,CUST-00627,2023-04-13 22:00:00,Keyboard K,Accessories,Central,4,1015,0,4060.0,1576.0,58.0,PayPal,Delivered
ORD-000117,CUST-00656,2024-06-17 10:00:00,Laptop Pro,Electronics,North,1,320,0,320.0,136.0,29.0,UPI,Processing
ORD-000118,CUST-01730,2023-07-14 17:00:00,Mouse M,Accessories,West,2,1043,20,1668.8,409.2,65.0,Credit Card,Returned
ORD-000119,CUST-02443,2024-11-07 20:00:00,Mouse M,Accessories,South,4,996,0,3984.0,1529.6,46.0,Credit Card,Delivered
ORD-000120,CUST-00261,2023-02-06 20:00:00,Speaker B,Accessories,West,1,331,0,331.0,117.4,,PayPal,Processing
ORD-000121,CUST-01577,2024-10-04 00:00:00,Phone X,Electronics,Central,4,1318,20,4217.6,1042.4,51.0,Net Banking,Processing
ORD-000122,CUST-01564,2023-09-09 04:00:00,Watch S,Wearables,West,1,526,10,473.4,172.8,65.0,PayPal,Returned
ORD-000123,CUST-02441,2024-08-23 12:00:00,Mouse M,Accessories,Central,2,215,0,430.0,184.0,44.0,Credit Card,Delivered
ORD-000124,CUST-01918,2023-08-14 21:00:00,Mouse M,Accessories,North,3,996,25,2241.0,409.2,47.0,Net Banking,Delivered
ORD-000125,CUST-02168,2023-07-20 08:00:00,Laptop Pro,Electronics,South,1,213,0,213.0,102.2,54.0,Credit Card,Processing
ORD-000126,CUST-01030,2024-04-26 04:00:00,Phone X,Electronics,East,4,792,15,2692.8,820.0,48.0,UPI,Shipped
ORD-000127,CUST-02267,2024-05-11 05:00:00,Keyboard K,Accessories,Central,2,242,0,484.0,227.6,,Credit Card,Delivered
ORD-000128,CUST-00048,2024-05-23 09:00:00,Laptop Pro,Electronics,North,1,1511,10,1359.9,446.3,42.0,Credit Card,Shipped
ORD-000129,CUST-00470,2023-05-15 06:00:00,Speaker B,Accessories,South,4,1294,5,4917.2,1779.6,66.0,PayPal,Returned
ORD-000130,CUST-02200,2024-10-12 02:00:00,Tablet A,Electronics,North,4,267,0,1068.0,439.2,23.0,Credit Card,Returned
ORD-000131,CUST-01093,2024-06-12 23:00:00,Mouse M,Accessories,East,4,212,10,763.2,258.4,24.0,PayPal,Returned
ORD-000132,CUST-01394,2023-08-08 00:00:00,Keyboard K,Accessories,West,1,231,10,207.9,58.3,,Credit Card,Delivered
ORD-000133,CUST-00457,2024-03-20 02:00:00,Laptop Pro,Electronics,South,1,221,15,187.85,68.25,52.0,UPI,Shipped
ORD-000134,CUST-01203,2024-05-17 17:00:00,Phone X,Electronics,West,1,519,20,415.2,111.8,42.0,UPI,Processing
ORD-000135,CUST-01781,2024-09-17 06:00:00,Speaker B,Accessories,South,3,498,5,1419.3,465.9,38.0,Credit Card,Processing
ORD-000136,CUST-00648,2024-12-28 05:00:00,Speaker B,Accessories,North,1,811,5,770.45,295.85,64.0,PayPal,Delivered
ORD-000137,CUST-01859,2023-02-09 13:00:00,Headphones Z,Accessories,West,1,289,10,260.1,67.7,65.0,Net Banking,Processing
ORD-000138,CUST-00014,2024-12-05 08:00:00,Headphones Z,Accessories,South,1,155,10,139.5,34.5,34.0,PayPal,Shipped
ORD-000139,CUST-01079,2024-09-20 12:00:00,Mouse M,Accessories,West,3,157,0,471.0,215.4,,Net Banking,Shipped
ORD-000140,CUST-02051,2024-10-08 18:00:00,Watch S,Wearables,West,1,152,5,144.4,37.2,43.0,PayPal,Shipped
ORD-000141,CUST-00732,2023-08-29 20:00:00,Phone X,Electronics,North,4,237,5,900.6,315.8,,Credit Card,Processing
ORD-000142,CUST-02080,2023-12-24 15:00:00,Headphones Z,Accessories,South,1,497,25,372.75,70.55,34.0,PayPal,Shipped
ORD-000143,CUST-00436,2024-06-27 21:00:00,Watch S,Wearables,South,4,1324,5,5031.2,1873.6,24.0,UPI,Delivered
ORD-000144,CUST-01223,2023-07-04 09:00:00,Mouse M,Accessories,South,4,1254,0,5016.0,2026.4,42.0,UPI,Delivered
ORD-000145,CUST-02080,2023-08-26 09:00:00,Speaker B,Accessories,East,4,830,5,3154.0,1090.0,51.0,Net Banking,Processing
ORD-000146,CUST-02495,2024-11-15 15:00:00,Speaker B,Accessories,Central,3,1469,15,3745.95,1059.75,43.0,Credit Card,Processing
ORD-000147,CUST-00815,2024-05-16 20:00:00,Headphones Z,Accessories,East,3,963,20,2311.2,571.8,23.0,Net Banking,Delivered
ORD-000148,CUST-00627,2024-02-06 19:00:00,Speaker B,Accessories,North,3,315,15,803.25,275.25,27.0,Credit Card,Delivered
ORD-000149,CUST-01532,2024-01-01 17:00:00,Keyboard K,Accessories,Central,1,1314,20,1051.2,280.8,,PayPal,Processing
ORD-000150,CUST-00662,2024-05-07 09:00:00,Keyboard K,Accessories,North,4,1504,0,6016.0,2394.4,31.0,UPI,Shipped
ORD-000151,CUST-02210,2023-04-09 07:00:00,Tablet A,Electronics,South,3,216,5,615.6,223.8,20.0,PayPal,Returned
ORD-000152,CUST-02173,2023-04-26 09:00:00,Speaker B,Accessories,Central,3,1280,15,3264.0,981.0,65.0,Credit Card,Returned
ORD-000153,CUST-00003,2024-03-05 14:00:00,Phone X,Electronics,East,1,814,0,814.0,324.6,33.0,PayPal,Returned
ORD-000154,CUST-02454,2023-11-30 07:00:00,Mouse M,Accessories,East,3,977,0,2931.0,1133.4,22.0,UPI,Returned
ORD-000155,CUST-01328,2024-11-09 13:00:00,Tablet A,Electronics,Central,1,1314,15,1116.9,313.5,65.0,PayPal,Processing
ORD-000156,CUST-02002,2023-04-29 05:00:00,Headphones Z,Accessories,Central,2,782,15,1329.4,371.0,40.0,PayPal,Shipped
ORD-000157,CUST-00080,2024-04-20 10:00:00,Laptop Pro,Electronics,Central,3,475,25,1068.75,213.75,44.0,PayPal,Returned
ORD-000158,CUST-00459,2024-11-07 03:00:00,Headphones Z,Accessories,West,2,1008,25,1512.0,334.4,22.0,PayPal,Shipped
ORD-000159,CUST-01487,2023-12-22 22:00:00,Headphones Z,Accessories,West,1,787,0,787.0,316.8,54.0,Credit Card,Shipped
ORD-000160,CUST-01260,2024-02-12 22:00:00,Keyboard K,Accessories,South,4,1492,20,4774.4,1193.6,55.0,Credit Card,Shipped
ORD-000161,CUST-00981,2023-05-12 15:00:00,Phone X,Electronics,West,3,1330,0,3990.0,1653.0,35.0,UPI,Delivered
ORD-000162,CUST-00238,2024-05-15 19:00:00,Phone X,Electronics,Central,1,484,10,435.6,163.2,29.0,PayPal,Shipped
ORD-000163,CUST-00987,2024-02-26 21:00:00,Tablet A,Electronics,South,4,1467,0,5868.0,2311.2,38.0,PayPal,Shipped
ORD-000164,CUST-02324,2023-08-29 00:00:00,Phone X,Electronics,Central,4,839,0,3356.0,1290.4,24.0,Credit Card,Processing
ORD-000165,CUST-00323,2023-10-25 08:00:00,Laptop Pro,Electronics,East,2,793,20,1268.8,309.2,,Credit Card,Returned
ORD-000166,CUST-00351,2024-06-03 06:00:00,Laptop Pro,Electronics,West,1,1532,0,1532.0,598.8,59.0,UPI,Shipped
ORD-000167,CUST-01991,2024-02-23 01:00:00,Headphones Z,Accessories,Central,4,1269,10,4568.4,1490.8,26.0,UPI,Delivered
ORD-000168,CUST-00284,2024-07-29 10:00:00,Phone X,Electronics,East,3,971,0,2913.0,1192.2,58.0,Net Banking,Shipped
ORD-000169,CUST-02182,2023-09-25 21:00:00,Watch S,Wearables,East,3,542,0,1626.0,644.4,41.0,Net Banking,Returned
ORD-000170,CUST-00516,2023-11-22 13:00:00,Laptop Pro,Electronics,North,2,237,0,474.0,175.6,28.0,Credit Card,Processing
ORD-000171,CUST-00526,2024-02-05 14:00:00,Laptop Pro,Electronics,Central,4,343,10,1234.8,427.6,42.0,UPI,Delivered
ORD-000172,CUST-01947,2024-03-11 12:00:00,Watch S,Wearables,South,1,975,0,975.0,395.0,63.0,PayPal,Processing
ORD-000173,CUST-02252,2023-09-24 01:00:00,Keyboard K,Accessories,East,3,546,0,1638.0,691.2,54.0,Credit Card,Delivered
ORD-000174,CUST-00677,2023-10-02 15:00:00,Speaker B,Accessories,West,4,1520,10,5472.0,1896.0,24.0,PayPal,Processing
ORD-000175,CUST-01086,2023-08-13 10:00:00,Speaker B,Accessories,East,4,767,0,3068.0,1223.2,34.0,Credit Card,Processing
ORD-000176,CUST-02162,2024-10-13 01:00:00,Speaker B,Accessories,North,2,1489,5,2829.1,1022.3,58.0,Net Banking,Delivered
ORD-000177,CUST-02485,2023-11-12 14:00:00,Keyboard K,Accessories,North,3,474,20,1137.6,305.4,36.0,Credit Card,Returned
ORD-000178,CUST-01734,2024-02-24 07:00:00,Keyboard K,Accessories,North,3,1476,0,4428.0,1825.2,,UPI,Shipped
ORD-000179,CUST-00868,2024-08-09 05:00:00,Tablet A,Electronics,West,1,1512,5,1436.4,512.2,62.0,PayPal,Returned
ORD-000180,CUST-02209,2024-07-02 06:00:00,Watch S,Wearables,South,3,316,10,853.2,278.4,,UPI,Returned
ORD-000181,CUST-00824,2024-10-02 03:00:00,Tablet A,Electronics,West,1,1343,15,1141.55,335.75,62.0,UPI,Shipped
ORD-000182,CUST-01277,2024-09-20 19:00:00,Headphones Z,Accessories,West,3,328,15,836.4,237.0,63.0,PayPal,Delivered
ORD-000183,CUST-01635,2023-12-04 04:00:00,Headphones Z,Accessories,North,2,199,25,298.5,37.7,25.0,PayPal,Returned
ORD-000184,CUST-01530,2024-09-11 17:00:00,Tablet A,Electronics,South,3,222,0,666.0,314.4,63.0,UPI,Delivered
ORD-000185,CUST-01795,2023-01-21 23:00:00,Phone X,Electronics,Central,1,296,25,222.0,32.4,62.0,UPI,Returned
ORD-000186,CUST-02120,2023-01-22 12:00:00,Tablet A,Electronics,West,1,958,25,718.5,145.7,44.0,Credit Card,Shipped
ORD-000187,CUST-01850,2023-04-03 22:00:00,Headphones Z,Accessories,South,2,1021,20,1633.6,382.4,40.0,PayPal,Processing
ORD-000188,CUST-00496,2023-12-08 11:00:00,Phone X,Electronics,East,3,1487,5,4237.95,1615.35,27.0,PayPal,Returned
ORD-000189,CUST-01016,2024-07-20 02:00:00,Tablet A,Electronics,West,3,1548,20,3715.2,874.8,19.0,Net Banking,Delivered
ORD-000190,CUST-00921,2024-11-01 01:00:00,Mouse M,Accessories,West,2,848,0,1696.0,664.4,61.0,UPI,Returned
ORD-000191,CUST-00263,2024-06-15 06:00:00,Mouse M,Accessories,West,3,167,15,425.85,155.25,65.0,PayPal,Processing
ORD-000192,CUST-01385,2024-01-06 17:00:00,Watch S,Wearables,North,3,812,0,2436.0,1007.4,24.0,Credit Card,Returned
ORD-000193,CUST-00087,2023-07-23 05:00:00,Tablet A,Electronics,North,1,167,15,141.95,22.75,19.0,Credit Card,Processing
ORD-000194,CUST-02410,2024-07-02 12:00:00,Speaker B,Accessories,South,3,324,10,874.8,348.6,33.0,Net Banking,Returned
ORD-000195,CUST-02269,2023-08-23 09:00:00,Laptop Pro,Electronics,East,3,1010,0,3030.0,1158.0,23.0,UPI,Shipped
ORD-000196,CUST-00943,2023-06-15 11:00:00,Watch S,Wearables,Central,2,1461,20,2337.6,572.4,33.0,Credit Card,Delivered
ORD-000197,CUST-02411,2023-12-06 13:00:00,Mouse M,Accessories,East,2,973,5,1848.7,705.1,42.0,UPI,Returned
ORD-000198,CUST-00903,2023-08-09 17:00:00,Keyboard K,Accessories,South,4,348,10,1252.8,345.6,62.0,Net Banking,Processing
ORD-000199,CUST-00030,2023-09-12 00:00:00,Tablet A,Electronics,South,1,837,0,837.0,354.8,27.0,Net Banking,Shipped
ORD-000200,CUST-00291,2023-02-06 00:00:00,Headphones Z,Accessories,South,3,840,20,2016.0,468.0,69.0,UPI,Delivered
ORD-000201,CUST-00242,2024-06-23 03:00:00,Keyboard K,Accessories,North,3,490,5,1396.5,463.5,26.0,PayPal,Returned
