campaign_id,channel,date,impressions,clicks,conversions,spend,revenue,ctr,cpa,roas
CMP-0028,Instagram,2023-06-29,64527,3937,151,2103.77528148045,15463.837588527811,6.101321927255258,13.93228663232086,7.350517769010832
CMP-0028,Organic,2023-12-06,37438,1991,83,3493.4590722733556,6245.024868383513,5.318125968267536,42.08986834064284,1.787633614473573
CMP-0005,Email,2024-11-27,21942,1122,136,429.4979190862255,32103.650459419085,5.113480995351381,3.1580729344575404,74.74692899029853
CMP-0030,LinkedIn,2023-05-23,11847,541,64,1418.0910231692733,22410.17726553969,4.566556934244956,22.157672237019895,15.803059817313754
CMP-0007,YouTube,2024-12-27,54144,921,75,3280.107244631081,23766.17199411604,1.7010195035460993,43.734763261747744,7.245547240266854
CMP-0048,Facebook,2024-02-07,3527,127,14,1633.8676953670988,5205.048974550033,3.6007938758151408,116.7048353833642,3.1857224359776315
CMP-0027,Facebook,2023-11-18,33551,2325,343,3323.149406208697,100196.93865440405,6.9297487407230784,9.688482233844598,30.151198879955377
CMP-0001,Instagram,2024-05-04,22857,1715,131,4069.453770552139,6778.131976325423,7.503171894824343,31.06453259963465,1.6656122316400646
CMP-0001,Instagram,2024-08-14,40349,2870,92,3611.8559020705434,15629.006679063597,7.112939601972787,39.25930328337547,4.327140147009759
CMP-0049,Google Ads,2024-05-01,53895,3867,244,4865.039779183727,58419.410582329496,7.175062621764543,19.93868761960544,12.008002654426663
CMP-0033,Organic,2024-05-14,65599,3678,147,1599.2907511996136,69594.72011634572,5.6067927864754035,10.879528919725264,43.51598986247082
CMP-0027,LinkedIn,2024-10-02,76009,1058,67,4393.589884282509,33426.43528570056,1.3919404281071979,65.575968422127,7.60800078434249
CMP-0014,Instagram,2023-07-05,69095,2771,271,1800.9468958505186,22483.32069984933,4.010420435632101,6.645560501293426,12.484166385834111
CMP-0036,YouTube,2023-08-19,53468,4029,400,4469.94747477819,190841.1885012081,7.535348245679659,11.174868686945475,42.694279871975034
CMP-0013,Facebook,2023-08-01,62355,3352,333,3131.890309023692,150363.11389799454,5.375671558014594,9.40507600307415,48.010338505395296
CMP-0048,Organic,2024-11-26,50258,3787,164,937.9954235616145,19390.194537195795,7.535118787058777,5.719484290009845,20.671950043818207
CMP-0043,Email,2023-09-03,74475,4802,532,1776.260446895775,60380.792820998824,6.447801275595838,3.3388354264958178,33.99320911892251
CMP-0023,LinkedIn,2023-06-15,78918,1782,53,2071.979645696372,8499.505188572142,2.258039990876606,39.09395557917683,4.102118090892511
CMP-0032,Organic,2024-12-27,60515,1156,77,3197.7383495378544,17989.844263821335,1.9102701809468727,41.52906947451759,5.625802457046329
CMP-0014,LinkedIn,2023-04-07,56657,604,65,3590.7472967309286,8349.783592527278,1.0660642109536334,55.24226610355275,2.32536096319812
CMP-0006,Email,2023-03-26,3506,134,9,2421.47971905025,1799.0880310102862,3.8220193953223047,269.05330211669445,0.7429705137963833
CMP-0033,Organic,2023-06-07,3458,84,10,2094.5951424105915,4567.265724325188,2.42914979757085,209.45951424105914,2.180500485200635
CMP-0001,Organic,2024-02-15,95213,5833,474,886.6573895222726,209786.91632278368,6.126264270635312,1.8705852099626006,236.6042609037703
CMP-0001,Instagram,2023-12-28,71149,4390,331,3327.770282948832,62338.147577494645,6.170149966970723,10.053686655434538,18.732707572066854
CMP-0020,YouTube,2023-01-31,77524,2691,317,2327.5670905312218,28084.929661919858,3.4711831174861976,7.342482935429722,12.066217028145909
CMP-0039,LinkedIn,2024-10-05,62356,4213,120,2539.6851049954753,16492.334618552268,6.756366668804927,21.164042541628962,6.493850196669028
CMP-0033,Facebook,2023-07-29,29687,803,38,4859.53083196941,4788.6074249534895,2.704887661265874,127.88239031498449,0.9854052974518986
CMP-0042,Organic,2023-03-05,34259,1860,186,3489.1488961406817,49804.241750232766,5.4292302752561366,18.758865033014416,14.274037374937143
CMP-0005,YouTube,2023-03-22,40025,622,44,1909.1563341898654,20484.528073383586,1.5540287320424735,43.389916686133304,10.729623188284382
CMP-0014,Instagram,2024-07-10,26785,806,61,4320.485293030205,17776.995209041783,3.0091469105842825,70.82762775459352,4.114582970047273
CMP-0011,LinkedIn,2024-01-13,56454,3050,263,2993.8629593828914,103292.70446511163,5.402628688844015,11.383509351265747,34.50148048406424
CMP-0047,Instagram,2023-03-28,61351,2001,186,2005.3502964191691,43023.91399233287,3.2615605287607377,10.781453206554673,21.4545628607421
CMP-0009,Email,2024-10-21,79683,4635,493,3554.557184796115,78877.34716124671,5.816799066300215,7.21005514157427,22.19048479473851
CMP-0029,Email,2023-07-17,95293,6350,198,3569.9632147164034,65217.64782690558,6.663658400931863,18.03011724604244,18.268436929002487
CMP-0018,Email,2023-03-14,69440,924,26,350.77630687790196,4288.662472357074,1.3306451612903225,13.491396418380845,12.22620339021321
CMP-0042,Email,2023-12-13,50258,1989,248,1943.9020567518482,105306.78079804558,3.9575788929125713,7.83831474496713,54.172884087589956
CMP-0031,Google Ads,2023-11-16,74858,3390,78,2733.2926515023573,10377.00741798335,4.528574100296562,35.042213480799454,3.796522634442242
CMP-0046,LinkedIn,2023-08-28,68179,1266,163,2626.4180827774644,25959.76374282989,1.856876750905704,16.11299437286788,9.884094201551175
CMP-0039,LinkedIn,2023-01-29,68895,1824,62,2100.458885271917,4550.756425618711,2.647507075985195,33.87836911728898,2.1665534410256204
CMP-0039,Google Ads,2023-07-20,83204,1475,43,629.3119184732079,8840.495837358945,1.7727513100331715,14.635160894725766,14.047876065667294
CMP-0022,YouTube,2024-11-21,44873,2007,133,1644.0463878077676,31605.69350304679,4.47262273527511,12.361251036148628,19.224331951600828
CMP-0023,YouTube,2023-06-21,13598,274,39,4073.990551993437,5825.981574612849,2.015002206206795,104.46129620495992,1.4300429763545104
CMP-0041,Email,2024-04-09,56526,571,83,2609.123879051379,7128.2607900375115,1.0101546191133284,31.43522745845035,2.7320514933270217
CMP-0004,Email,2024-02-17,95388,4403,281,2500.206052091308,17928.148110645132,4.615884597643309,8.89753043448864,7.170668231783959
CMP-0022,Google Ads,2023-03-27,6994,231,5,,2183.7496598366765,3.302830997998284,28.125340764072767,15.528698323372438
CMP-0030,LinkedIn,2023-06-04,73467,1825,164,4016.4734042712025,10302.938186051162,2.4841085113043953,24.490691489458552,2.56517027477259
CMP-0032,Facebook,2023-08-06,70949,4690,702,2481.4680581877074,101682.49225197133,6.610382105456032,3.5348547837431727,40.97674838749816
CMP-0034,Organic,2023-07-29,4144,88,11,2483.0629572498883,902.4861971750959,2.1235521235521233,225.7329961136262,0.36345683243353716
CMP-0011,Email,2024-12-25,33644,885,66,2276.794067040507,28033.097865625736,2.630483890143859,34.49687980364404,12.312531146949354
CMP-0031,Organic,2024-03-04,45291,1236,133,3339.1534880110016,31926.898676340967,2.729019010399417,25.10641720309024,9.561374998475594
CMP-0040,YouTube,2023-04-07,70195,4794,474,3535.74092745435,189806.94501410302,6.829546263978916,7.459369045262342,53.68236782856133
CMP-0008,Facebook,2023-04-07,2638,165,8,4964.843484807613,861.8951880442758,6.254738438210766,620.6054356009516,0.173599669492436
CMP-0034,YouTube,2024-07-05,88903,6065,670,1627.463774810015,132091.18327173984,6.822042000832368,2.4290504101642014,81.16382393037274
CMP-0016,Facebook,2024-01-26,51114,3500,227,3853.101106494415,42576.498130414395,6.847439057792386,16.974013684997423,11.049930161098436
CMP-0023,Organic,2024-07-21,64127,4018,434,1120.3190673832416,183217.246541274,6.265691518393189,2.5813803395927226,163.54023766570296
CMP-0039,Instagram,2023-06-07,15936,469,30,2994.608574437604,8825.936410367893,2.943022088353414,99.82028581458681,2.9472754755687656
CMP-0029,Email,2023-08-29,74712,5342,542,3458.365999762493,229177.3643239683,7.1501231395224325,6.38074907705257,66.26752759531735
CMP-0036,Google Ads,2024-03-07,49791,2150,67,459.4701885774712,25095.068889645725,4.318049446687152,6.8577640086189735,54.61740394374781
CMP-0020,Instagram,2023-08-21,59719,2125,86,3594.892865258184,39065.02645421989,3.558331519281971,41.80107982858353,10.86681242485769
CMP-0031,LinkedIn,2024-03-21,37336,2165,239,2939.630171756415,24128.920654665126,5.798692950503535,12.2997078316168,8.208148387675655
CMP-0008,Instagram,2023-04-22,25575,1081,159,1546.5052234464235,13190.844296299943,4.226783968719452,9.72644794620392,8.529453438834066
CMP-0036,YouTube,2024-12-29,70089,5550,114,,49058.120184926025,7.91850361683003,34.260833342280854,12.560534744961977
CMP-0004,Google Ads,2023-09-02,48557,3799,240,531.0218232178116,37994.61972615965,7.823794715489013,2.212590930074215,71.5500155830229
CMP-0032,Instagram,2023-07-09,99585,2422,306,1400.6053927250023,106273.55414258751,2.432093186724908,4.577141806290857,75.87687059795113
CMP-0024,Email,2024-05-26,97102,1749,185,3014.952156166394,42673.505553797906,1.8011987394698357,16.29703868198051,14.153957788855463
CMP-0006,Google Ads,2024-02-27,2144,125,10,1521.832241575502,4736.029447152398,5.830223880597015,152.1832241575502,3.1120575039528307
CMP-0032,Google Ads,2023-11-09,65292,4946,427,1054.4368338268962,203167.38456939335,7.575200637137781,2.4694071049810216,192.67857310336217
CMP-0046,Facebook,2023-06-23,3275,155,18,2456.5966048225737,8914.061439655034,4.732824427480916,136.47758915680964,3.6286223884522735
CMP-0047,LinkedIn,2024-01-11,49786,1992,239,4499.311034419184,31583.622608862337,4.001124814204796,18.825569181670225,7.0196575358430335
CMP-0020,Google Ads,2023-02-21,94626,5441,398,4552.557854870585,188819.68517581976,5.750005283960011,11.438587575051722,41.47551578588062
CMP-0038,Instagram,2024-09-23,87335,3495,256,2025.0892048079995,67620.75640234904,4.0018320261063725,7.910504706281248,33.39149517058446
CMP-0029,Instagram,2024-02-24,24697,417,51,4711.180007816653,13810.153587117225,1.6884641859335143,92.37607858464027,2.931357656511494
CMP-0033,Instagram,2023-11-01,39891,1300,46,4903.998654080609,5134.108124802511,3.2588804492241357,106.60866639305672,1.046922825015547
CMP-0010,Google Ads,2024-02-24,3006,103,12,1822.3332152277592,3446.2513438827796,3.4264803725881574,151.86110126897992,1.8911203039516895
CMP-0025,LinkedIn,2023-04-21,77173,2124,298,3265.851641955985,36693.01534492464,2.7522579140372927,10.959233697838876,11.235358910225465
CMP-0012,Instagram,2024-09-21,75771,3492,309,1742.247430073232,15673.525406794764,4.608623351942036,5.638341197648,8.996153552159901
CMP-0018,Instagram,2023-08-28,52470,3580,396,1074.041028867046,52354.33733906306,6.822946445587955,2.712224820371328,48.74519309033205
CMP-0020,Email,2023-11-27,6477,366,14,3393.239859075451,5618.714997903759,5.650764242704956,242.3742756482465,1.6558555337242438
CMP-0017,Facebook,2023-01-29,47568,3044,349,4888.241469190123,46455.7627890944,6.399260006727212,14.006422547822702,9.503573643384504
CMP-0046,YouTube,2024-08-01,84037,5312,627,1800.1250242359692,192405.1576537649,6.321025262681913,2.8710127978245126,106.88433029001851
CMP-0036,Organic,2024-11-09,87297,2589,370,1637.978143889406,115775.5290773366,2.965737654214921,4.426967956457855,70.68197430426373
CMP-0028,Google Ads,2024-08-08,11719,181,25,1147.2536758493934,4261.563426496638,1.5445003839918081,45.89014703397574,3.7145781410039937
CMP-0032,Email,2023-09-21,81616,4358,352,4966.96659316636,138294.6947092479,5.339639286414428,14.110700548768069,27.84288803140254
CMP-0045,Organic,2024-06-04,67150,2095,230,2618.9926962536006,98510.96333399547,3.1198808637379,11.386924766320002,37.614065695911556
CMP-0013,Email,2024-07-31,53608,4213,121,2085.375338134131,33357.70814251888,7.858901656469183,17.234506926728358,15.99602121139754
CMP-0013,Email,2023-07-09,64125,5033,369,2852.6814103102674,95418.47076863733,7.848732943469786,7.730843930380129,33.44869512023752
CMP-0045,Instagram,2023-06-10,57655,3329,371,4375.318675818521,86827.63585470992,5.774000520336484,11.793311794659086,19.84487126265528
CMP-0043,Organic,2024-06-11,69548,3371,423,518.3570570207245,109367.26082316262,4.847012135503538,1.2254303948480485,210.98827408997732
CMP-0005,Google Ads,2023-05-19,75633,4050,316,2426.6826699636563,103479.70722003486,5.354805442068939,7.679375537859672,42.642455274790684
CMP-0042,Facebook,2024-10-04,7648,335,49,2319.686448368753,15476.977638808316,4.3802301255230125,47.340539762627614,6.6720127841812475
CMP-0027,Facebook,2024-08-20,18831,776,115,126.9047725165976,13794.788386136604,4.120864531888906,1.1035197610138923,108.70188813688952
CMP-0046,Facebook,2024-07-12,87355,5929,153,2769.3735248018706,20439.293346187438,6.787247438612558,18.100480554260592,7.380475462460315
CMP-0010,Email,2024-06-27,34804,2497,138,2065.385428523753,7185.128319968868,7.174462705436156,14.96656107625908,3.4788317089583045
CMP-0030,LinkedIn,2024-05-14,13422,843,82,691.4662563540221,40142.005312454065,6.280733124720609,8.432515321390513,58.053455166584236
CMP-0035,Organic,2024-05-23,63306,3549,206,2622.203829123492,87084.51237587848,5.606103686854326,12.72914480157035,33.210428346063274
CMP-0013,Google Ads,2023-08-19,77553,4944,167,309.36071766120256,54621.051020350984,6.374995164597114,1.8524593871928297,176.56104315147542
CMP-0021,Google Ads,2023-08-25,5593,381,39,2589.2076925779184,16195.391076655655,6.812086536742356,66.38994083533125,6.254960203880314
CMP-0023,LinkedIn,2023-09-22,89545,4538,658,3221.7542499068063,210206.64488509932,5.067842983974538,4.896283054569614,65.24602082582179
CMP-0016,Facebook,2024-08-15,30161,652,32,4046.1859199632195,15276.40855429709,2.1617320380623988,126.44330999885061,3.7755083074472156
CMP-0045,Instagram,2023-01-28,88604,3117,341,2373.1971475818314,90251.18471841385,3.5178998690804026,6.959522426926192,38.02936675967914
CMP-0042,Facebook,2024-08-23,15428,616,37,2639.7601142293897,4029.8213216046247,3.9927404718693285,71.34486795214566,1.5265861848136257
CMP-0029,Email,2024-06-06,72885,2910,98,3188.7755068475826,25554.28950766595,3.9925910681210124,32.538525580077376,8.01382519803938
CMP-0026,Facebook,2023-01-03,74955,2818,212,1852.3552454948442,38240.39789238357,3.7595890867854047,8.73752474290021,20.644203095161643
CMP-0017,Google Ads,2024-04-18,83543,6408,954,4062.4082823122103,458780.1154116102,7.670301521372227,4.25828960410085,112.93303959849287
CMP-0019,Google Ads,2024-08-31,76238,5772,402,878.2337375641988,111501.5456586082,7.571027571552244,2.1846610387169125,126.96112764679283
CMP-0033,Email,2024-06-01,22469,1663,212,3835.5539724775667,39619.84172883001,7.401308469446794,18.092235719233805,10.329626962135452
CMP-0034,LinkedIn,2024-02-19,14236,767,15,1356.4598368706777,1899.2159280437086,5.387749367799944,90.43065579137851,1.4001269159764855
CMP-0016,Google Ads,2024-06-24,24272,1656,189,4875.852680919641,16019.902395148503,6.822676334871456,25.798162332908152,3.2855591510871833
CMP-0014,LinkedIn,2024-05-01,9757,636,48,1816.2284525584712,9266.249550384271,6.518397048273035,37.83809276163482,5.101918504432171
CMP-0019,LinkedIn,2024-11-19,2152,168,11,2144.119564656875,1360.8421714737246,7.806691449814126,194.91996042335225,0.6346857674849402
CMP-0013,Facebook,2024-11-17,12497,822,28,2081.2861333808387,3481.7745095370574,6.577578618868528,74.33164762074423,1.672895645483049
CMP-0044,Google Ads,2023-09-10,18038,733,105,4697.051025723861,37385.58980296753,4.063643419447832,44.7338192926082,7.959374849926406
CMP-0019,YouTube,2024-08-30,13396,136,2,430.92059543405105,949.1678457340779,1.015228426395939,215.46029771702553,2.202651383552496
CMP-0018,LinkedIn,2024-04-18,29630,943,101,4641.175783847983,9947.94501470162,3.1825852176847786,45.9522354836434,2.1434105231096874
CMP-0050,YouTube,2023-02-12,78170,3522,318,1053.5477360728244,19777.966380137175,4.505564794678266,3.3130431951975607,18.772729229964444
CMP-0009,YouTube,2024-11-05,52244,2455,266,1743.7139425696187,126877.02196204476,4.699104203353495,6.555315573569995,72.76252076936015
CMP-0032,LinkedIn,2024-07-23,84676,5236,343,4599.447886777178,139189.78454805084,6.183570315083377,13.40946905765941,30.262281033383072
CMP-0001,Organic,2024-03-01,12156,845,48,597.607802584586,4703.147091159536,6.951299769661072,12.450162553845542,7.869955965800577
CMP-0031,Google Ads,2023-09-27,26739,631,20,181.22421803219254,7415.363311066212,2.3598489098320803,9.061210901609627,40.91816972138322
CMP-0036,Google Ads,2023-07-20,47319,1826,166,3043.6618696151927,50024.56215781039,3.8589150235634735,18.3353124675614,16.435650312278266
CMP-0035,Facebook,2023-10-26,50725,893,27,3973.8918431875227,12338.441213942673,1.7604731394775752,147.18117937731566,3.1048759505356367
CMP-0046,Facebook,2023-01-14,2249,35,2,1308.7046803661913,694.725968738252,1.5562472209871054,654.3523401830956,0.5308500681329109
CMP-0028,Email,2023-02-01,9264,541,38,2253.0871370153677,15888.018825686338,5.839810017271157,59.29176676356231,7.051666384609061
CMP-0016,Instagram,2023-12-30,97590,7713,1069,489.3068325404489,275345.2704034296,7.90347371656932,0.45772388450930673,562.7251697546405
CMP-0025,Instagram,2023-03-20,99689,4475,291,2800.9240442649198,32712.21714552632,4.488960667676474,9.62516853699285,11.679080413660907
CMP-0025,LinkedIn,2023-07-09,62721,833,81,3542.0734353423795,5560.648910891054,1.328103824875241,43.72930167089358,1.569885269855665
CMP-0004,Email,2023-01-09,53094,1642,184,2600.2907122541937,10591.005434542883,3.0926281689079747,14.132014740511922,4.073008215824274
CMP-0028,Email,2023-05-02,68146,5396,647,4873.213507528938,38808.55015952432,7.91829307662959,7.532014694789703,7.9636465957353435
CMP-0010,Facebook,2023-04-16,42809,765,103,,45272.08634218935,1.787007404984933,28.20809653511495,15.581867365954693
CMP-0036,Email,2024-06-21,1946,43,2,507.9484067192051,231.8445665521539,2.2096608427543676,253.97420335960254,0.4564332981170626
CMP-0002,Facebook,2024-11-08,79654,2056,273,1546.6597435766869,47294.69076617255,2.5811635322770985,5.66542030614171,30.57860073140746
CMP-0010,LinkedIn,2023-08-11,51816,2480,336,4766.4758804631165,110264.28383768171,4.786166435077968,14.185940120425942,23.133293150529546
CMP-0005,Google Ads,2023-03-28,82707,5133,672,3955.0537364057723,123126.20266808056,6.206246146033589,5.885496631556209,31.131360247958035
CMP-0016,YouTube,2024-06-05,31979,1472,29,3430.3211122001794,7213.927739299305,4.603020732355608,118.28693490345447,2.102989050687547
CMP-0036,Google Ads,2024-07-27,23425,753,50,2953.973842343711,2675.0431594772417,3.214514407684098,59.07947684687422,0.9055744235550972
CMP-0044,LinkedIn,2023-06-14,75816,3074,258,4135.1753216971665,78581.33719131855,4.054553128627203,16.027811324407622,19.003145230385794
CMP-0039,Organic,2024-12-10,86361,1776,253,2717.7211210349196,75934.88858354831,2.0564838295063743,10.741980715553042,27.940647771332763
CMP-0025,Organic,2024-02-23,38628,1401,106,667.8740005934131,6551.54220044965,3.626902764833799,6.3006981188057845,9.809548200152328
CMP-0011,Email,2023-06-02,11469,730,38,1040.849136899531,9410.53620907478,6.364983869561426,27.390766760513973,9.041210561125864
CMP-0013,Google Ads,2024-08-07,77764,2375,177,2935.623774210077,52116.1538590936,3.0541124427755775,16.585445052034334,17.753008514559095
CMP-0007,Organic,2023-06-18,4239,73,7,3985.8839475918744,3381.716066438795,1.7221042698749707,569.4119925131249,0.848423112891158
CMP-0012,LinkedIn,2024-03-06,56432,1978,44,4788.531422705238,11992.536364744694,3.5051034873830456,108.83025960693722,2.504428875183118
CMP-0029,Instagram,2024-01-18,78670,2439,154,3707.7026206324836,16620.120832143533,3.1002923604931993,24.075991043068075,4.4825927353656985
CMP-0023,Facebook,2024-07-08,14050,744,60,4182.772107822539,4089.5660366986444,5.295373665480427,69.71286846370897,0.9777166747981364
CMP-0013,LinkedIn,2024-11-01,39932,1899,135,2060.693605862327,49378.451680028964,4.755584493639187,15.26439708046168,23.962054106226937
